name,scn_name,bus,type,carrier,p_nom,p_nom_extendable,p_max_pu,marginal_cost,efficiency,up_time_before,e_nom_max,control,weight,p_nom_opt
79000 load shedding,,79000,,load shedding,88785.0,False,1.0,10000.00810566923,1.0,1,0.0,PQ,88785.0,88785.0
79001 O2,eGon2035,79001,O2,O2,0.0,True,1.0,60.0058136435637,1.0,0,inf,Slack,0.0,0.030760974120707222
79001 load shedding,,79001,,load shedding,88785.0,False,1.0,10000.000642734665,1.0,1,0.0,PQ,88785.0,88785.0
79002 O2,eGon2035,79002,O2,O2,0.0,True,1.0,60.00631363794519,1.0,0,inf,Slack,0.0,0.033157093858209835
79002 load shedding,,79002,,load shedding,88785.0,False,1.0,10000.001682622464,1.0,1,0.0,PQ,88785.0,88785.0
79003 O2,eGon2035,79003,O2,O2,0.0,True,1.0,60.012017567017324,1.0,0,inf,Slack,0.0,0.045541743058335686
79003 load shedding,,79003,,load shedding,88785.0,False,1.0,10000.003738952882,1.0,1,0.0,PQ,88785.0,88785.0
79004 O2,eGon2035,79004,O2,O2,0.0,True,1.0,60.00922735795123,1.0,0,inf,Slack,0.0,0.03752413053424421
79004 load shedding,,79004,,load shedding,88785.0,False,1.0,10000.018480397008,1.0,1,0.0,PQ,88785.0,88785.0
79005 O2,eGon2035,79005,O2,O2,0.0,True,1.0,60.00762715758766,1.0,0,inf,Slack,0.0,0.03349573450844179
79005 load shedding,,79005,,load shedding,88785.0,False,1.0,10000.004549153688,1.0,1,0.0,PQ,88785.0,88785.0
79006 O2,eGon2035,79006,O2,O2,0.0,True,1.0,60.013514190187976,1.0,0,inf,Slack,0.0,0.03228977205837978
79006 load shedding,,79006,,load shedding,88785.0,False,1.0,10000.005081733234,1.0,1,0.0,PQ,88785.0,88785.0
79007 O2,eGon2035,79007,O2,O2,0.0,True,1.0,60.00555318017128,1.0,0,inf,Slack,0.0,0.01980193111745667
79007 load shedding,,79007,,load shedding,88785.0,False,1.0,10000.015495587915,1.0,1,0.0,PQ,88785.0,88785.0
79008 O2,eGon2035,79008,O2,O2,0.0,True,1.0,60.007039483213276,1.0,0,inf,Slack,0.0,0.0276025367542252
79008 load shedding,,79008,,load shedding,88785.0,False,1.0,10000.010909927267,1.0,1,0.0,PQ,88785.0,88785.0
