snapshot,converged,error,n_iter
2011-02-10 20:00:00,False,180591.57427311572,100
2011-02-11 06:00:00,True,1.0744437695109355e-07,3
2011-02-11 16:00:00,False,3.9148187003949564e+31,100
2011-02-12 02:00:00,True,3.079781385473268e-08,4
2011-02-12 12:00:00,True,1.1670085342530001e-08,4
2011-02-12 22:00:00,True,4.507657536123588e-08,5
2011-02-13 08:00:00,False,9.963923187935619e+27,100
2011-02-13 18:00:00,True,4.578831180879206e-08,4
2011-02-14 04:00:00,True,6.616945036341804e-08,3
2011-02-14 14:00:00,False,1.4132339080964177e+27,100
2011-02-15 00:00:00,False,9.802182460818898e+37,100
2011-02-15 10:00:00,False,6.640123436052665e+35,100
2011-02-15 20:00:00,True,1.7481625036452897e-08,4
2011-02-16 06:00:00,True,2.2106650732212074e-08,4
2011-02-16 16:00:00,False,5.132192446945123e+40,100
2011-02-17 02:00:00,False,1.7045380112303295e+33,100
2011-02-17 12:00:00,True,1.4355601152260533e-08,4
2011-02-17 22:00:00,True,6.746834912974009e-08,4
2011-02-18 08:00:00,True,1.3120640574015852e-08,4
2011-02-18 18:00:00,True,7.3705450631678104e-09,7
2011-02-19 04:00:00,True,1.503754276654945e-08,5
2011-02-19 14:00:00,True,2.8848745614595828e-09,4
2011-02-20 00:00:00,True,2.7820613013318507e-07,3
2011-02-20 10:00:00,True,2.7270044000715643e-08,4
2011-02-20 20:00:00,True,7.280010549948202e-07,3
2011-02-21 06:00:00,True,4.023005573117189e-08,4
2011-02-21 16:00:00,True,3.141652769045322e-07,3
2011-02-22 02:00:00,True,1.6375025779780117e-08,5
2011-02-22 12:00:00,True,7.518718092569543e-09,4
2011-02-22 22:00:00,True,1.250774630534579e-07,4
2011-02-23 08:00:00,True,1.2416091976774624e-07,3
2011-02-23 18:00:00,True,2.2716733383276733e-07,3
2011-02-24 04:00:00,True,3.915926072295406e-08,3
2011-02-24 14:00:00,False,1.3343464921871895e+37,100
2011-02-25 00:00:00,False,4.319562749806638e+37,100
2011-02-25 10:00:00,False,9.460055641660942e+34,100
2011-02-25 20:00:00,True,2.3515148939168284e-08,5
2011-02-26 06:00:00,True,1.5557810684185824e-07,3
2011-02-26 16:00:00,True,5.389850912251859e-07,3
2011-02-27 02:00:00,True,5.768368094294374e-08,3
2011-02-27 12:00:00,True,1.0743815437308513e-07,3
2011-02-27 22:00:00,True,4.4755559258646826e-08,4
2011-02-28 08:00:00,True,9.320473282059538e-09,4
2011-02-28 18:00:00,False,5.2708519734872035e+28,100
2011-03-01 04:00:00,False,3.799520251849457e+35,100
2011-03-01 14:00:00,True,5.5102191254263744e-08,3
2011-03-02 00:00:00,True,3.2190706988899365e-08,4
2011-03-02 10:00:00,True,9.706010484222816e-08,3
2011-03-02 20:00:00,False,7.546596820794927e+24,100
2011-03-03 06:00:00,False,3.756537599741307e+18,100
2011-03-03 16:00:00,False,2.4621011377587495e+33,100
2011-03-04 02:00:00,False,1.3780654007003784e+38,100
2011-03-04 12:00:00,True,6.217988701706645e-08,4
2011-03-04 22:00:00,False,3.5375138697525306e+34,100
2011-03-05 08:00:00,True,8.8666527631176e-07,4
2011-03-05 18:00:00,True,3.3038620728120804e-08,4
2011-03-06 04:00:00,True,4.0478757057371695e-07,3
2011-03-06 14:00:00,True,8.663220114613068e-07,3
2011-03-07 00:00:00,False,1.336886477406803e+36,100
2011-03-07 10:00:00,True,3.907280188286677e-07,3
2011-03-07 20:00:00,True,3.524310443481227e-08,4
2011-03-08 06:00:00,True,2.291426426381804e-08,4
2011-03-08 16:00:00,True,4.646744855563156e-08,3
2011-03-09 02:00:00,True,1.0540065886743832e-07,3
2011-03-09 12:00:00,True,3.309893372716033e-07,3
2011-03-09 22:00:00,True,5.6998942454811186e-08,3
2011-03-10 08:00:00,True,3.638017620488654e-08,3
2011-03-10 18:00:00,True,7.205892416095594e-08,3
2011-03-11 04:00:00,True,8.93287126046971e-07,4
2011-03-11 14:00:00,True,1.5902231975672976e-08,4
2011-03-12 00:00:00,True,3.195992266105327e-08,4
2011-03-12 10:00:00,True,3.923526392668464e-09,4
2011-03-12 20:00:00,False,1.0844022930022357e+27,100
2011-03-13 06:00:00,True,1.4720592389494414e-07,3
2011-03-13 16:00:00,False,1.0516218052455861e+38,100
2011-03-14 02:00:00,False,2.223940584062884e+35,100
2011-03-14 12:00:00,False,9.325338500165556e+35,100
2011-03-14 22:00:00,False,6.864416762997877e+37,100
2011-03-15 08:00:00,False,1.2626737117560933e+34,100
2011-03-15 18:00:00,True,5.7937427300203126e-08,4
2011-03-16 04:00:00,True,3.196404363414729e-08,4
2011-03-16 14:00:00,True,4.5507597690175317e-08,3
2011-03-17 00:00:00,True,1.011498360625751e-07,4
2011-03-17 10:00:00,False,9.751849692133843e+38,100
2011-03-17 20:00:00,False,1.3444083898811993e+31,100
2011-03-18 06:00:00,False,2.053963202136602e+17,100
2011-03-18 16:00:00,False,4.712971715858376e+26,100
2011-03-19 02:00:00,False,9.077912785500951e+30,100
2011-03-19 12:00:00,False,4.510295573863561e+22,100
2011-03-19 22:00:00,False,6.212463459164153e+34,100
2011-03-20 08:00:00,False,8.348443079687838e+31,100
2011-03-20 18:00:00,False,5.936084070748179e+37,100
2011-03-21 04:00:00,True,2.0652310084301462e-08,5
2011-03-21 14:00:00,True,5.200996611165465e-07,3
2011-03-22 00:00:00,False,2.446619806148717e+33,100
2011-03-22 10:00:00,True,3.818925199762353e-08,4
2011-03-22 20:00:00,False,6.452854269940061e+33,100
2011-03-23 06:00:00,False,3.606061311469685e+38,100
2011-03-23 16:00:00,False,3.482598943584504e+38,100
2011-03-24 02:00:00,False,1.016794280962833e+33,100
2011-03-24 12:00:00,True,3.942718507232712e-08,3
2011-03-24 22:00:00,False,3.500912404757179e+37,100
2011-03-25 08:00:00,False,1.039573811050722e+35,100
2011-03-25 18:00:00,False,1.9462813057264473e+35,100
2011-03-26 04:00:00,False,9.014060990397767e+37,100
2011-03-26 14:00:00,False,2.824432660977447e+38,100
2011-03-27 00:00:00,False,6.457603953483601e+27,100
2011-03-27 10:00:00,True,3.38863745952267e-08,4
2011-03-27 20:00:00,False,9.513637448352622e+39,100
2011-03-28 06:00:00,True,8.268699502878007e-09,6
2011-03-28 16:00:00,False,7.094974448971321e+29,100
2011-03-29 02:00:00,False,5.453936982921571e+18,100
2011-03-29 12:00:00,True,1.0936605576716829e-07,3
2011-03-29 22:00:00,False,11295.95485972005,100
2011-03-30 08:00:00,False,2.5765612862077964e+33,100
2011-03-30 18:00:00,False,1.0922246809862587e+26,100
2011-03-31 04:00:00,True,3.706803681780002e-07,3
2011-03-31 14:00:00,True,2.8338172181063825e-07,3
2011-04-01 00:00:00,True,4.92170979526918e-08,4
2011-04-01 10:00:00,True,4.60858018414001e-08,3
2011-04-01 20:00:00,True,1.5539751530013746e-07,3
2011-04-02 06:00:00,True,5.238280564867637e-08,3
2011-04-02 16:00:00,True,5.1878942031180486e-08,3
2011-04-03 02:00:00,True,4.734739178502423e-07,4
2011-04-03 12:00:00,True,5.87347752656342e-08,4
2011-04-03 22:00:00,False,7.153806702517406e+36,100
2011-04-04 08:00:00,False,6.336470725999202e+37,100
2011-04-04 18:00:00,False,2.6783512028646988e+35,100
2011-04-05 04:00:00,True,5.005191594520397e-08,3
2011-04-05 14:00:00,True,3.4627820610921844e-09,4
2011-04-06 00:00:00,True,1.4851804053250817e-07,3
2011-04-06 10:00:00,True,6.34528305454296e-08,3
2011-04-06 20:00:00,True,1.474612787433216e-08,5
2011-04-07 06:00:00,True,3.32628701471549e-07,3
2011-04-07 16:00:00,True,4.7089207555472967e-07,3
2011-04-08 02:00:00,True,2.0790730707518062e-08,4
2011-04-08 12:00:00,True,3.5855975966114784e-08,3
2011-04-08 22:00:00,True,2.6545368569941274e-08,4
2011-04-09 08:00:00,True,1.9490643765607274e-08,4
2011-04-09 18:00:00,False,3.173843998107057e+32,100
2011-04-10 04:00:00,True,6.524890916459469e-08,5
2011-04-10 14:00:00,True,6.6452281455298134e-09,4
2011-04-11 00:00:00,False,8.045449378401423e+37,100
2011-04-11 10:00:00,True,1.343161102340673e-07,3
2011-04-11 20:00:00,True,5.801990710097016e-08,6
2011-04-12 06:00:00,True,2.775701057888824e-08,4
2011-04-12 16:00:00,True,4.9909648414114827e-08,4
2011-04-13 02:00:00,True,6.977872546443109e-08,4
2011-04-13 12:00:00,True,2.9527662537276456e-09,4
2011-04-13 22:00:00,False,1.4552187129282512e+37,100
2011-04-14 08:00:00,False,11592.188479807268,100
2011-04-14 18:00:00,False,1.1276120044876774e+36,100
2011-04-15 04:00:00,False,2.6918701291839174e+39,100
2011-04-15 14:00:00,False,2.0568676931950937e+38,100
2011-04-16 00:00:00,False,7.55627432898476e+38,100
