name,scn_name,bus,carrier,p_set
50910 central_heat,eGon2035,50910,central_heat,0.0
50974 central_heat,eGon2035,50974,central_heat,0.0
50988 central_heat,eGon2035,50988,central_heat,0.0
50995 central_heat,eGon2035,50995,central_heat,0.0
51 AC,eGon2035,51,AC,0.0
51055 central_heat,eGon2035,51055,central_heat,0.0
51081 central_heat,eGon2035,51081,central_heat,0.0
51088 central_heat,eGon2035,51088,central_heat,0.0
51103 central_heat,eGon2035,51103,central_heat,0.0
51121 central_heat,eGon2035,51121,central_heat,0.0
51130 central_heat,eGon2035,51130,central_heat,0.0
51140 central_heat,eGon2035,51140,central_heat,0.0
51156 central_heat,eGon2035,51156,central_heat,0.0
51168 central_heat,eGon2035,51168,central_heat,0.0
51226 central_heat,eGon2035,51226,central_heat,0.0
51242 central_heat,eGon2035,51242,central_heat,0.0
51252 central_heat,eGon2035,51252,central_heat,0.0
51256 central_heat,eGon2035,51256,central_heat,0.0
51329 central_heat,eGon2035,51329,central_heat,0.0
51365 central_heat,eGon2035,51365,central_heat,0.0
51372 central_heat,eGon2035,51372,central_heat,0.0
51379 central_heat,eGon2035,51379,central_heat,0.0
51404 central_heat,eGon2035,51404,central_heat,0.0
51421 central_heat,eGon2035,51421,central_heat,0.0
51427 central_heat,eGon2035,51427,central_heat,0.0
51428 central_heat,eGon2035,51428,central_heat,0.0
51432 central_heat,eGon2035,51432,central_heat,0.0
51472 central_heat,eGon2035,51472,central_heat,0.0
51480 central_heat,eGon2035,51480,central_heat,0.0
51483 central_heat,eGon2035,51483,central_heat,0.0
51490 central_heat,eGon2035,51490,central_heat,0.0
51491 central_heat,eGon2035,51491,central_heat,0.0
51495 central_heat,eGon2035,51495,central_heat,0.0
51503 central_heat,eGon2035,51503,central_heat,0.0
51523 central_heat,eGon2035,51523,central_heat,0.0
51556 central_heat,eGon2035,51556,central_heat,0.0
51611 central_heat,eGon2035,51611,central_heat,0.0
51622 central_heat,eGon2035,51622,central_heat,0.0
51632 central_heat,eGon2035,51632,central_heat,0.0
51638 central_heat,eGon2035,51638,central_heat,0.0
51647 central_heat,eGon2035,51647,central_heat,0.0
51672 central_heat,eGon2035,51672,central_heat,0.0
51702 central_heat,eGon2035,51702,central_heat,0.0
51704 central_heat,eGon2035,51704,central_heat,0.0
51709 central_heat,eGon2035,51709,central_heat,0.0
51713 central_heat,eGon2035,51713,central_heat,0.0
51723 central_heat,eGon2035,51723,central_heat,0.0
51732 central_heat,eGon2035,51732,central_heat,0.0
51737 central_heat,eGon2035,51737,central_heat,0.0
51742 central_heat,eGon2035,51742,central_heat,0.0
51744 central_heat,eGon2035,51744,central_heat,0.0
51762 central_heat,eGon2035,51762,central_heat,0.0
51766 central_heat,eGon2035,51766,central_heat,0.0
51836 central_heat,eGon2035,51836,central_heat,0.0
51841 central_heat,eGon2035,51841,central_heat,0.0
51862 central_heat,eGon2035,51862,central_heat,0.0
51892 central_heat,eGon2035,51892,central_heat,0.0
51910 central_heat,eGon2035,51910,central_heat,0.0
51925 central_heat,eGon2035,51925,central_heat,0.0
51933 central_heat,eGon2035,51933,central_heat,0.0
51935 central_heat,eGon2035,51935,central_heat,0.0
51937 central_heat,eGon2035,51937,central_heat,0.0
51950 central_heat,eGon2035,51950,central_heat,0.0
51958 central_heat,eGon2035,51958,central_heat,0.0
51971 central_heat,eGon2035,51971,central_heat,0.0
52 AC,eGon2035,52,AC,0.0
52030 central_heat,eGon2035,52030,central_heat,0.0
52033 central_heat,eGon2035,52033,central_heat,0.0
52035 central_heat,eGon2035,52035,central_heat,0.0
52040 rural_heat,eGon2035,52040,rural_heat,0.0
52041 rural_heat,eGon2035,52041,rural_heat,0.0
52042 rural_heat,eGon2035,52042,rural_heat,0.0
52043 rural_heat,eGon2035,52043,rural_heat,0.0
52044 rural_heat,eGon2035,52044,rural_heat,0.0
52046 rural_heat,eGon2035,52046,rural_heat,0.0
52047 rural_heat,eGon2035,52047,rural_heat,0.0
52048 rural_heat,eGon2035,52048,rural_heat,0.0
52050 rural_heat,eGon2035,52050,rural_heat,0.0
52051 rural_heat,eGon2035,52051,rural_heat,0.0
52052 rural_heat,eGon2035,52052,rural_heat,0.0
52053 rural_heat,eGon2035,52053,rural_heat,0.0
52055 rural_heat,eGon2035,52055,rural_heat,0.0
52057 rural_heat,eGon2035,52057,rural_heat,0.0
52058 rural_heat,eGon2035,52058,rural_heat,0.0
52059 rural_heat,eGon2035,52059,rural_heat,0.0
52060 rural_heat,eGon2035,52060,rural_heat,0.0
52061 rural_heat,eGon2035,52061,rural_heat,0.0
52062 rural_heat,eGon2035,52062,rural_heat,0.0
52064 rural_heat,eGon2035,52064,rural_heat,0.0
52066 rural_heat,eGon2035,52066,rural_heat,0.0
52067 rural_heat,eGon2035,52067,rural_heat,0.0
52069 rural_heat,eGon2035,52069,rural_heat,0.0
52070 rural_heat,eGon2035,52070,rural_heat,0.0
52071 rural_heat,eGon2035,52071,rural_heat,0.0
52072 rural_heat,eGon2035,52072,rural_heat,0.0
52074 rural_heat,eGon2035,52074,rural_heat,0.0
52075 rural_heat,eGon2035,52075,rural_heat,0.0
52077 rural_heat,eGon2035,52077,rural_heat,0.0
52079 rural_heat,eGon2035,52079,rural_heat,0.0
52082 rural_heat,eGon2035,52082,rural_heat,0.0
52083 rural_heat,eGon2035,52083,rural_heat,0.0
52084 rural_heat,eGon2035,52084,rural_heat,0.0
52085 rural_heat,eGon2035,52085,rural_heat,0.0
52086 rural_heat,eGon2035,52086,rural_heat,0.0
52088 rural_heat,eGon2035,52088,rural_heat,0.0
52090 rural_heat,eGon2035,52090,rural_heat,0.0
52091 rural_heat,eGon2035,52091,rural_heat,0.0
52093 rural_heat,eGon2035,52093,rural_heat,0.0
52094 rural_heat,eGon2035,52094,rural_heat,0.0
52095 rural_heat,eGon2035,52095,rural_heat,0.0
52099 rural_heat,eGon2035,52099,rural_heat,0.0
52102 rural_heat,eGon2035,52102,rural_heat,0.0
52105 rural_heat,eGon2035,52105,rural_heat,0.0
52109 rural_heat,eGon2035,52109,rural_heat,0.0
52110 rural_heat,eGon2035,52110,rural_heat,0.0
52111 rural_heat,eGon2035,52111,rural_heat,0.0
52115 rural_heat,eGon2035,52115,rural_heat,0.0
52117 rural_heat,eGon2035,52117,rural_heat,0.0
52125 rural_heat,eGon2035,52125,rural_heat,0.0
52132 rural_heat,eGon2035,52132,rural_heat,0.0
52137 rural_heat,eGon2035,52137,rural_heat,0.0
52139 rural_heat,eGon2035,52139,rural_heat,0.0
52141 rural_heat,eGon2035,52141,rural_heat,0.0
52143 rural_heat,eGon2035,52143,rural_heat,0.0
52147 rural_heat,eGon2035,52147,rural_heat,0.0
52161 rural_heat,eGon2035,52161,rural_heat,0.0
52167 rural_heat,eGon2035,52167,rural_heat,0.0
52169 rural_heat,eGon2035,52169,rural_heat,0.0
52170 rural_heat,eGon2035,52170,rural_heat,0.0
52171 rural_heat,eGon2035,52171,rural_heat,0.0
52173 rural_heat,eGon2035,52173,rural_heat,0.0
52177 rural_heat,eGon2035,52177,rural_heat,0.0
52180 rural_heat,eGon2035,52180,rural_heat,0.0
52189 rural_heat,eGon2035,52189,rural_heat,0.0
52193 rural_heat,eGon2035,52193,rural_heat,0.0
52197 rural_heat,eGon2035,52197,rural_heat,0.0
52200 rural_heat,eGon2035,52200,rural_heat,0.0
52203 rural_heat,eGon2035,52203,rural_heat,0.0
52209 rural_heat,eGon2035,52209,rural_heat,0.0
52213 rural_heat,eGon2035,52213,rural_heat,0.0
52222 rural_heat,eGon2035,52222,rural_heat,0.0
52224 rural_heat,eGon2035,52224,rural_heat,0.0
52237 rural_heat,eGon2035,52237,rural_heat,0.0
52247 rural_heat,eGon2035,52247,rural_heat,0.0
52267 rural_heat,eGon2035,52267,rural_heat,0.0
52292 rural_heat,eGon2035,52292,rural_heat,0.0
52298 rural_heat,eGon2035,52298,rural_heat,0.0
52304 rural_heat,eGon2035,52304,rural_heat,0.0
52324 rural_heat,eGon2035,52324,rural_heat,0.0
52388 rural_heat,eGon2035,52388,rural_heat,0.0
52403 rural_heat,eGon2035,52403,rural_heat,0.0
52460 rural_heat,eGon2035,52460,rural_heat,0.0
52631 rural_heat,eGon2035,52631,rural_heat,0.0
52680 rural_heat,eGon2035,52680,rural_heat,0.0
52721 rural_heat,eGon2035,52721,rural_heat,0.0
53 AC,eGon2035,53,AC,0.0
54 AC,eGon2035,54,AC,0.0
55 AC,eGon2035,55,AC,0.0
56 AC,eGon2035,56,AC,0.0
57 AC,eGon2035,57,AC,0.0
58 AC,eGon2035,58,AC,0.0
59 AC,eGon2035,59,AC,0.0
6 AC,eGon2035,6,AC,0.0
60 AC,eGon2035,60,AC,0.0
61 AC,eGon2035,61,AC,0.0
62 AC,eGon2035,62,AC,0.0
63 AC,eGon2035,63,AC,0.0
64 AC,eGon2035,64,AC,0.0
65 AC,eGon2035,65,AC,0.0
66 AC,eGon2035,66,AC,0.0
67 AC,eGon2035,67,AC,0.0
68 AC,eGon2035,68,AC,0.0
69 AC,eGon2035,69,AC,0.0
69914 land_transport_EV,eGon2035,69914,land_transport_EV,0.0
69915 land_transport_EV,eGon2035,69915,land_transport_EV,0.0
69920 land_transport_EV,eGon2035,69920,land_transport_EV,0.0
69924 land_transport_EV,eGon2035,69924,land_transport_EV,0.0
69925 land_transport_EV,eGon2035,69925,land_transport_EV,0.0
69929 land_transport_EV,eGon2035,69929,land_transport_EV,0.0
69931 land_transport_EV,eGon2035,69931,land_transport_EV,0.0
69942 land_transport_EV,eGon2035,69942,land_transport_EV,0.0
69948 land_transport_EV,eGon2035,69948,land_transport_EV,0.0
69958 land_transport_EV,eGon2035,69958,land_transport_EV,0.0
69979 land_transport_EV,eGon2035,69979,land_transport_EV,0.0
69996 land_transport_EV,eGon2035,69996,land_transport_EV,0.0
7 AC,eGon2035,7,AC,0.0
70 AC,eGon2035,70,AC,0.0
70004 land_transport_EV,eGon2035,70004,land_transport_EV,0.0
70017 land_transport_EV,eGon2035,70017,land_transport_EV,0.0
70038 land_transport_EV,eGon2035,70038,land_transport_EV,0.0
70054 land_transport_EV,eGon2035,70054,land_transport_EV,0.0
70058 land_transport_EV,eGon2035,70058,land_transport_EV,0.0
70063 land_transport_EV,eGon2035,70063,land_transport_EV,0.0
70075 land_transport_EV,eGon2035,70075,land_transport_EV,0.0
70091 land_transport_EV,eGon2035,70091,land_transport_EV,0.0
70104 land_transport_EV,eGon2035,70104,land_transport_EV,0.0
70129 land_transport_EV,eGon2035,70129,land_transport_EV,0.0
70135 land_transport_EV,eGon2035,70135,land_transport_EV,0.0
70146 land_transport_EV,eGon2035,70146,land_transport_EV,0.0
70154 land_transport_EV,eGon2035,70154,land_transport_EV,0.0
70155 land_transport_EV,eGon2035,70155,land_transport_EV,0.0
70156 land_transport_EV,eGon2035,70156,land_transport_EV,0.0
70175 land_transport_EV,eGon2035,70175,land_transport_EV,0.0
70177 land_transport_EV,eGon2035,70177,land_transport_EV,0.0
70204 land_transport_EV,eGon2035,70204,land_transport_EV,0.0
70226 land_transport_EV,eGon2035,70226,land_transport_EV,0.0
70227 land_transport_EV,eGon2035,70227,land_transport_EV,0.0
70229 land_transport_EV,eGon2035,70229,land_transport_EV,0.0
70243 land_transport_EV,eGon2035,70243,land_transport_EV,0.0
70292 land_transport_EV,eGon2035,70292,land_transport_EV,0.0
70304 land_transport_EV,eGon2035,70304,land_transport_EV,0.0
70305 land_transport_EV,eGon2035,70305,land_transport_EV,0.0
70310 land_transport_EV,eGon2035,70310,land_transport_EV,0.0
70312 land_transport_EV,eGon2035,70312,land_transport_EV,0.0
70324 land_transport_EV,eGon2035,70324,land_transport_EV,0.0
70348 land_transport_EV,eGon2035,70348,land_transport_EV,0.0
70356 land_transport_EV,eGon2035,70356,land_transport_EV,0.0
