name,scn_name,bus,carrier,p_nom,p_max_pu,marginal_cost,efficiency,up_time_before,e_nom_max,control,weight,p_nom_opt
74925 solar_thermal_collector,eGon2035,74925,solar_thermal_collector,3.110347616637802,0.9999999999999999,0.00903286433531188,0.9999999999999999,0,inf,PQ,3.110347616637802,3.110347616637802
74926 central_biomass_CHP_heat,eGon2035,74926,central_biomass_CHP_heat,4.718,1.0,0.005072333003762299,1.0,0,inf,Slack,4.718,4.718
74926 load shedding,,74926,load shedding,2394321.8136152676,1.0000000000000002,10000.007015786241,1.0000000000000002,1,0.0,PQ,2394321.813615268,2394321.8136152676
74926 solar_thermal_collector,eGon2035,74926,solar_thermal_collector,19.52550976097338,1.0,0.007325421537597942,1.0,0,inf,PQ,19.52550976097338,19.52550976097338
74927 central_biomass_CHP_heat,eGon2035,74927,central_biomass_CHP_heat,67.22939999999998,1.0,0.006930498100218979,1.0,0,inf,Slack,67.2294,67.22939999999998
74927 load shedding,,74927,load shedding,5746372.352676643,1.0,10000.009352457493,1.0,1,0.0,PQ,5746372.352676643,5746372.352676643
74927 solar_thermal_collector,eGon2035,74927,solar_thermal_collector,105.62155270146667,1.0,0.010031804762895292,1.0,0,inf,PQ,105.62155270146667,105.62155270146667
74928 central_biomass_CHP_heat,eGon2035,74928,central_biomass_CHP_heat,1.717,0.9999999999999999,0.0030060705937352706,0.9999999999999999,0,inf,Slack,1.717,1.717
74928 load shedding,,74928,load shedding,638485.8169640715,1.0,10000.010060875964,1.0,1,0.0,PQ,638485.8169640715,638485.8169640715
74930 central_biomass_CHP_heat,eGon2035,74930,central_biomass_CHP_heat,1042.078,1.0,0.010744511618708832,1.0,0,inf,Slack,1042.078,1042.078
74930 load shedding,,74930,load shedding,11173501.796871254,0.9999999999999998,10000.00740549539,0.9999999999999998,1,0.0,PQ,11173501.79687125,11173501.796871254
74930 solar_thermal_collector,eGon2035,74930,solar_thermal_collector,103.57472459606335,0.9999999999999999,0.0079478859712393,0.9999999999999999,0,inf,PQ,103.57472459606333,103.57472459606335
74931 central_biomass_CHP_heat,eGon2035,74931,central_biomass_CHP_heat,49.159,0.9999999999999999,0.009594553646609293,0.9999999999999999,0,inf,Slack,49.159,49.159
74931 load shedding,,74931,load shedding,2075078.905133232,1.0,10000.010260484192,1.0,1,0.0,PQ,2075078.9051332322,2075078.905133232
74931 solar_thermal_collector,eGon2035,74931,solar_thermal_collector,29.185367637511316,1.0,0.008386230013222364,1.0,0,inf,PQ,29.185367637511316,29.185367637511316
74932 central_biomass_CHP_heat,eGon2035,74932,central_biomass_CHP_heat,6.255,1.0,0.00021068059530668495,1.0,0,inf,Slack,6.255,6.255
74932 load shedding,,74932,load shedding,638485.8169640715,1.0,10000.011213702484,1.0,1,0.0,PQ,638485.8169640715,638485.8169640715
74932 solar_thermal_collector,eGon2035,74932,solar_thermal_collector,15.42601618549739,1.0,0.009896744051936647,1.0,0,inf,PQ,15.42601618549739,15.42601618549739
74933 central_biomass_CHP_heat,eGon2035,74933,central_biomass_CHP_heat,0.081,1.0,0.01312269352299651,1.0,0,inf,Slack,0.081,0.081
74933 load shedding,,74933,load shedding,478864.3627230536,1.0,10000.01337368318,1.0,1,0.0,PQ,478864.3627230536,478864.3627230536
74937 central_biomass_CHP_heat,eGon2035,74937,central_biomass_CHP_heat,9.105,0.9999999999999999,0.009788691041364508,0.9999999999999999,0,inf,Slack,9.105,9.105
74937 load shedding,,74937,load shedding,2394321.8136152676,1.0000000000000002,10000.007787382072,1.0000000000000002,1,0.0,PQ,2394321.813615268,2394321.8136152676
74937 solar_thermal_collector,eGon2035,74937,solar_thermal_collector,57.50791945841133,1.0,0.00636264382828219,1.0,0,inf,PQ,57.50791945841134,57.50791945841133
74938 central_biomass_CHP_heat,eGon2035,74938,central_biomass_CHP_heat,2.0,1.0,0.011319040228494186,1.0,0,inf,Slack,2.0,2.0
74938 load shedding,,74938,load shedding,638485.8169640715,1.0,10000.004229391598,1.0,1,0.0,PQ,638485.8169640715,638485.8169640715
