,43784
0,0.9258973199169159
1,0.9461546816896131
2,0.9569967161334265
3,0.9527426186899588
4,0.9420886464296728
5,0.9383938103001376
6,-1.2993746690534022e+17
7,0.9321927378949703
8,0.9673788905793193
9,0.9666563402292787
10,0.9728182978167682
11,0.9688785011872553
12,0.9652771092288449
13,-5032137023650218.0
14,-1.5735592281167156e+16
15,-19008243208226.02
16,0.9702594014525888
17,0.971195547205802
18,0.9610725000114854
19,0.9405084498476506
20,0.9604050621221134
21,0.9498041256815067
22,0.9589755171241937
23,0.9596170655204981
24,0.9644620225322788
25,0.9610459764121796
26,0.9631434970567228
27,0.9608243298455165
28,0.9665623573745546
29,0.9714647684007958
30,-65155930122981.734
31,0.9684844375541137
32,0.9604157713233225
33,0.9572321665155554
34,0.9551091414161572
35,0.9595469536993245
36,0.9642850324619533
37,0.9609581509518742
38,0.9607942950012458
39,0.9638486846332037
40,-583230454024942.0
41,-4854345233233916.0
42,-14050324198252.13
43,0.9291854096615695
44,0.9428903733696252
45,0.9378870619598024
46,0.972840709071468
47,-5.192186805522904e+16
48,-7212637299163280.0
49,-1.1578630028052006e+16
50,-4490139253592.013
51,0.9505813289158785
52,-1.0057224899158292e+18
53,0.9586879656127352
54,-3210617544802266.0
55,0.9490967282916114
56,0.9565094561742395
57,0.9405850427833061
58,0.9695145002625074
59,0.9653578545133319
60,0.9006023569672189
61,-2852431194417108.0
62,0.9541526033079214
63,-1564396510341.451
64,-258894264530913.7
65,-159905783872731.6
66,-2.7491380031643456e+17
67,0.9095380664673741
68,0.9118278780693405
69,0.9245416817361076
70,0.9404033103474622
71,0.942578093374794
72,0.9205142464093751
73,0.9150768559691536
74,0.9617301929289508
75,0.9377497932008637
76,0.95328734063273
77,0.9398333177079344
78,0.9613164131876546
79,0.9627472871791091
80,0.9668304995156392
81,0.9519078505981167
82,0.9603002315286532
83,0.9613626824954307
84,0.9382693287672579
85,0.9302691906780509
86,0.9617413365794812
87,0.9547696992446746
88,0.9499503534161235
89,0.9530139481950735
90,0.9642735632635435
91,0.9579698567252084
92,0.9204584049956571
93,0.9429412876454512
94,-3254839382732065.0
95,0.9558647500484083
96,0.9696023952103486
97,0.9657720626021605
98,3.0669133837368223
99,0.9723649607949716
100,-39635746135812.5
101,0.9362752957353889
102,0.960894238319525
103,0.9313479437561122
104,-632333799690.4263
105,0.9633765048540937
106,0.966814031912566
107,-238143227672.7548
108,-6.271805796961983e+16
109,-5162015299343758.0
110,0.9647067900853546
111,0.9606807442964713
112,-1.4351016957536855e+18
113,-261537854212412.06
114,0.9700516666286984
115,0.9352273030104503
116,0.9694138088575089
117,0.9347426104291804
118,0.9521415807180885
119,0.9618208459345382
120,0.9580227567556187
121,0.947585623389614
122,0.9526043209691447
123,0.9482671201836247
124,0.9576960032528039
125,0.9232157832154962
126,0.9612890527469365
127,0.907948660312875
128,0.9626756523900873
129,0.9597386775926161
130,0.9687931152383219
131,-2.3140115384160584e+16
132,-4.1634284417193576e+16
133,-1948399710776087.5
134,0.9675415249162245
135,0.9704448652449797
136,0.958705036705473
137,0.9692734488817277
138,0.9641570640106353
139,0.9462035479331765
140,0.9462117726649885
141,-1454358993473.2722
142,-3904771212455210.0
143,0.9665953066622736
144,0.9676797681104846
145,0.9642263549092599
146,-17402305367.361034
147,-12277927.592786111
148,-314328786166516.0
149,-7.436457932343389e+16
150,0.9689739023485251
151,-1191462249597330.5
152,0.9231321560636749
153,0.9410578722541668
154,0.9621095424920716
155,0.9514080904779234
156,-7324508312832714.0
157,0.95683970586187
158,0.9665315355511358
159,0.9489171494952041
160,0.9684342062799668
161,0.9645692883056767
162,0.9572787638298133
163,0.9670441364327721
164,0.9683158270477098
165,0.9653851861357775
166,0.947006561240146
167,0.960410668670539
168,0.9491900861843625
169,0.9393898674488153
170,-208605821814.84006
171,0.9625777279562551
172,-6.496224159455639e+16
173,-2987396041139692.0
174,-6117352599603014.0
175,-5.248473788419212e+16
176,-711830808143953.2
177,0.9677598837107726
178,0.9631038892531592
179,0.9688457341128813
180,0.9346976322282782
181,-1.9782205561481443e+17
182,-23227197783932.53
183,-2870962.2437884137
184,-137524041815.47498
185,-19086408472798.992
186,-1345345135.1536841
187,-1578930938594015.8
188,-57880724187477.16
189,-4.880690095621815e+16
190,0.9389969251203923
191,0.9549744727502699
192,-313339001105371.4
193,0.9445712519855708
194,-508870341501447.3
195,-1.20295052010323e+17
196,-1.1821781905582224e+17
197,-201998320446514.8
198,0.970931920750171
199,-3.748192033747569e+16
200,-2042485001747836.0
201,-2794692417611688.0
202,-6.0143882116609064e+16
203,-1.0646254001325186e+17
204,-509057586430.9768
205,0.95664107013298
206,-6.178805287747935e+17
207,0.8976073479782779
208,-5335887062857.283
209,-14794021.820958104
210,0.963338874126492
211,0.8929560616976242
212,-321552173542680.9
213,-66204453366.484
214,0.957563752106891
215,0.9731552222507648
216,0.9314642098729792
217,0.9666601190475391
218,0.9628190189445298
219,0.9728547903275893
220,0.9664397170682875
221,0.928197119423662
222,0.9355051918659325
223,-1.6943370655890512e+16
224,-5.04260473663232e+16
225,-3278422887509991.5
226,0.9722945967448388
227,0.9506245230666144
228,0.9621408457486986
229,0.966034128492959
230,0.9689352028570446
231,0.9612314300057789
232,0.9546030701774262
233,0.926231685555673
234,0.9682941252541899
235,0.9311392615975657
236,0.9292440706791569
237,-112855830015376.02
238,0.940720823511177
239,0.9426313710539376
240,-5.682067182379056e+16
241,0.9620229486169208
242,0.9638727904642935
243,0.9532785106346169
244,0.9648848479430627
245,0.9185125013904667
246,0.9450187007776713
247,-2.4165475572686052e+16
248,0.9335138857332553
249,-6726839355581326.0
250,-3.286686361521635e+17
251,-9.085197849867482e+16
252,-1.741345986489469e+17
253,0.9371578134328459
254,-8863781554359744.0
255,-50532143966804.766
256,-7.705192800503232e+16
257,-3131914956087374.5
258,0.9673706095946634
259,-1.853627070254584e+16
260,0.9626444769624005
261,-5.618507587465386e+17
262,-59517558661172.66
263,0.9616254909005532
264,-31605904352882.758
265,0.9636830733187373
266,-10021179187591.441
267,0.9544895521845957
268,0.9515445164566332
269,0.9370788384730809
270,0.9496636221870784
271,-119390455.63349214
272,0.9267139914838882
273,-1113536502421675.2
274,0.9446703804496943
275,0.9482255350718278
276,0.9648602366236594
277,0.9644846303793947
278,0.9605758674978943
279,0.968234742116438
280,0.9652124928934676
281,0.972233105691281
282,0.9699520042073084
283,0.9558602230894755
284,0.9692039576186258
285,0.9705164801018715
286,0.9487985874022137
287,0.9566705318493502
288,0.9498395496501512
289,0.9550271220740729
290,0.9713468851612145
291,0.9657243513684823
292,0.9619392372765986
293,0.9672146519738782
294,0.9680950609166908
295,-131636312643385.95
296,-3738353186839981.0
297,0.80481944779009
298,-4845184484542785.0
299,0.9692746764384139
300,0.9481839214508531
301,0.9641402076502388
302,-475221927832197.0
303,0.9511723050539909
304,0.9607790829728121
305,0.9602262452727115
306,0.9431423674673836
307,0.9382329941389156
308,0.9450670105145592
309,-621377755706593.5
310,-1393105007031675.5
311,0.9720731516857439
312,-5122668454.597139
313,0.9708099290490447
314,-2.650423379831639e+17
315,-8.185289472215253e+16
316,0.9700903056879239
317,0.9501097634026353
318,0.9712499697145324
319,-17795327503112.07
320,0.962387163859263
321,0.9684580206201748
322,0.9502998055665648
323,0.9558848522440947
324,0.9531492993998435
325,0.9548748758640062
326,0.9695694306993856
327,0.9610680547986779
328,0.9709875555895814
329,0.9577641634138382
330,0.9658226893239489
331,-777072801473828.8
332,-1.2992360026813398e+16
333,-3.833210566173471e+17
334,-7.120482956611951e+17
335,0.9726882852160662
336,-4552367012548913.0
337,0.9672786815734118
338,-4902163579630858.0
339,0.9534849576011962
340,0.9701545180648921
341,0.9471021920824514
342,0.966972953757355
343,0.9716898850962484
344,0.9673716142366056
345,0.9588619806238098
346,0.9478690940226241
347,0.959774890626619
348,0.956785543355283
349,0.9535998493005651
350,0.9680942763171938
351,0.9585772704752076
352,0.9704887351982413
353,0.9528763186438804
354,0.9671915487401194
355,0.9682826178120133
356,0.9181846247800648
357,0.9689707330573484
358,-999273.3025808564
359,0.9566502891326784
360,0.9301162362049779
361,0.9438911031729698
362,-163890460618760.8
363,-1699227.1023646588
364,0.9675226326797595
365,0.9285178267609147
366,0.9604431992233244
367,0.9670576470524352
368,0.9711240813502332
369,0.9714102632114842
370,0.9670030126822802
371,0.9617780592854327
372,0.9556912173738016
373,0.9293285277902704
374,-8.165193998236594e+16
375,-5.475992348308658e+16
376,0.9645638649747977
377,-3.550449963997623e+17
378,-2.2032239441313176e+16
379,-3292997195732309.5
380,-8.234629694907965e+16
381,0.9625403051510754
382,0.9669487403839659
383,0.9725709331485285
384,-2.020433173582007e+17
385,0.9650051307503811
386,-3700229892750817.0
387,0.954875955210895
388,0.9595853516349807
389,-58406262941021.6
390,0.9460011710596997
391,-452455826396745.1
392,0.9602770905981114
393,-2.0032445026674692e+16
394,-2.74787435016504e+16
395,-5.975996692598003e+17
396,-1.3801635656458483e+17
397,-157627425713665.56
398,-8528014645867498.0
399,0.9709731288238616
400,0.9708280757276518
401,0.9595999902530448
402,0.9667080709183863
403,0.9706026652034955
404,0.958667177277801
405,0.9642147470727291
406,0.9517628800880167
407,0.915723879050377
408,0.9403075438512514
409,0.9242743094901891
410,-5.963714401737937e+17
411,0.9704196880388691
412,0.9688115748180985
413,0.9621007396034418
414,0.9671342835492317
415,0.9631228538557244
416,0.9736564930742846
417,0.9717217321727736
418,0.952300809927327
419,0.967451072414261
420,0.9532257292263302
421,0.9602839606108284
422,-266192924265461.5
423,-947137402435.0964
424,0.9514072128788332
425,0.9663452420009928
426,0.9611057447848673
427,-1152531690.0657463
428,0.94158696466141
429,-5.616204812442271e+17
430,0.9731795464844527
431,0.9651878465394802
432,0.9233335417135912
433,0.9659501337169246
434,-7203732127480506.0
435,0.9608510719747516
436,0.9697028259771597
437,0.9276672618633075
438,0.94888990119743
439,0.9277579725817816
440,0.9243007189247784
441,0.9445059203968491
442,-145984709785842.06
443,0.9688684582017375
444,-5.5970447146851136e+17
445,-86142030489342.1
446,-1.4359876855474206e+17
447,0.9647927678464271
448,0.9699975327552454
449,0.9676968689756895
450,0.9704561254163097
451,-260909369796.2602
452,0.9716687233831393
453,-4.821764377517234e+17
454,0.9635712151958715
455,0.9439443845429151
456,0.9558130609384278
457,0.9202730289801729
458,-3.862239090389581e+16
459,-1294850498913319.5
460,-9.290797555101791e+17
461,-2.7281177835049416e+16
462,0.9680005326422102
463,0.9705447675395423
464,0.9679180944921877
465,0.9686056321484842
466,0.9596504626561343
467,0.9616711853229071
468,0.9434418560769774
469,0.9662665446479893
470,-3343559884910985.0
471,0.9537418826591871
472,0.955831600021855
473,0.9370497935256462
474,0.9657129952753511
475,0.9595847294017449
476,0.9626009583547586
477,0.9661070324691631
478,0.9666054439728826
479,0.9367056404979373
480,-3.3738898023561984e+17
481,-6.884874437929874e+17
482,-4.406342381921478e+16
483,-2495145168163.2095
484,0.9686325585287591
485,0.9400368201405295
486,0.9680576401097435
487,0.946033552399279
488,0.9489785447161255
489,0.9676495672883056
490,0.9459558697902155
491,0.9430615638365083
492,0.936633969889193
493,0.9560370646722948
494,-1.5352806315544863e+18
495,-4.077196978212831e+16
496,-1.5187069774422067e+17
497,-3227260936.222555
498,-7.938910850604021e+16
499,-1.395905860873546e+16
500,-4.683422980726044e+18
501,-3.803913156985669e+16
502,0.9618849470611485
503,0.9669529584169887
504,0.9466147227290264
505,0.9376023162019287
506,-164023173423799.12
507,-300902229881949.9
508,-1329952882714772.2
509,-9.529373656320438e+16
510,-5376512270056169.0
511,-1.9885013954359764e+16
512,-21013258887.845497
513,0.9733250981965095
514,0.95958727559568
515,0.9424554202425593
516,-9924157141.065056
517,0.9723591975587309
518,-2.700800666552512e+17
519,0.9727784773117276
520,0.9729003795915918
521,-7.063345316340399e+18
522,0.9374004090084876
523,0.9618663321224045
524,0.9706271023086114
525,0.970238412636653
526,0.9666988912987586
527,0.9460019579558143
528,0.9506642968473744
529,0.9408807759915458
530,0.9557078017293327
531,0.9491696486606027
532,0.9690611902561646
533,0.9570481050664328
534,0.9546692125718828
535,0.972048108906177
536,0.9604886100043097
537,-4.0378457500119016e+16
538,-2824852152254629.0
539,0.959848914225579
540,-9873848628600080.0
541,0.9336952996576628
542,-1.1376261784625048e+16
543,-2.350147373385592e+18
544,-6491923874347338.0
545,-151125845500875.56
546,0.9698951746470496
547,-1.590100578688082e+16
548,-1.803657969568185e+17
549,-1.0161908616264954e+17
550,-6.522676023936085e+16
551,0.9687487821544407
552,0.9551561833074171
553,0.9611536499835756
554,-4.9110420731397056e+17
555,0.9365104873073838
556,0.9521793565228052
557,0.9642314529088476
558,0.9604128883056297
559,-2903878561057280.0
560,-2.4286119089113496e+16
561,-2.5008914469714035e+17
562,0.9580105061584425
563,0.9566585496499255
564,-25992466120.461094
565,0.9436958611102347
566,-5.60738116482364e+17
567,-1.917589764315404e+16
568,-5279180623665343.0
569,0.9705043292358465
570,0.9637427350343216
571,0.9677445909299445
572,0.9506412162764193
573,0.95600635521016
574,0.9578397761453136
575,0.9525650803545451
576,0.959914635111634
577,0.9479057107891853
578,-1444065467629889.0
579,-2804236172753175.5
580,-6.274956403411088e+16
581,-35910129260.593506
582,0.9569972826594217
583,-6.986909614429618e+16
584,-550010420699694.75
