name,bus0,bus1,carrier,x,r,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,lifetime,capital_cost,length,num_parallel,geom,v_nom,x_pu_eff,r_pu_eff,s_nom_opt,country
0,0,43,AC,39.55816795731805,13.72505343543932,3.3872557758339655e-07,1040.002127239291,True,1040.0,6218.755219495297,1.0,40.0,97.90484156963845,84.2957044371965,2.0,,380.0,0.0002739485315603743,9.504884650581246e-05,1040.002127239291,DE
1,0,84,AC,13.349597451559054,4.375356883155591,2.045402766049118e-05,2080.0074515618517,True,2080.0,9328.132829242946,1.0,40.0,26.04185728739579,40.49906207102765,6.0,,380.0,9.244873581412088e-05,3.0300255423515175e-05,2080.0074515618517,DE
10,10,58,AC,7.996591773862133,0.8908887657320234,1.3787587423224696e-06,3580.011826689878,True,3580.0,10741.486288219148,1.0,40.0,16.38615452980656,63.48788146048337,2.0,,380.0,5.5378059375776543e-05,6.169589790387973e-06,3580.011826689878,DE
100,31,46,AC,26.095707473131267,8.753793047181727,0.00015596165490696772,1560.0016877497203,True,1560.0,7773.444024369121,1.0,40.0,113.464745164825,67.67827587685392,3.0,,380.0,0.00018071819579730793,6.062183550679866e-05,1560.0016877497203,DE
101,31,85,AC,24.60081469856248,8.061740974648767,0.00017277081940430695,2080.0018643539897,True,2080.0,9328.132829242944,1.0,40.0,100.83031997589697,74.50415210118643,6.0,,380.0,0.00017036575276012798,5.5829231126376505e-05,2080.0018643539897,DE
102,32,42,AC,63.94918972872527,21.448360475148203,9.882450705299123e-05,978.6209647452986,True,780.0,7773.444024369121,1.0,40.0,137.98985073376423,82.30675680449797,2.0,,380.0,0.0004428614247141639,0.00014853435232097093,978.6209647452986,DE
103,32,58,AC,7.762269158043718,0.8937299058825587,3.464036147978118e-05,4100.006293460168,True,4100.0,12296.175093092972,1.0,40.0,32.876871123471815,65.35982912809551,3.0,,380.0,5.375532657925013e-05,6.189265276195005e-06,4100.006293460168,DE
104,32,81,AC,171.56707556375756,49.605295780231266,3.8148073561067036e-05,520.0031516495832,True,520.0,3109.3776097476484,1.0,40.0,58.48912932705213,76.19483198618417,2.0,,380.0,0.0011881376424082934,0.00034352697908747416,520.0031516495832,DE
105,33,59,AC,35.69111873246423,10.319435722986949,9.83668022575115e-07,3047.9192578944267,True,1040.0,3109.3776097476484,1.0,40.0,12.526120983717812,32.63600244264733,4.0,,380.0,0.00024716841227468306,7.146423630877388e-05,3047.9192578944267,DE
106,33,75,AC,85.62671038768366,24.757376773819708,4.283819371524675e-05,1404.0847573078215,True,780.0,3109.3776097476484,1.0,40.0,43.86862240111422,57.14843684247264,3.0,,380.0,0.0005929827589174769,0.00017144997765803122,1404.0847573078215,DE
107,34,41,AC,3.0692090384651207,0.46716324574253415,0.00012901738802515044,8529.491787734945,True,6960.0,29397.751946705037,1.0000000000000002,40.0,38.25269983151997,40.95334383259147,10.0,,380.0,2.1254910238678122e-05,3.2352025328430344e-06,8529.491787734945,DE
108,34,7,AC,2.670339919253433,0.33455797992080855,0.0004884202605938487,11404.520299629965,True,9500.0,32365.79421055507,1.0,40.0,70.81250163062134,51.375464335377735,11.0,,380.0,1.849265872059164e-05,2.316883517457123e-06,11404.520299629965,DE
109,34,71,AC,6.16603035916676,0.9363421099642176,1.3858800002618721e-05,13770.948444475474,True,6700.0,26288.374336957386,1.0,40.0,68.15587454750441,81.73404585390965,10.0,,380.0,4.270104126846787e-05,6.4843636424114794e-06,13770.948444475474,DE
11,10,72,AC,9.662910762046593,1.0765297024521947,5.304717369182515e-07,3580.008450326689,True,3580.0,10741.486288219148,1.0,40.0,22.402468955347214,77.15376978084181,2.0,,380.0,6.691766455710937e-05,7.455191845236805e-06,3580.008450326689,DE
110,34,74,AC,95.07358518035775,27.488731325380996,4.2481930235451116e-05,1040.0039690919684,True,1040.0,3109.3776097476484,1.0,40.0,48.82595699148595,84.80859337646152,4.0,,380.0,0.0006584043295038626,0.0001903651753835249,1040.0039690919684,DE
111,34,85,AC,263.03657891462575,76.05209888920133,5.848637211886025e-05,520.0020804998082,True,520.0,1554.6888048738242,1.0,40.0,89.9527015520323,117.18298870779084,2.0,,380.0,0.0018215829564724776,0.0005266765851052724,520.0020804998082,DE
112,35,39,AC,73.18108194396035,25.39067829370801,9.043730589029331e-05,1103.7718186339325,True,520.0,6218.755219495297,1.0,40.0,181.09133360148078,77.95948233341566,1.0,,380.0,0.0005067941962878141,0.00017583572225559564,1103.7718186339325,DE
113,35,58,AC,30.322862696491065,10.170678429461052,4.010371000930446e-05,1966.9803599500224,True,1560.0,7773.444024369121,1.0,40.0,44.217670221474236,78.17916671118267,4.0,,380.0,0.00020999212393691874,7.043406114585216e-05,1966.9803599500224,DE
114,35,68,AC,110.32902889355758,31.899620632394047,5.51971135419177e-05,780.0033653219178,True,780.0,3109.3776097476484,1.0,40.0,56.5242515511831,73.63515066200887,3.0,,380.0,0.0007640514466312852,0.00022091150022433552,780.0033653219178,DE
115,36,62,AC,7.262254708910173,0.8090770329300843,0.0005083579601541141,3580.0013425499224,True,3580.0,10741.486288219148,1.0,40.0,134.0854947484759,57.723556125634644,2.0,,380.0,5.029262263788208e-05,5.603026543837149e-06,3580.0013425499224,DE
116,36,63,AC,28.626876164880276,9.380246653841871,0.00028703619922119646,3612.0610413578725,True,2080.0,9328.132829242946,1.0,40.0,133.62644643311046,86.47515920843189,4.0,,380.0,0.00019824706485374152,6.496015688256143e-05,3612.0610413578725,DE
