,0 AC,1 AC,10 AC,11 AC,12 AC,13 AC,14 AC,15 AC,16 AC,17 AC,18 AC,19 AC,2 AC,20 AC,21 AC,22 AC,23 AC,24 AC,25 AC,26 AC,27 AC,28 AC,29 AC,3 AC,30 AC,31 AC,32 AC,33 AC,34 AC,35 AC,36 AC,37 AC,38 AC,39 AC,4 AC,40 AC,41 AC,42 AC,43 AC,43775 AC,43776 AC,43777 AC,43778 AC,43779 AC,43780 AC,43781 AC,43782 AC,43783 AC,43784 AC,43785 AC,43786 AC,43787 AC,43788 AC,44 AC,45 AC,46 AC,47 AC,48 AC,49 AC,5 AC,50 AC,51 AC,52 AC,53 AC,54 AC,55 AC,56 AC,57 AC,58 AC,59 AC,6 AC,60 AC,61 AC,62 AC,63 AC,64 AC,65 AC,66 AC,67 AC,68 AC,69 AC,7 AC,70 AC,71 AC,72 AC,73 AC,74 AC,75 AC,76 AC,77 AC,78 AC,79 AC,8 AC,80 AC,81 AC,82 AC,83 AC,84 AC,85 AC,9 AC
472,402.2745671006483,66.4086011131399,231.81825506962443,453.8324507512269,569.5759535409961,125.80685947546002,119.65884968997916,107.43027574488337,130.58362985714746,278.59495874133887,740.0874740577193,138.89830482622892,193.76351162784235,412.1486018360301,84.3463597997257,90.09879912989206,380.1419346223094,29.35314492468096,46.67867371077365,107.89775249282756,352.5709288487564,59.72676299583064,411.8245182933157,523.9515028769076,139.29127281216057,164.94155648725996,110.74760279461849,200.74503632570529,1009.2794870658104,56.21144429388538,655.5612145841661,151.1752829582182,889.5075374318284,41.02348355496459,1473.4905029853128,626.3488450621379,242.35913349396012,313.3061800123526,138.3295238436241,4901.419917203284,4998.489455989289,3035.4609982352954,3516.6818349616633,1785.706371454232,972.0867289766578,23752.608987562802,693.6882930072152,18395.20661015349,521.7999993698907,8718.069116467002,6389.2792090971725,10713.574346238553,7673.418109125482,369.3738906828772,66.2601505804267,148.74487196894592,47.2390912510347,251.14324443816068,115.4313012874123,149.23119164471066,168.00971129889388,505.7173049487263,1432.1358852868864,549.888328845811,286.591950510687,86.82135808924969,121.19732821297384,286.3641244622735,227.13420819147385,177.4040519059031,165.3777155880736,134.0079262156051,194.2575043590335,517.1703126113198,26.405094581633804,413.2066226713678,227.94318011443838,318.0424784459273,107.71163074109563,87.16387310211621,26.240191107420976,214.30843460711847,219.7614250952045,1273.0208271928118,113.5731984180724,245.26181117022358,230.50222804769305,187.20634983157876,133.81450914312012,134.2168490225004,704.3865816471938,105.87327021545372,271.50071327729125,90.01708994406192,345.27089919265325,573.320272043104,100.56040892451291,168.65710046039965,24.859131775892056,471.61576990512185
473,268.79595391536174,43.77336099619869,144.1686661651277,284.4825797744849,329.80512820195554,65.59011347032008,70.21784410339042,82.18526676139103,73.13850199021505,155.65660695789308,363.99186183428213,84.01897142272638,115.0223209692925,304.60867493479685,48.246497469619456,56.33389629973318,228.85644880635792,16.827425810473393,23.496669902053014,71.7029008409505,283.1029437612789,29.02739551051051,268.7720998550081,294.5052754044822,70.69038276566998,82.43762229256345,68.64685114368469,137.52891105744993,726.1542845054195,27.90947140554868,376.23518642619183,84.33388926399464,540.6427752006914,34.394432445793704,995.9899864343886,411.89996526415814,148.55883355231498,210.09783477000158,78.78151215966604,4311.901479270137,4631.5463715555,2502.1185316524725,3181.4158439765783,1618.476127437873,901.1930556833,18868.22056027306,695.6217890189673,19071.721626205064,481.8500113975825,7036.696744553361,5862.97172672801,7982.735671905206,6675.2497531459885,249.50089979620006,36.5342427323294,108.31009383583059,27.360939111663615,151.6343777764137,58.936095879537696,127.03599509682532,97.65870987931096,294.9259014634029,799.2406444118087,333.20872458348515,164.15262822952653,47.291368619870276,64.18363934527771,163.84402689579443,141.8743024270914,110.5000154939555,130.9211135108246,86.9702754949374,115.07973123905091,414.3446111839896,16.315529736380483,264.8959917585118,139.31959665154045,219.2180432703312,71.3028196907599,52.288188062384584,16.306831632575914,124.66207791180227,149.7906248856512,1027.617744844765,70.0076672515803,163.50975042642574,143.2301468516028,100.80334207926582,75.51378384107589,77.85538005160781,462.48331276948676,50.75856198622562,152.77845178665822,67.35190835922566,193.1864796883489,302.1660288471397,49.64955153984525,105.55703086481907,11.312008937211203,267.60177390520613
474,473.66397392788014,74.65453293634799,252.95683994101734,548.3461793096125,458.7667325344157,173.84274317992998,138.34832439495983,121.92279720962493,123.76953672839305,345.3529172974451,1036.9320465418286,157.47501180538492,253.36844937027553,441.95097206251944,108.06856618885242,112.93881668964757,458.71010345480573,33.97135051002324,64.35969555177488,112.55006240198885,381.3474876790372,82.45622695072524,421.54708342356633,635.3616004276067,196.70628982538727,123.05887351273577,134.94745893292136,226.68658914362226,1047.2763646239346,81.29765487512522,540.4805918170621,187.22452486900087,1075.4185596316202,43.018231961045196,1593.4849279356986,776.6026574451049,289.7661135686664,364.60083842870097,168.19625010578815,5358.240046511303,5017.000620410458,3700.3548198483336,3867.7356607183297,2086.7678522949172,1099.7874036655185,25084.010453762057,756.7897316958047,19927.2695849212,543.9767068285862,8979.53320596836,6873.895920194659,11511.822056187792,7914.544967663304,428.9080784763989,85.97927281829028,153.8892666067897,57.578441647485974,310.44843183474273,86.72574885751101,160.79650948137342,203.18880129298228,649.0928014238399,1218.692429456088,525.9538493644512,358.06204847464505,93.23584180348928,130.38557069798048,356.1893047641044,268.3068465387337,205.29218484236452,170.3516655298151,160.48235923502145,223.2500563744893,561.5231150724636,34.76911013298503,490.66593476461236,238.65376006297726,368.8549648629484,131.7218629582235,109.76094396089131,36.15256274225149,247.96985477326214,262.4346269329606,1423.462273555648,144.6172669198587,284.98795413957896,281.5190505382304,237.01286838075436,156.6255409877915,169.38467706472446,843.4780128296935,148.06628781516122,344.14011712709356,102.47207770925911,370.3667753928426,742.5087620770678,141.05456170821694,207.06990085959788,37.09704176548109,572.2996136689803
475,371.32328384094075,58.99962227291168,201.14209922347317,419.46598407728897,394.22617285960536,119.77776079352735,106.03725977194037,102.6062182232889,97.68576717914094,255.9281712919419,684.8355202371401,120.28097006178675,183.6432680587444,369.7018620776065,78.82881999611666,83.69534639564306,341.54750969546546,25.350676416597203,43.79777596178587,92.64953427360581,334.1872231703029,55.86037717182713,346.4830322782429,468.7859589475252,132.77311094438565,102.63026691441728,103.36706222388153,182.18009167039557,884.177843054221,53.88807930610366,455.88024157877044,137.18296109208757,824.0656251781934,38.59372816926689,1292.5389240140619,590.9242649315174,221.58034723680748,289.8042443858601,123.09670997088142,5187.492572479663,5241.159755991238,2925.0452529550407,3386.9340955583975,1954.8863462855481,1175.192041486421,23070.683463951107,686.8375429638355,19689.917688004265,507.4059319397353,8038.790587128588,6292.458968128718,10037.548067818181,7325.409320336698,335.51516141559915,61.65508564501679,131.2067402038901,43.303224674705746,234.58995499443307,72.57033567696375,143.77755825806904,152.6277913883087,472.6166284321751,1002.0133852327272,428.55657038070615,261.759493508922,71.68494611266055,97.73343737123413,261.4472510221192,204.2465326391657,159.8184377028225,150.0081746305268,122.0232731822692,170.38377706719794,488.13943026466615,25.268028577726607,379.4665411020035,189.26739603893864,295.31858885847885,101.42601046426569,81.08269412801084,25.993119141534322,190.3301947037398,204.9093165777885,1225.5916551561797,105.53116586584589,227.1545804000455,215.09105822934436,171.73419303862238,117.71285901863016,123.53355694626939,649.7623185293646,97.73751830519261,243.03022440435726,84.97814020780162,276.2104790331396,528.1308536939438,94.6519584866205,155.43587375045513,24.171435805548366,420.702856072651
476,606.2396075799891,100.1365554799325,358.66420748518914,721.0197656938974,698.96162159803,208.06979979839753,184.2517196183133,143.95716227136927,168.41600664860968,541.375017633178,1241.2991129475977,193.94500064891028,315.48461867145534,532.4708243119886,130.47731817090022,131.12733452277294,579.2403443841552,44.454480091473116,71.7093134324693,150.8650165712303,441.04278068142486,99.02795946188883,562.300269776878,853.456842354394,235.33198057223484,206.93124233303706,193.79772239602906,284.09277360793385,1273.6285789374722,93.4412196883528,813.3396978808814,243.01459681521982,1637.37321992276,51.68865580378506,2076.466876735748,979.2079620309107,383.9070975941541,474.2746029196294,220.41320487634928,5275.356366341606,5214.318741135929,3517.6167633798336,3913.4931357956057,1859.8104196782651,949.0154513695868,24154.112012473382,681.2036321492261,16783.469569213154,542.4176481322113,9090.520707521246,6844.038324317796,10738.854152528662,7823.292127050147,548.7677050407135,112.44654320433823,269.18388804247417,73.91290052280945,412.3872408254156,139.80353926711675,187.77766085278435,264.4783515362674,912.2059651525276,1785.8642445132684,711.8842908636849,475.8990082485836,126.57093262114778,179.67130536931154,463.9734709069845,342.33754228024134,282.6060537544182,219.35083989866055,201.70516582143003,297.4790613736454,672.0556661195375,39.48995807385808,606.002210952987,328.52459584053236,462.75110706947174,157.29621542671308,138.56550082700375,36.757550217249054,341.1849399817845,326.96873107087293,1640.9629103959533,178.57424249854844,381.14620435559857,373.51985715828727,314.3979953002054,215.9700043524362,199.9196851928419,1016.6629451781379,171.61403990035126,428.8284904422447,121.27059571856876,501.3182115815772,1116.6864214494628,161.33149837343572,242.89645211261305,40.340506115816154,727.5083922771217
477,556.3849495690926,93.92962568826364,335.89541405432294,656.0933198867126,673.067175846101,190.15762696733148,172.1868618247038,135.91954903778412,162.507719487535,413.4994074210538,1104.5744800247653,185.02681643644868,285.53094271067846,508.6756420231945,121.57085832460434,124.95070587624247,522.6051844665351,41.22501416737976,68.99290485613881,142.33169465794973,420.36899964745743,89.53507059476624,519.7393137923409,752.2907382860639,208.60713361102069,194.1534287393867,172.7833893341467,267.4508706739784,1222.5049070121934,84.9549787080462,765.0170884011027,223.7070671513179,1287.1870224517165,50.60437381542837,1894.5820268270613,862.7417258004431,350.72565558888056,432.75616328740057,199.91692255671313,5050.426817650798,5007.421315471427,3050.1747577838732,3723.083646292189,1891.7692100999311,1064.1965558975382,23561.78607825669,688.1797082680575,19242.728179804533,515.372225345622,8179.32195141763,6397.158634766051,10611.267169645764,7461.165985855725,502.4320784775641,102.68495671433287,256.0948613974407,66.97907292386154,357.3197638673371,135.46964326826975,180.9150390625097,243.71455315236244,774.9993798882109,1710.2159728941592,672.9591035837495,416.0629306261989,118.06862839128272,169.7524703949232,424.53218075219576,312.2373345951382,253.2654770141289,214.43535306088467,185.03140667868297,270.0740403174021,640.9806340848206,37.14575107746377,558.7267929815156,307.186307449034,429.7804663742583,147.13342527669073,129.59825070486542,34.52026003308017,304.44069883649746,297.2651804926583,1549.816357770378,162.75865805413557,347.34330494451655,335.9452090141125,271.6165043150209,195.66543791557842,187.70252370650184,950.2776259803812,159.21006985714098,397.13087200102547,110.79075610153845,465.9397425930084,886.9324753410987,150.76932677441715,225.66852521229805,37.157434092512524,666.4103583943235
478,309.9755841672785,48.08721884031332,177.07991689295747,325.8603114203176,526.3133567875019,71.36729828115108,78.88912346750666,87.51083521815153,105.81173766327898,164.31642833743086,375.10720113188296,96.39465325590305,124.02465106007098,342.0901059377717,52.13474300735773,60.77782016220957,248.37756844469422,18.222841466490795,24.269633364091924,82.53137553894766,291.20652086366493,30.366669200854172,326.67683293514636,319.74266966583065,74.40483128301042,144.18137559407222,87.76122168624542,154.84814601048038,834.4645755949357,29.12303710139016,564.8096027255513,92.6583759887101,575.2090178385881,39.14863521434075,1153.671656365621,423.4426494871261,166.78147192176868,231.3799548630693,91.3911464638726,3865.600585605577,4472.694621024958,2827.5755117683607,3504.223812023964,1466.8313524163677,728.7243855327151,18419.738291193207,540.3177584438241,15124.72465409239,475.7464225861333,6900.93346344679,5811.829538112305,7745.261158194403,6766.370344236817,268.1828496994924,48.8330762761291,192.9739603419319,29.7106583817064,162.0687296342686,101.40315252790539,132.22581061406171,106.8019818424251,349.5204906081515,1224.9322844199205,436.89680581127135,182.4957922027482,52.4760224483485,72.48641453557826,192.40276154017272,151.4630358718911,124.20435932190924,150.36778594223767,97.52131113374219,124.7845641003272,435.0447309257727,17.243899629263964,289.42280621733767,171.48487499875182,242.996077869165,75.89362144764065,61.03941902773687,16.374956921368955,143.29224615827616,164.68618831636323,1079.9696201939753,76.07396256622008,195.2952764467012,162.4356318418842,105.28436966454085,86.47966763320673,82.19247364406029,518.3648213215001,54.07794128428532,192.5500578325217,69.23703818308496,261.8128697462147,333.14144479509577,51.77529246227665,111.27758629118667,11.566858951630213,290.7366187214597
479,553.2464662597137,90.93607950330504,332.4780163784821,647.6724259754809,665.8680458564893,178.63294618740707,169.95300366518663,131.31461429225723,154.52485922900576,500.21966430561724,1085.9540297294204,173.31677383927166,276.71949087677325,493.0673242510272,116.0104195083809,115.05893345250594,520.611096072448,39.62279275488072,63.147873486390765,139.00964560302504,416.72731324200834,86.23148602232494,522.9211429807442,771.9395949278074,202.9295092726439,196.60531044709523,176.629177684463,257.7623300155366,1186.2707754250437,77.39793974586422,772.9692063196491,217.30399304521066,1517.426378033206,49.425551689300946,1923.929860177206,891.5215507306312,349.5873446796622,435.4470823843838,196.34804102219945,5020.810988771439,4910.307463577538,3371.7235593375244,3724.9847346666847,1864.0552757638784,989.0519717949055,23870.783581143238,709.3298854969611,19552.116552711494,523.1235260492774,8591.09695213479,6451.670723696215,11274.55390066516,7792.14375236459,500.83318830318075,99.77840775086254,257.5655148588506,66.3880195610621,375.80937214647963,132.47111396223409,178.19875313115995,240.56906967365842,814.9849230230784,1675.051318186922,658.3107917939376,425.2319551630767,116.78731066548389,163.21640509907547,410.78609375378954,310.55048503819194,266.26183732880554,208.7454083101748,181.10593050637922,270.0868485728054,629.9561217405269,34.06874226371283,545.6597117092722,300.9148280035044,424.9145002065218,139.7646316038558,123.5745328735006,30.974426566043945,314.67330948353464,296.95765692584035,1536.7458159586974,157.88461989050143,351.41854824177614,339.69491621434486,282.89517654778916,193.37854241659136,175.2344018094177,913.6712680850065,145.04317822269687,372.3570746858424,112.05454805805195,454.18822839993027,1019.5188671100498,138.68283265937222,215.2345729786942,33.629199911113794,648.2840725663859
480,334.22500479892227,51.44786757428925,191.11113103266229,355.85305635863244,540.9807878348771,83.92296658622831,88.24043731489033,92.00362908841481,111.3870336530785,192.13053076181927,449.56330492187743,104.175445705441,139.67796070297297,356.5965574574015,59.446060467673895,66.77717269355895,274.5192062608526,20.33844066702984,29.61310563656894,87.17913082999421,303.63523300675513,36.94096009428454,345.437533406552,363.1816393032097,88.9498218931262,149.31540330343742,96.33763206743406,164.59488986585924,870.0155457524348,34.84422713358309,583.9186155550224,105.16256242972123,653.4794741233512,40.176705645213005,1223.7920186658152,467.59661087546584,184.48201617010014,250.2867984330541,101.2485096663544,4768.970378739846,4947.255158767042,2799.331655752232,3425.5647954262195,1793.5194577618654,1069.7271205906834,20464.54621781862,710.3362989129282,20979.57736991629,490.9828332821768,7492.165903759108,5878.298231212793,8586.329245803061,6942.657375707687,288.65762195585086,54.86328037966036,198.74386254345663,33.549968452057584,183.20019345528607,104.65269143990933,136.06792191842814,120.63363421105586,391.3014453451117,1271.0310606982134,458.1636750988777,206.99608312036983,58.804517401998055,80.34950415221176,213.97893350614,166.2768026860224,138.68423430014644,154.9147375338484,105.37824605697644,137.99660589730973,451.9097998552315,19.234481168565036,315.81489140285373,182.86180138154657,260.5102363107034,82.61541602641806,67.65302938252421,18.529714790004462,160.75741867849396,177.56270014668252,1125.856693729578,84.043552554037,211.2106518327906,179.90367412976005,123.20417871590259,95.94289523792504,92.34420272307554,560.0273643297127,64.90393736025291,212.46382148147296,73.65888999105641,280.86579233074116,393.3080171439599,62.377319283430936,122.64255413549016,14.667910956550216,326.02147621742296
481,602.2846532196663,96.64171610132965,359.4475145122847,702.6278158017096,691.1773001196077,199.35895363691387,187.4154923281481,138.09717290261688,162.20695816251998,600.8702110037874,1246.6199939879705,182.45833784065078,306.6844261121294,517.0617083430221,127.87907983758973,122.78552459707156,576.9136736111386,43.53985159098586,71.20768378749133,146.68168920140914,440.77460311532536,99.00030819159353,563.5737220861579,872.8231485595453,231.67863058764374,208.7126520722723,196.12180933253475,272.9381164390001,1243.2027279100905,86.06596773471443,821.5175535549241,238.51474235553655,1795.3045859559998,51.04857258744491,2089.6502908769594,1009.4267043667489,386.5264883352095,475.37183252303197,214.07788610753306,5569.636764096096,5236.5037708417385,3563.207045118238,4056.1068117368304,1964.7471096175461,1033.0295980270969,24594.84512787583,732.1517216762445,20229.512817924046,557.1089212467182,9061.537762694177,6612.598520983358,11110.95163289959,7930.393477084494,546.1369860561649,110.71704181557546,270.0546425884096,73.51504578902473,426.8805570352616,137.74642671093628,185.28609078079455,267.66254928540286,923.2962837330033,1759.2304683957411,695.4292692319383,480.65205871333546,127.71318532270952,175.37580816797347,446.284026974353,342.22801157069256,302.4996059818251,215.81945462167087,196.55518524386298,297.3613986068935,660.6818213321488,36.623958188729475,591.6823961909046,320.9222999505376,456.8385386834174,150.17077275808796,133.54206058351915,33.974280296860414,354.8955504590968,324.8372775125283,1623.4193692263952,172.5278908208585,384.8137667042077,376.65469599422033,325.0202037029686,210.21630054447104,190.0819637408058,983.6580505623047,161.80324448288238,406.1230527716437,122.01470035420954,493.08950982686986,1217.0828394881494,155.28276192415055,234.08358240751,38.398767349518934,708.6329304379146
