AC ID,Heat ID,Distance to Heat [km],Point Heat
31651,49805,3.359,POINT (1280390.9552095213 6195210.903176686)
31652,51764,8.203,POINT (953572.7395929203 7017862.625883528)
31653,51746,0.738,POINT (943076.4650538873 7002300.830902451)
31654,50271,4.005,POINT (1212912.4799762852 6372986.924042626)
31657,51910,7.978,POINT (1016603.5141970656 7152450.929301232)
31659,50392,6.256,POINT (1257009.081575331 6435457.834551977)
31660,49748,2.812,POINT (1308188.571251814 6173722.265104842)
31662,51542,14.564,POINT (1139878.1516622412 6858460.699876346)
31663,49830,2.587,POINT (1028634.7986878984 6206679.347580621)
31664,49807,1.502,POINT (1033708.2307663619 6198066.145042267)
31666,49899,0.599,POINT (1054299.4535075214 6225853.591825874)
31667,51983,1.864,POINT (1494589.1838999414 7248794.682889394)
31673,50066,1.323,POINT (1221785.2380101269 6280252.691560839)
31675,51645,1.353,POINT (1374522.019791991 6910412.466817354)
31676,51908,3.575,POINT (1524291.9509906592 7140923.780698524)
31686,50645,10.902,POINT (921634.8738324054 6535672.21371945)
31687,51966,6.827,POINT (1454531.1033822559 7231697.26464271)
31689,49650,2.092,POINT (1090852.1353289445 6127196.092336656)
31690,51942,3.787,POINT (1451334.904272344 7190182.664375517)
31692,51942,15.025,POINT (1451334.904272344 7190182.664375517)
31693,49783,10.192,POINT (1143218.988733509 6186189.246082769)
31695,49602,24.692,POINT (1057646.0404252775 6108651.553455717)
31696,49595,2.271,POINT (1075405.4758505127 6105633.787861489)
31697,49602,1.848,POINT (1057646.0404252775 6108651.553455717)
31699,49524,8.063,POINT (1068139.6997740767 6070294.803673386)
31705,51990,31.877,POINT (1508291.6706627756 7271218.54770204)
31708,50357,16.676,POINT (961829.7977317342 6414089.106742541)
31709,51489,2.765,POINT (955908.959321147 6835636.699911102)
31713,49501,2.806,POINT (921181.7643897672 6046033.310979998)
31715,49501,1.822,POINT (921181.7643897672 6046033.310979998)
31718,49887,5.365,POINT (1076343.7634759431 6224587.1857120935)
31721,50974,1.156,POINT (703783.953632109 6634735.396361627)
31723,50801,3.999,POINT (776478.138832426 6590073.58689092)
31724,50313,11.319,POINT (1343835.0859304136 6381557.291576399)
31726,51161,2.37,POINT (844685.9064633821 6686318.778399867)
31728,50283,12.632,POINT (1108339.8311877416 6386131.78188291)
31729,50481,0.855,POINT (1271503.492093045 6463661.312719548)
31730,51811,4.704,POINT (904995.502371747 7057264.500411502)
31731,49979,4.64,POINT (947914.0388902235 6248938.5706252875)
31734,50414,1.265,POINT (965093.0729292966 6441098.942439096)
31736,49770,3.087,POINT (1024781.5955323644 6190889.96624141)
31739,50279,8.21,POINT (787556.9410761669 6374761.877485099)
31740,50307,23.428,POINT (1231199.5351650605 6392549.3567833165)
31742,51689,1.492,POINT (1017992.3188584615 6948337.41895849)
31744,49832,1.2,POINT (1039707.4913948613 6208134.851526165)
31745,51699,6.857,POINT (1079290.6000774486 6956389.885967985)
31746,51664,3.942,POINT (981414.4851885653 6925234.468660398)
31751,51811,20.884,POINT (904995.502371747 7057264.500411502)
31752,50359,1.918,POINT (1004447.9989130078 6414564.176517857)
31754,51500,1.862,POINT (983662.6495597268 6836794.866772486)
31755,50858,21.663,POINT (1118502.00148431 6613198.492257839)
31762,51838,11.859,POINT (944556.465790246 7074485.997223184)
31766,50261,21.209,POINT (964464.0414591795 6368990.129476161)
31767,50801,2.288,POINT (776478.138832426 6590073.58689092)
31773,49983,2.039,POINT (1045099.1066110834 6252735.471448626)
31777,50282,1.524,POINT (961846.3927269629 6384618.259171142)
31779,51815,3.584,POINT (1154760.2842161246 7064318.873773227)
31784,51632,14.777,POINT (990154.9796521576 6902709.739382897)
31785,50304,1.894,POINT (959084.4785110642 6390925.586219885)
31787,49896,1.324,POINT (1065489.4423245138 6225774.770472942)
31788,50022,7.421,POINT (953634.8013833401 6263141.028095045)
31789,51739,4.444,POINT (912338.5833577252 6994930.25449389)
31790,51325,1.367,POINT (753084.8080110027 6735684.344036809)
31799,51800,1.48,POINT (1136875.1965254867 7049372.905769195)
31804,51583,1.246,POINT (1067979.310214573 6871734.5976207)
31805,50451,2.254,POINT (1346886.1228523091 6449215.5669736285)
31806,51434,6.223,POINT (964981.2649956538 6798687.1390215885)
31807,50606,8.946,POINT (731548.2627458994 6506336.706348133)
31812,50897,1.925,POINT (792461.6829540589 6619133.5210166015)
31816,50060,1.357,POINT (949594.7934465437 6275569.899695411)
31822,50734,3.662,POINT (789512.3575033186 6572899.0843653325)
31823,50620,0.932,POINT (965867.2851604561 6521704.745794838)
31824,50950,11.268,POINT (758065.7760935808 6632149.029255784)
31825,51646,3.801,POINT (931688.9562894481 6910664.821997593)
31827,51977,2.582,POINT (1057958.894815762 7249123.234881858)
31828,50844,2.895,POINT (799468.1452099228 6601900.030401009)
31829,49993,2.763,POINT (961825.9669437617 6253470.3535730885)
31831,50915,0.965,POINT (742401.9837312226 6620075.052342353)
31837,51570,5.805,POINT (1109880.149191987 6868773.344309598)
31839,51856,16.949,POINT (1048555.1022622866 7094007.868898299)
31840,49753,3.544,POINT (1056752.6806831863 6175783.288371539)
31841,51643,10.417,POINT (1013547.5440713484 6909536.053492146)
31842,49843,3.343,POINT (1093417.3893731216 6210722.505114259)
31843,50074,7.636,POINT (935264.9533316459 6290065.242556067)
31847,50320,0.874,POINT (1231738.2677119863 6396978.749514606)
31848,51884,2.662,POINT (1420264.584559224 7120915.6591774905)
31850,51975,1.114,POINT (1110775.440681745 7247198.381048161)
31851,51417,14.108,POINT (1013843.9861748385 6788067.401474329)
31852,51715,2.512,POINT (1029283.5206749272 6968570.566919576)
31853,51554,9.707,POINT (932721.8110899006 6857232.7942258315)
31859,49548,7.637,POINT (1442166.6279025828 6076342.182332597)
31860,51689,10.653,POINT (1017992.3188584615 6948337.41895849)
31861,51168,12.647,POINT (714267.0546503899 6686615.094439405)
31864,51367,32.092,POINT (733513.8812425947 6751427.224261966)
31866,50246,1.054,POINT (1255881.7470517093 6361015.240399186)
31867,50339,25.317,POINT (823010.2625021767 6399696.879119379)
31871,51971,4.365,POINT (1154754.064608275 7244389.007101745)
31873,51031,4.199,POINT (788739.5275796996 6651754.695106481)
31876,51905,6.711,POINT (1094480.5241173555 7258331.69657377)
31878,51398,2.6,POINT (924540.1130921104 6774155.6824805755)
31883,51302,16.437,POINT (725961.1672899885 6725401.810158506)
31884,50915,4.146,POINT (742401.9837312226 6620075.052342353)
31885,50702,5.766,POINT (817747.221444606 6558179.068745121)
31886,51163,4.622,POINT (1226021.2312426567 6701853.473317257)
31887,50936,8.928,POINT (732790.5354964673 6628805.206570664)
31891,50624,3.391,POINT (832628.4087702588 6521517.850495275)
31894,50720,16.994,POINT (720714.9911988156 6572959.629693301)
31896,49559,4.614,POINT (1184076.642571886 6087545.622959871)
31897,50641,2.248,POINT (1240036.6126761213 6534688.389703655)
31898,50168,3.256,POINT (907383.6770683201 6335070.820994626)
31899,51784,3.881,POINT (883435.868602002 7031711.883020887)
31900,49817,27.27,POINT (1187744.8371740903 6200721.698841924)
31901,51390,13.558,POINT (1201668.2065615342 6771555.78127847)
31902,51511,6.349,POINT (1170662.883861262 6846866.860007353)
31903,51495,1.366,POINT (1063282.7755487815 6837841.367540941)
31904,50624,1.675,POINT (832628.4087702588 6521517.850495275)
31908,49690,1.661,POINT (1274751.014092215 6150498.690338163)
31910,51976,7.845,POINT (1138814.6411106382 7246744.541805499)
31916,51534,18.39,POINT (1268039.368208006 6850929.613844608)
31917,51003,2.589,POINT (803790.0708968397 6646317.677988007)
31918,51449,12.833,POINT (1274327.7854499856 6810962.092106416)
31925,49779,3.967,POINT (1008252.5982239459 6183607.791717617)
31928,51726,1.922,POINT (1006842.2331460554 6986040.132071587)
31931,51745,0.998,POINT (1048771.7800337146 7004859.031616631)
31933,49700,3.079,POINT (1003492.895920204 6150457.185981905)
31937,51687,2.119,POINT (1307613.0862044196 6943360.130261876)
31939,50585,27.637,POINT (1137739.0631388945 6503852.227442812)
31940,51963,1.504,POINT (1178189.0154653133 7226273.399165266)
31942,51218,2.341,POINT (816620.3426239768 6699836.884297116)
31944,50665,4.119,POINT (966514.7538473313 6548971.142072336)
31945,52005,2.853,POINT (751263.2443751589 6700777.657225704)
31949,52010,7.011,POINT (745054.898200979 6713858.2934601065)
31952,50052,1.846,POINT (1034640.1222005789 6274693.30713522)
31955,50731,1.598,POINT (1472524.9840255296 6569273.470293853)
31957,49631,2.619,POINT (961043.4961025192 6119698.982816821)
31959,50233,14.32,POINT (1102057.7188020188 6358340.121185537)
31960,49834,32.25,POINT (1244733.2507501077 6229561.630800273)
31961,51650,3.705,POINT (889780.1939471398 7011672.891763043)
31965,49546,2.758,POINT (1240479.3134407832 6080741.504892685)
31966,50697,2.075,POINT (1425572.7565436084 6556529.721147023)
31968,51855,21.055,POINT (868473.6551690802 7090968.284227833)
31969,51854,8.214,POINT (866050.9742823397 7090472.867567007)
31970,51855,9.372,POINT (868473.6551690802 7090968.284227833)
31972,50310,1.045,POINT (1074653.5746862967 6382486.729604644)
31977,51931,4.395,POINT (1136167.8630190762 7190986.83848994)
31979,51476,9.461,POINT (1305190.2851653541 6826742.44895064)
31989,49868,0.844,POINT (1026397.2987923219 6216403.220833759)
31992,51785,2.553,POINT (1160228.1191907297 7035240.7532655)
31993,51859,15.563,POINT (831214.5230501138 7091350.359234032)
