AC ID,H2 ID,Distance to H2 [km],Point H2,H2 Type
30869,47623,38.438,POINT (962007.8999847223 6517924.083456195),h2
30870,47466,4.643,POINT (976379.2462461339 6415394.444804667),h2
30877,47438,30.046,POINT (1243792.262863625 6175996.89673419),h2
30885,47411,3.43,POINT (844758.4199168911 6798911.929687083),h2
30891,47364,4.143,POINT (775273.0164027116 6624699.354538978),h2
30897,48378,59.411,POINT (1152501.8201318406 6739365.564926328),h2
30900,48097,0.77,POINT (761536.6365167846 6596443.157611978),h2
30902,47375,5.13,POINT (771268.0750824417 6586734.4206660185),h2
30909,48069,8.224,POINT (774716.8642267081 6591365.725437965),h2
30910,48069,6.358,POINT (774716.8642267081 6591365.725437965),h2
30914,47787,2.968,POINT (1018161.1246840457 6225460.406114642),h2
30915,47787,5.25,POINT (1018161.1246840457 6225460.406114642),h2
30917,47670,10.855,POINT (1352968.1855421835 6666772.780940446),h2
30920,47597,9.005,POINT (792317.8115550141 6726451.206697488),h2
30922,47364,0.784,POINT (775273.0164027116 6624699.354538978),h2
30942,47596,9.739,POINT (817658.580439195 6747404.126822246),h2
30943,47608,17.908,POINT (709589.8414160666 6750795.383092229),h2
30958,48204,10.98,POINT (962713.2202783884 6835479.203583412),h2
30964,47786,3.646,POINT (999385.0888109254 6238264.022054098),h2
30967,48290,33.183,POINT (936653.3274836831 6444890.497196431),h2
30968,48270,10.463,POINT (1001786.3615468275 6223637.8814817425),h2
30971,47466,26.48,POINT (976379.2462461339 6415394.444804667),h2
30975,48371,25.038,POINT (1261171.9070442342 6566095.719826671),h2
30977,47491,21.784,POINT (691000.9336069701 6579081.962192123),h2
30982,48383,61.757,POINT (1185708.424235474 6443505.383812664),h2
30985,48353,4.051,POINT (1107717.9889857066 7079338.475463568),h2
30986,47623,33.746,POINT (962007.8999847223 6517924.083456195),h2
30987,47639,23.137,POINT (1531916.7160211683 6860508.342640282),h2
30988,47529,20.841,POINT (1051698.7929532984 7082658.678258134),h2
30995,47787,13.245,POINT (1018161.1246840457 6225460.406114642),h2
31000,47577,33.878,POINT (935565.736058633 6428716.349145019),h2
31002,47533,8.288,POINT (1119346.422993972 7054183.630947018),h2
31003,48290,11.847,POINT (936653.3274836831 6444890.497196431),h2
31010,47629,12.809,POINT (1072772.6857553732 6867026.283422147),h2
31019,47605,21.06,POINT (702522.5009040739 6616252.359201611),h2
31020,47514,10.853,POINT (879934.4884516392 7078187.122234774),h2
31024,47624,11.417,POINT (889044.2076612159 7053332.442314004),h2
31027,48366,40.036,POINT (1019218.9938050541 6444232.539612888),h2
31029,47623,20.73,POINT (962007.8999847223 6517924.083456195),h2
31030,47735,3.525,POINT (1448970.7823192473 6867948.861852965),h2
31031,48263,17.464,POINT (1332054.592806851 6705687.019639515),h2
31032,47401,16.393,POINT (1103376.8628032415 6866964.113459353),h2
31039,47623,40.856,POINT (962007.8999847223 6517924.083456195),h2
31042,47565,11.119,POINT (1199587.4043891071 6890142.457591377),h2
31044,47662,9.005,POINT (1381856.5952784552 6693108.021447699),h2
31046,47752,12.901,POINT (1210199.2688074482 6365157.022661924),h2
31047,47429,2.311,POINT (1314100.2060952764 6141635.552060927),h2
31051,47399,11.609,POINT (959442.6536388821 6812978.792909456),h2
31059,47565,23.36,POINT (1199587.4043891071 6890142.457591377),h2
31064,47399,13.572,POINT (959442.6536388821 6812978.792909456),h2
31070,47491,8.528,POINT (691000.9336069701 6579081.962192123),h2
31072,47617,14.899,POINT (721140.9083782306 6641253.311759113),h2
31074,47565,1.174,POINT (1199587.4043891071 6890142.457591377),h2
31075,47565,17.567,POINT (1199587.4043891071 6890142.457591377),h2
31076,47884,15.685,POINT (1130978.1965869614 6866560.840779072),h2
31082,47565,29.871,POINT (1199587.4043891071 6890142.457591377),h2
31083,47600,16.738,POINT (682552.0068947424 6728692.507370236),h2
31084,47402,21.441,POINT (1036573.4797807438 6824532.916261719),h2
31086,47395,4.484,POINT (833759.608948552 6718616.611888736),h2
31088,47395,13.753,POINT (833759.608948552 6718616.611888736),h2
31091,47401,11.908,POINT (1103376.8628032415 6866964.113459353),h2
31092,47599,2.358,POINT (734538.0977757103 6720355.310529027),h2
31099,47752,7.782,POINT (1210199.2688074482 6365157.022661924),h2
31102,48219,6.549,POINT (748901.874311748 6708609.8415225325),h2
31109,48147,7.236,POINT (741855.3505445338 6681515.029562592),h2
31115,47547,18.277,POINT (970294.6341988643 7013125.581471446),h2
31116,47862,29.354,POINT (935161.5349875626 7019012.09753895),h2
31120,47491,12.487,POINT (691000.9336069701 6579081.962192123),h2
31124,47362,4.04,POINT (737375.9655545033 6673606.4981279755),h2
31125,47382,10.106,POINT (946974.6480310538 6539590.146206465),h2
31130,47800,18.402,POINT (1153501.1352006919 6828023.206235491),h2
31132,48330,16.842,POINT (1170491.0498440336 6850657.518794469),h2
31133,47564,17.538,POINT (1162637.1258100956 6870220.204396662),h2
31134,47564,14.628,POINT (1162637.1258100956 6870220.204396662),h2
31139,48269,41.052,POINT (1555255.7378219042 6712401.00718684),h2
31140,47435,18.325,POINT (1314941.3361677104 6173867.5250343),h2
31141,48113,2.31,POINT (833972.2291759675 6694319.412866445),h2
31143,47462,23.452,POINT (1024428.8572936702 6811264.859971692),h2
31147,48290,4.908,POINT (936653.3274836831 6444890.497196431),h2
31149,48290,13.561,POINT (936653.3274836831 6444890.497196431),h2
31151,47425,26.132,POINT (1172172.1967939935 6054268.012778448),h2
31153,47361,21.215,POINT (699545.1498033172 6677752.076867127),h2
31154,47617,22.952,POINT (721140.9083782306 6641253.311759113),h2
31155,48236,19.686,POINT (1225371.5588051174 6346566.33099299),h2
31158,48236,21.286,POINT (1225371.5588051174 6346566.33099299),h2
31159,47754,38.406,POINT (1102709.5024559358 6418467.121969933),h2
31162,47862,13.248,POINT (935161.5349875626 7019012.09753895),h2
31166,47482,6.249,POINT (1242912.7275668676 6338075.926075893),h2
31167,48383,67.823,POINT (1185708.424235474 6443505.383812664),h2
31169,48383,50.695,POINT (1185708.424235474 6443505.383812664),h2
31171,48383,22.716,POINT (1185708.424235474 6443505.383812664),h2
31173,48383,1.606,POINT (1185708.424235474 6443505.383812664),h2
31175,47573,11.023,POINT (1307081.5122007607 6256924.313875965),h2
31177,47754,46.397,POINT (1102709.5024559358 6418467.121969933),h2
31178,47753,22.094,POINT (1163644.3445627932 6391544.386694596),h2
31179,47485,16.607,POINT (1167112.9485764208 6372787.159760696),h2
31180,47486,20.014,POINT (1087307.7829877415 6406054.963360299),h2
31182,47483,32.698,POINT (1233613.2086254882 6337067.171512038),h2
31183,47434,48.269,POINT (1287850.7362077504 6234483.998079453),h2
31184,47434,6.811,POINT (1287850.7362077504 6234483.998079453),h2
31189,47425,11.153,POINT (1172172.1967939935 6054268.012778448),h2
31190,47363,13.345,POINT (717963.6274720089 6665301.368849469),h2
31192,47414,20.372,POINT (1173890.1904954063 6223994.259273693),h2
31193,48087,0.868,POINT (739562.1690341923 6704731.086943932),h2
31196,47466,26.14,POINT (976379.2462461339 6415394.444804667),h2
31197,47466,31.461,POINT (976379.2462461339 6415394.444804667),h2
31202,47418,8.193,POINT (1211903.3475725118 6169454.687074917),h2
31207,47515,13.651,POINT (911289.5154649082 6996851.45768085),h2
31212,47415,25.135,POINT (1186317.2305306226 6204042.927296282),h2
31228,47603,4.376,POINT (772006.234625892 6676041.131952842),h2
31231,47771,11.121,POINT (1011631.4573125847 6302372.622493805),h2
31237,47573,44.85,POINT (1307081.5122007607 6256924.313875965),h2
31239,47491,15.6,POINT (691000.9336069701 6579081.962192123),h2
31240,47757,22.084,POINT (1064164.46085182 6101318.0183527805),h2
31245,47465,40.73,POINT (1049174.7348190518 6512212.327745468),h2
31254,48128,10.0,POINT (801533.7295588077 6668997.565031697),h2
31255,47411,6.313,POINT (844758.4199168911 6798911.929687083),h2
31263,48082,3.519,POINT (1022536.3146306938 6189419.077024017),h2
31265,48107,6.062,POINT (917038.8332059084 6450849.111876087),h2
31266,47378,17.368,POINT (757014.0595643262 6556546.7455865415),h2
31271,47565,8.835,POINT (1199587.4043891071 6890142.457591377),h2
31273,48378,28.456,POINT (1152501.8201318406 6739365.564926328),h2
31275,47772,16.294,POINT (1009694.943450745 6268320.251957903),h2
31277,47367,16.092,POINT (779267.0484128832 6744767.959979753),h2
31281,47726,6.898,POINT (1506394.2737280128 6928069.689097646),h2
31282,47619,39.926,POINT (1115260.1071259326 6303960.705681825),h2
31283,47485,37.993,POINT (1167112.9485764208 6372787.159760696),h2
31285,47572,16.091,POINT (976741.1459107029 6766547.861665579),h2
31287,47572,8.216,POINT (976741.1459107029 6766547.861665579),h2
31289,47605,14.839,POINT (702522.5009040739 6616252.359201611),h2
31295,48316,8.403,POINT (1043609.0942378605 6227079.1630553035),h2
31296,48316,9.005,POINT (1043609.0942378605 6227079.1630553035),h2
31301,48383,30.355,POINT (1185708.424235474 6443505.383812664),h2
31302,47783,19.086,POINT (1058491.6196009947 6214181.71008366),h2
31303,48071,6.117,POINT (936063.3341824787 6783381.429338719),h2
31306,47783,11.835,POINT (1058491.6196009947 6214181.71008366),h2
31308,47758,19.374,POINT (1088533.633220357 6167039.614344131),h2
31310,48072,0.24,POINT (1137751.987601732 6586044.837349793),h2
31311,47557,4.957,POINT (1098219.9873922428 6894344.163107844),h2
31317,48298,6.935,POINT (1300167.124669118 6854279.084445977),h2
31324,47403,11.561,POINT (948599.9125966355 6807688.590939424),h2
31325,47414,29.073,POINT (1173890.1904954063 6223994.259273693),h2
31327,47423,27.118,POINT (1311471.507639684 6109873.381700609),h2
31330,48139,19.386,POINT (1014153.9569739603 6232682.665145555),h2
31331,47474,16.31,POINT (711628.6578899455 6583977.666590278),h2
31339,47457,11.926,POINT (1142858.7692418732 6588981.471654881),h2
31340,47457,26.33,POINT (1142858.7692418732 6588981.471654881),h2
31341,47470,10.17,POINT (935460.761778815 6777448.588421305),h2
31343,47376,11.082,POINT (791058.8994336331 6568083.889867867),h2
31345,47474,6.149,POINT (711628.6578899455 6583977.666590278),h2
31349,47376,10.294,POINT (791058.8994336331 6568083.889867867),h2
31356,48133,6.2,POINT (722240.856266759 6581572.31509809),h2
31357,47473,26.79,POINT (754497.4598359627 6595339.431005008),h2
31359,47377,8.38,POINT (793722.2182508621 6594014.943007781),h2
31360,47413,6.827,POINT (944588.4034264095 6791313.095713942),h2
31366,48083,4.379,POINT (1317187.8748114095 6910943.476648545),h2
31367,47365,7.31,POINT (767992.4990658497 6653443.87179347),h2
31368,47527,5.246,POINT (1135552.75974162 7220809.129242095),h2
31371,47411,16.617,POINT (844758.4199168911 6798911.929687083),h2
31372,47741,14.59,POINT (1433257.5909158136 6890009.349857273),h2
31379,48298,26.88,POINT (1300167.124669118 6854279.084445977),h2
31380,47807,35.528,POINT (1455710.5095698354 6247984.557155447),h2
31381,47421,39.93,POINT (1204015.916371845 6146303.785054705),h2
31382,48330,5.82,POINT (1170491.0498440336 6850657.518794469),h2
31384,47603,5.683,POINT (772006.234625892 6676041.131952842),h2
31389,48292,22.419,POINT (1009834.7607311814 6192275.194911757),h2
31391,48254,6.985,POINT (1290827.4193915625 6138338.797401332),h2
31392,47482,37.207,POINT (1242912.7275668676 6338075.926075893),h2
31397,47786,16.322,POINT (999385.0888109254 6238264.022054098),h2
31398,47783,6.524,POINT (1058491.6196009947 6214181.71008366),h2
31399,47783,5.005,POINT (1058491.6196009947 6214181.71008366),h2
31401,48107,23.331,POINT (917038.8332059084 6450849.111876087),h2
31403,48311,27.8,POINT (1224692.5099112785 6376086.701106101),h2
31406,47555,8.597,POINT (1031157.6752341605 6924088.999488564),h2
31410,48544,47.425,POINT (806420.6552046324 6299938.131122295),h2
31411,47461,3.026,POINT (984455.0300252228 6824136.837054974),h2
31412,47399,5.145,POINT (959442.6536388821 6812978.792909456),h2
31414,47556,16.047,POINT (1016397.7126303895 6909464.8040501),h2
31415,47623,32.586,POINT (962007.8999847223 6517924.083456195),h2
31416,47563,13.375,POINT (1122082.3221191983 6869953.919930933),h2
31417,47735,4.437,POINT (1448970.7823192473 6867948.861852965),h2
31423,47779,1.086,POINT (929185.9047217795 6126772.459433729),h2
31424,47406,11.518,POINT (1034640.750781591 6880606.879144874),h2
31426,47563,16.592,POINT (1122082.3221191983 6869953.919930933),h2
31428,48330,32.707,POINT (1170491.0498440336 6850657.518794469),h2
