AC ID,H2 ID,Distance to H2 [km],Point H2,H2 Type
31429,47528,40.677,POINT (1075811.0399370848 7107183.566159621),h2
31431,48107,12.803,POINT (917038.8332059084 6450849.111876087),h2
31432,48122,1.701,POINT (1018372.9656750252 6416765.92189708),h2
31433,48149,10.698,POINT (1042852.1217004661 6876152.241206993),h2
31435,47555,29.714,POINT (1031157.6752341605 6924088.999488564),h2
31437,48149,16.995,POINT (1042852.1217004661 6876152.241206993),h2
31438,47743,31.309,POINT (1381221.0723055163 6872398.231224067),h2
31439,47573,30.986,POINT (1307081.5122007607 6256924.313875965),h2
31441,47751,49.311,POINT (1239893.5203375726 6351265.150335973),h2
31443,48330,21.714,POINT (1170491.0498440336 6850657.518794469),h2
31444,47386,18.137,POINT (889861.0700846572 6591194.416762726),h2
31445,47561,10.869,POINT (1133958.775952951 6926730.572752227),h2
31446,47557,26.684,POINT (1098219.9873922428 6894344.163107844),h2
31447,47640,24.082,POINT (1608838.4841593204 6649142.683834907),h2
31451,48336,15.88,POINT (980424.1512635984 6797612.546228161),h2
31458,47562,31.075,POINT (1125054.5525233785 6987109.632281693),h2
31460,47466,15.679,POINT (976379.2462461339 6415394.444804667),h2
31461,47466,18.702,POINT (976379.2462461339 6415394.444804667),h2
31462,48311,35.702,POINT (1224692.5099112785 6376086.701106101),h2
31463,47400,20.035,POINT (1007209.0679018402 6845210.763000887),h2
31464,47400,2.948,POINT (1007209.0679018402 6845210.763000887),h2
31465,47461,14.863,POINT (984455.0300252228 6824136.837054974),h2
31470,47592,37.126,POINT (957336.4888730734 6693873.240128078),h2
31471,47358,5.802,POINT (715598.0882926519 6728236.025495461),h2
31472,47519,20.541,POINT (927838.7162441993 7019365.887678666),h2
31473,48097,9.801,POINT (761536.6365167846 6596443.157611978),h2
31474,48130,3.145,POINT (747421.3250841975 6660150.755230352),h2
31475,48254,16.293,POINT (1290827.4193915625 6138338.797401332),h2
31478,47385,31.951,POINT (970066.2066037565 6584438.323518664),h2
31479,47385,25.488,POINT (970066.2066037565 6584438.323518664),h2
31481,47753,4.891,POINT (1163644.3445627932 6391544.386694596),h2
31483,47400,21.597,POINT (1007209.0679018402 6845210.763000887),h2
31484,47400,20.751,POINT (1007209.0679018402 6845210.763000887),h2
31490,47466,17.79,POINT (976379.2462461339 6415394.444804667),h2
31491,47571,15.764,POINT (955801.949692488 6844398.775559514),h2
31497,48311,5.865,POINT (1224692.5099112785 6376086.701106101),h2
31501,48091,6.329,POINT (788197.6545617734 6574340.423003753),h2
31504,47400,13.439,POINT (1007209.0679018402 6845210.763000887),h2
31505,48204,0.937,POINT (962713.2202783884 6835479.203583412),h2
31510,47479,1.312,POINT (1346250.2769117912 6325850.308155921),h2
31513,47480,41.311,POINT (1350972.5610307325 6369504.875886611),h2
31515,47479,32.828,POINT (1346250.2769117912 6325850.308155921),h2
31516,47478,27.988,POINT (1386545.0382721955 6294247.74105799),h2
31517,47420,28.687,POINT (1222589.907369175 6151573.416554876),h2
31518,47478,34.354,POINT (1386545.0382721955 6294247.74105799),h2
31519,47437,2.926,POINT (1364344.2582648206 6310885.336606195),h2
31521,47437,18.58,POINT (1364344.2582648206 6310885.336606195),h2
31524,47548,29.094,POINT (844318.1513308036 7014466.066124992),h2
31525,47792,37.096,POINT (826446.4750008882 6922909.167302936),h2
31526,48204,7.845,POINT (962713.2202783884 6835479.203583412),h2
31531,47722,7.637,POINT (1457746.5430564443 7053449.076453248),h2
31532,47480,13.347,POINT (1350972.5610307325 6369504.875886611),h2
31536,47478,31.203,POINT (1386545.0382721955 6294247.74105799),h2
31538,47665,38.758,POINT (1441001.4199733569 6685549.453309992),h2
31539,48311,67.522,POINT (1224692.5099112785 6376086.701106101),h2
31543,47723,23.591,POINT (1462884.0488760443 6979170.083027083),h2
31544,47575,23.903,POINT (1091976.5224316115 6583861.978131927),h2
31551,47403,12.995,POINT (948599.9125966355 6807688.590939424),h2
31553,47437,36.301,POINT (1364344.2582648206 6310885.336606195),h2
31555,47478,19.708,POINT (1386545.0382721955 6294247.74105799),h2
31558,47526,18.899,POINT (1081195.8976652278 7158059.515147138),h2
31559,47526,24.097,POINT (1081195.8976652278 7158059.515147138),h2
31562,48548,30.725,POINT (1393681.0629100075 6383393.688446773),h2
31564,48233,5.998,POINT (786678.7001098994 6610197.054994622),h2
31566,47480,42.509,POINT (1350972.5610307325 6369504.875886611),h2
31572,47478,52.978,POINT (1386545.0382721955 6294247.74105799),h2
31573,47477,37.416,POINT (1403095.686204867 6280492.203468171),h2
31574,48317,26.669,POINT (1289714.2244836295 6603076.749255754),h2
31576,47437,35.846,POINT (1364344.2582648206 6310885.336606195),h2
31578,47478,26.867,POINT (1386545.0382721955 6294247.74105799),h2
31579,47477,37.109,POINT (1403095.686204867 6280492.203468171),h2
31582,47603,10.404,POINT (772006.234625892 6676041.131952842),h2
31583,48196,7.322,POINT (790023.2942107832 6742542.6927507),h2
31586,47620,18.24,POINT (797899.4821428797 6779774.707034098),h2
31587,47596,14.538,POINT (817658.580439195 6747404.126822246),h2
31588,47596,16.267,POINT (817658.580439195 6747404.126822246),h2
31589,47367,6.917,POINT (779267.0484128832 6744767.959979753),h2
31590,47598,17.386,POINT (767558.9096492098 6765999.941666208),h2
31592,47367,2.626,POINT (779267.0484128832 6744767.959979753),h2
31594,47391,9.539,POINT (760719.2174958895 6795288.710084947),h2
31595,47598,5.415,POINT (767558.9096492098 6765999.941666208),h2
31598,47686,9.078,POINT (1294693.322667831 6805316.266013371),h2
31599,47503,19.091,POINT (896765.550181619 6292984.052253697),h2
31601,47383,8.362,POINT (963348.4092928548 6546144.10458894),h2
31604,47377,8.401,POINT (793722.2182508621 6594014.943007781),h2
31609,47800,21.613,POINT (1153501.1352006919 6828023.206235491),h2
31611,48383,56.691,POINT (1185708.424235474 6443505.383812664),h2
31615,47573,44.055,POINT (1307081.5122007607 6256924.313875965),h2
31616,47482,52.282,POINT (1242912.7275668676 6338075.926075893),h2
31617,47480,58.358,POINT (1350972.5610307325 6369504.875886611),h2
31619,47783,7.22,POINT (1058491.6196009947 6214181.71008366),h2
31621,48622,42.921,POINT (1372351.1352791083 6394050.331010253),h2
31623,47581,18.694,POINT (895510.2002839433 6801769.9332834305),h2
31624,48622,36.857,POINT (1372351.1352791083 6394050.331010253),h2
31625,48622,27.045,POINT (1372351.1352791083 6394050.331010253),h2
31627,47799,19.818,POINT (1108871.0362713432 6825946.736438766),h2
31628,48265,3.993,POINT (1093435.6983169296 6797431.79154309),h2
31632,47461,14.005,POINT (984455.0300252228 6824136.837054974),h2
31635,47434,19.151,POINT (1287850.7362077504 6234483.998079453),h2
31640,48100,10.314,POINT (1104634.439090733 6411711.138972004),h2
31646,47462,26.624,POINT (1024428.8572936702 6811264.859971692),h2
31647,47532,21.369,POINT (1096707.378151344 7053969.752128751),h2
31648,47435,23.999,POINT (1314941.3361677104 6173867.5250343),h2
31649,47845,11.929,POINT (1074332.3831408776 6861768.327859421),h2
31651,47435,38.121,POINT (1314941.3361677104 6173867.5250343),h2
31652,47862,10.261,POINT (935161.5349875626 7019012.09753895),h2
31653,47546,13.819,POINT (946128.9538594974 6989304.472737417),h2
31654,47752,4.361,POINT (1210199.2688074482 6365157.022661924),h2
31657,47525,52.316,POINT (1043045.3723364832 7199302.412554645),h2
31659,48311,63.619,POINT (1224692.5099112785 6376086.701106101),h2
31660,47435,5.902,POINT (1314941.3361677104 6173867.5250343),h2
31662,47884,3.023,POINT (1130978.1965869614 6866560.840779072),h2
31663,47781,9.698,POINT (1025683.5392744011 6194845.848048371),h2
31664,47781,7.817,POINT (1025683.5392744011 6194845.848048371),h2
31666,48316,11.199,POINT (1043609.0942378605 6227079.1630553035),h2
31667,48428,26.807,POINT (1494218.1478250448 7221189.025784708),h2
31673,47483,57.966,POINT (1233613.2086254882 6337067.171512038),h2
31675,47697,12.392,POINT (1375699.2916036975 6897327.511071109),h2
31676,47441,2.589,POINT (1518511.9568983149 7141325.4724945845),h2
31686,47382,24.673,POINT (946974.6480310538 6539590.146206465),h2
31687,47711,12.135,POINT (1466435.5859103133 7217227.415341693),h2
31689,48220,35.564,POINT (1125929.857679486 6133564.5962474),h2
31690,47711,27.472,POINT (1466435.5859103133 7217227.415341693),h2
31692,47713,25.939,POINT (1481461.1568191173 7179735.298360051),h2
31693,47766,14.84,POINT (1131935.5442077834 6208518.677810648),h2
31695,47757,32.627,POINT (1064164.46085182 6101318.0183527805),h2
31696,47757,10.438,POINT (1064164.46085182 6101318.0183527805),h2
31697,47757,7.964,POINT (1064164.46085182 6101318.0183527805),h2
31699,47761,31.142,POINT (1048068.6643585297 6082136.748360994),h2
31705,48428,65.343,POINT (1494218.1478250448 7221189.025784708),h2
31708,47467,6.367,POINT (943500.255403905 6414845.088904701),h2
31709,47571,6.175,POINT (955801.949692488 6844398.775559514),h2
31713,47507,47.431,POINT (871325.0390336876 6043290.092186076),h2
31715,47507,48.132,POINT (871325.0390336876 6043290.092186076),h2
31718,47783,22.767,POINT (1058491.6196009947 6214181.71008366),h2
31721,47617,17.573,POINT (721140.9083782306 6641253.311759113),h2
31723,48069,6.183,POINT (774716.8642267081 6591365.725437965),h2
31724,47480,16.21,POINT (1350972.5610307325 6369504.875886611),h2
31726,47622,14.223,POINT (845934.9556150853 6670992.1308630435),h2
31728,47486,37.996,POINT (1087307.7829877415 6406054.963360299),h2
31730,48272,5.356,POINT (904827.0850658861 7057930.056585448),h2
31731,48235,14.424,POINT (964616.7835709534 6255066.065783589),h2
31734,47466,28.258,POINT (976379.2462461339 6415394.444804667),h2
31736,47781,3.437,POINT (1025683.5392744011 6194845.848048371),h2
31739,47497,43.153,POINT (821142.7691815335 6403014.586840528),h2
31740,48311,33.712,POINT (1224692.5099112785 6376086.701106101),h2
31742,47554,12.02,POINT (1029255.0024975217 6943330.283060165),h2
31744,47782,1.598,POINT (1039251.1588122853 6209338.9488955345),h2
31745,47560,11.675,POINT (1074233.08615509 6964522.005637595),h2
31746,47521,2.287,POINT (980497.5108080312 6923324.457251651),h2
31751,47624,5.115,POINT (889044.2076612159 7053332.442314004),h2
31752,48223,0.41,POINT (1003177.8551817433 6413573.979300835),h2
31754,47461,14.544,POINT (984455.0300252228 6824136.837054974),h2
31755,47576,10.084,POINT (1112519.6439015835 6603262.2491831295),h2
31762,48272,38.865,POINT (904827.0850658861 7057930.056585448),h2
31766,47756,35.513,POINT (992008.0574755464 6409821.125753979),h2
31767,48069,0.72,POINT (774716.8642267081 6591365.725437965),h2
31773,48316,27.416,POINT (1043609.0942378605 6227079.1630553035),h2
31777,47488,16.963,POINT (950093.1522461369 6398363.628090719),h2
31779,47534,27.671,POINT (1140194.4485492269 7091917.268047727),h2
31784,47405,14.102,POINT (974725.4838909089 6890761.766645793),h2
31785,47488,11.714,POINT (950093.1522461369 6398363.628090719),h2
31787,47783,13.595,POINT (1058491.6196009947 6214181.71008366),h2
31788,47777,10.466,POINT (936349.7592322899 6264978.954727864),h2
31789,47515,2.623,POINT (911289.5154649082 6996851.45768085),h2
31790,47360,18.016,POINT (758363.3631122315 6718953.688477329),h2
31799,47533,19.525,POINT (1119346.422993972 7054183.630947018),h2
31804,47629,6.798,POINT (1072772.6857553732 6867026.283422147),h2
31805,48622,58.51,POINT (1372351.1352791083 6394050.331010253),h2
31806,48336,11.429,POINT (980424.1512635984 6797612.546228161),h2
31807,47492,9.517,POINT (735934.489468221 6517654.026973668),h2
31812,48233,10.263,POINT (786678.7001098994 6610197.054994622),h2
31816,47776,9.328,POINT (941649.9028279393 6282531.823794323),h2
31822,47376,3.183,POINT (791058.8994336331 6568083.889867867),h2
31823,47623,6.334,POINT (962007.8999847223 6517924.083456195),h2
31824,47618,7.253,POINT (753931.1775862972 6631132.847118236),h2
31825,47796,0.732,POINT (936047.9720927493 6910558.705946926),h2
31827,47525,53.069,POINT (1043045.3723364832 7199302.412554645),h2
31828,47621,12.186,POINT (790182.1471241452 6598026.970468353),h2
31829,48235,2.88,POINT (964616.7835709534 6255066.065783589),h2
31831,47618,16.904,POINT (753931.1775862972 6631132.847118236),h2
31837,47401,2.278,POINT (1103376.8628032415 6866964.113459353),h2
31839,47529,22.364,POINT (1051698.7929532984 7082658.678258134),h2
31840,47781,32.984,POINT (1025683.5392744011 6194845.848048371),h2
31841,47556,13.018,POINT (1016397.7126303895 6909464.8040501),h2
31842,47784,4.443,POINT (1092580.0967106926 6209944.606232817),h2
31843,48152,4.522,POINT (924731.0100197236 6286747.286799417),h2
31847,48311,21.311,POINT (1224692.5099112785 6376086.701106101),h2
31848,47712,35.831,POINT (1434380.5819389364 7154219.495615359),h2
31850,48240,21.053,POINT (1127299.0874162435 7232426.486146949),h2
31851,47572,36.286,POINT (976741.1459107029 6766547.861665579),h2
31852,47553,7.137,POINT (1034257.2551358083 6970035.365854983),h2
31853,47628,11.996,POINT (918738.2365523585 6873206.658951779),h2
31859,47431,61.316,POINT (1382701.3988940853 6093362.64341872),h2
31860,47554,13.107,POINT (1029255.0024975217 6943330.283060165),h2
31861,47601,10.798,POINT (705235.6908531784 6706353.504539252),h2
31864,47608,8.199,POINT (709589.8414160666 6750795.383092229),h2
31866,47751,17.9,POINT (1239893.5203375726 6351265.150335973),h2
31867,47497,25.488,POINT (821142.7691815335 6403014.586840528),h2
31871,47527,27.12,POINT (1135552.75974162 7220809.129242095),h2
31873,47602,12.039,POINT (803103.1117400113 6658152.07908912),h2
31876,48240,46.149,POINT (1127299.0874162435 7232426.486146949),h2
31878,47398,8.322,POINT (926240.168356408 6781079.710347677),h2
31883,47898,1.641,POINT (715379.6794517156 6739554.901315286),h2
31884,47618,16.813,POINT (753931.1775862972 6631132.847118236),h2
31885,47379,14.037,POINT (809484.835508208 6558828.060733061),h2
31886,47683,4.46,POINT (1230695.0794938335 6707873.451205833),h2
31887,47617,22.514,POINT (721140.9083782306 6641253.311759113),h2
31891,47379,40.529,POINT (809484.835508208 6558828.060733061),h2
31894,48133,25.736,POINT (722240.856266759 6581572.31509809),h2
31896,47425,31.549,POINT (1172172.1967939935 6054268.012778448),h2
31897,48371,35.813,POINT (1261171.9070442342 6566095.719826671),h2
31898,47490,27.501,POINT (922245.8023877636 6357917.149172286),h2
31899,47567,20.859,POINT (871856.8122412068 7010521.945837418),h2
31900,47415,26.983,POINT (1186317.2305306226 6204042.927296282),h2
31901,48378,54.535,POINT (1152501.8201318406 6739365.564926328),h2
31902,48330,8.979,POINT (1170491.0498440336 6850657.518794469),h2
31903,47798,16.9,POINT (1080729.357679313 6838397.221404291),h2
31904,47379,45.415,POINT (809484.835508208 6558828.060733061),h2
31908,48254,20.82,POINT (1290827.4193915625 6138338.797401332),h2
31910,48240,24.975,POINT (1127299.0874162435 7232426.486146949),h2
31916,47687,3.66,POINT (1276544.5721253315 6837724.884867523),h2
31917,47602,13.358,POINT (803103.1117400113 6658152.07908912),h2
31918,47684,6.529,POINT (1285032.349339846 6816259.003998133),h2
31925,48292,12.737,POINT (1009834.7607311814 6192275.194911757),h2
31928,47541,3.348,POINT (1003521.3871303315 6989265.042468032),h2
31931,47539,18.562,POINT (1041872.3988619945 7023093.717042879),h2
31933,48292,40.565,POINT (1009834.7607311814 6192275.194911757),h2
31937,47699,5.221,POINT (1306840.7281421747 6940209.82369306),h2
31939,48072,55.65,POINT (1137751.987601732 6586044.837349793),h2
31940,47527,43.378,POINT (1135552.75974162 7220809.129242095),h2
