,37222 dsm,41648 dsm,42100 dsm,42102 dsm,42106 dsm,43534 dsm,48623 CH4,48624 CH4,48626 CH4,48627 CH4,48628 CH4,48629 CH4,48631 CH4,48633 CH4,48634 CH4,48637 H2_underground,48679 H2_underground,48681 H2_underground,48701 H2_underground,63912 central_heat_store,64685 central_heat_store,64759 central_heat_store,65006 central_heat_store,65748 central_heat_store,66048 rural_heat_store,66050 rural_heat_store,66052 rural_heat_store,66053 rural_heat_store,66055 rural_heat_store,66063 rural_heat_store,69893 battery storage,69895 battery storage,69898 battery storage,69900 battery storage,69906 battery storage,69909 battery storage,81398 CH4,81399 CH4,81400 CH4,81401 CH4,81402 CH4,81403 CH4,81404 CH4,81418 H2_overground,81419 H2_overground,81420 H2_overground,81421 H2_overground,81422 H2_overground,81423 H2_overground,81424 H2_overground,81452 central_heat_store,81453 central_heat_store,81454 central_heat_store,81455 central_heat_store,81456 central_heat_store,81457 central_heat_store,81458 central_heat_store,81459 central_heat_store,81460 central_heat_store,81461 central_heat_store,81462 central_heat_store,81463 central_heat_store,81464 central_heat_store,81465 central_heat_store,81466 central_heat_store,81467 central_heat_store,81468 central_heat_store,81469 central_heat_store,81470 central_heat_store,81471 central_heat_store,81472 central_heat_store,81473 central_heat_store
0,-196.12320425840178,-132.54265197155098,438.0783964618016,187.1116853820348,509.0983991873536,-118.47131947607093,51626785.94703339,3899667.1262020664,8265012.947536214,2232211.4075309485,55501461.04210514,22550149.32907359,49393565.155818164,20047135.632671278,1636236.2924228886,5.016681472915473e-06,6.0858259138176635e-06,4.8240895269132875e-06,5.16418926858539e-06,3.0681298852799996e-07,3.221580185375737e-07,2.7635252988203116e-07,6.077987456928023e-06,3.193674320328601e-07,8.842285844018818e-07,7.420555459087749e-07,1.354703882146431e-06,8.166890074247368e-07,7.557704803689202e-07,7.24258364970384e-07,55594.23988009391,91930.50861248211,126072.6972508982,203738.6980749059,68893.33042392647,182052.14569044663,3159856.6888364246,7800879.5247861305,66642548.46742675,38838557.04869489,14976111.798168296,18752867.760356452,2225620.1857253485,13758.449857975276,4338.113133056422,8406.033665012126,231.98735733646177,6048.737676442313,212.01453992611047,869.2709094780736,6575.085091347686,2.4640862598428377e-07,2.2400869438841996e-07,2.3438465725502083e-07,2.5259059247941863e-07,2.327278683935893e-07,2.828805885676084e-07,2.438903332574005e-07,2.3595974303966668e-07,2.5672524639475114e-07,2.590241255476548e-07,7068.303704564406,2.3248577157286283e-07,2.589340130612801e-07,39154.30022489926,2.4115546581873954e-07,1516.016970431986,2.5545310742365514e-07,1.0669911709896424e-05,2.5205268064783194e-07,2.365532356969212e-07,2.470961463468379e-07
1,218.62367268270336,139.15010045513264,517.495347221532,232.1079170844598,608.5924410321285,382.3840743794663,51618497.50993528,3897311.7481659898,8264162.391203268,2233375.1346409125,55479656.4209427,22547208.661250986,49385820.68619433,20042700.12101413,1634491.4302844065,5.061993971250574e-06,6.125588641276401e-06,4.856797304108283e-06,5.208928762950697e-06,3.809255785229169e-07,4.0656545298363997e-07,3.7402112460692633e-07,9.768356063075134e-06,3.582159230958626e-07,1.6316183150660163e-06,1.5416347295851666e-06,2.2261216931539554e-06,1.875735488634546e-06,1.7180188113814342e-06,1.5140023539295371e-06,58309.970359335384,95209.13946509226,131634.86470092865,210723.01797971467,72436.85973252551,188437.43832499688,3154168.2571036415,7803292.095606556,66633822.78506851,38797383.23295368,14984159.228944618,18765335.001510587,2235460.4751552437,27342.517825823863,8631.026658780676,16732.200873792823,306.3063304221047,12055.862733372305,278.59578185243487,1718.6351665561738,4731.518010394688,3.174805429369894e-07,2.8666205165926674e-07,3.041692923207379e-07,3.3117655349671057e-07,2.936521048213189e-07,3.676965930101404e-07,3.243692465643741e-07,3.0724248574508835e-07,3.17528653936115e-07,3.4296344582823496e-07,12171.334995090847,2.9527058857100946e-07,3.3777089070738224e-07,62017.30325494456,2.981433831616021e-07,1182.8513675011554,3.357587194267116e-07,1.0543610844897244e-05,3.1284512958066344e-07,2.985909265290393e-07,3.278551141974403e-07
2,-267.8734621169621,-163.93352050795258,-609.8654181005851,-283.89187993683055,-729.1039423981764,-463.21445575330705,51619096.72736242,3896290.7395893857,8276956.75397803,2234575.5828103097,55459866.009522624,22543528.560421035,49380551.2981083,20039165.266886782,1632751.6488505383,5.028750827605621e-06,6.09099026599013e-06,4.830298552399755e-06,5.175097746675829e-06,3.8274580956102486e-07,4.0025574189181184e-07,3.9479252447716627e-07,9.760422777650712e-06,3.8870356393945916e-07,1.0266847039754837e-06,9.365683268844609e-07,1.291027316131831e-06,1.2134913272960311e-06,1.0814966883005133e-06,9.295969433325375e-07,55846.602889116046,91123.88016145887,126197.95453343277,201989.76369050043,69352.2259853412,180410.37853294064,3187506.7770637837,7803987.836888786,66623691.23601078,38844287.5448127,15005900.736512167,18759547.701862413,2253015.9859722783,12689.716312902074,5582.73138208945,10887.837704037556,306.30632995667685,7797.624232721562,278.5957817493615,360.2288122991317,4544.368637854847,3.2149960636220724e-07,2.905253735561411e-07,3.09616379880499e-07,3.3188209873092614e-07,2.9547781755796376e-07,3.6714168467644756e-07,3.29126201671756e-07,3.107257926113433e-07,3.096550799548399e-07,3.440723496100223e-07,8524.039430301698,2.9808658943259424e-07,3.337089298295387e-07,41060.7264952861,2.9804926596969754e-07,850.6496951691514,3.34935184069453e-07,1.0412770006677785e-05,3.1470713066067803e-07,2.9691775325023893e-07,3.2966675245471025e-07
3,166.20077381943943,113.40410087918985,425.7522680729786,178.71844589161412,494.1806494639576,306.8947863910528,51628737.35844072,3893135.205689936,8297913.467398689,2235065.635805054,55443343.25003205,22539792.5216083,49378485.75049794,20038909.94516091,1630704.5107872065,4.997198958013767e-06,6.0596739256922605e-06,4.804486069506439e-06,5.141238994416444e-06,3.0063521148221677e-07,3.8770508577288393e-07,3.4122764679312854e-07,9.493943182836695e-06,3.0324579255080943e-07,6.131081825153572e-07,6.209973162145345e-07,9.198962289912443e-07,8.129247663588588e-07,6.848687499553651e-07,6.36931175230929e-07,58731.078676334284,95824.37815868882,132630.9716353227,212110.68690254743,72947.7055538625,189428.9147401888,3154864.050682511,7756590.149993916,66517465.9072956,38824389.96362513,15019801.03489225,18655869.40961286,2239667.4899373003,11848.708307784726,2451.379104983717,4782.188317695061,54.561869796984844,3434.8567685289863,60.753973091096974,1119.7652843280478,2019.412989778018,2.659681293442685e-07,2.3178235584054435e-07,2.4793366668084734e-07,2.6742331942235156e-07,2.348055425852166e-07,2.9869537160928227e-07,2.587481519026225e-07,2.3506964139693824e-07,2.7158496382291607e-07,2.780624459645096e-07,3689.6296252993716,2.3478865362954208e-07,2.757021157813065e-07,25809.197348452115,2.3514667012825919e-07,494.79423451443455,2.753549236246089e-07,1.0557556319920267e-05,2.4580835618478666e-07,2.405460210575894e-07,2.6421642187324365e-07
4,-211.46900850632653,-134.83418407207378,-507.6166285745563,-228.06523368632548,-600.8643732572367,-378.39009549922275,51636047.88421483,3905044.928904208,8292346.924772748,2232682.2255858397,55518880.942985676,22552002.013238292,49399860.31132586,20045949.445300076,1637905.4897703617,4.978584825701855e-06,6.041977611300972e-06,4.7893170524943365e-06,5.118152374898426e-06,2.092721642792838e-08,2.4428373278691245e-08,2.3524563894477933e-08,2.1908915030833392e-05,2.168629149802199e-08,5.6285846842988685e-08,5.200993418586478e-08,5.5098299701920514e-08,5.287880036002301e-08,5.069500667798305e-08,5.662291021864621e-08,55811.18227635627,91014.84154485422,126093.39143180099,201555.13457369606,69169.82192998794,180002.42273017843,3035785.6677435515,7719031.050020795,66573486.03069838,38737562.31535722,14929303.808262123,18581571.633546535,2184879.109433005,4.444495354156985e-08,4.253014157405623e-08,4.569030377491351e-08,5.443576193730663e-08,4.317939277903956e-08,4.448949277822143e-08,3.8895618338100557e-08,2.0904605204037277e-08,1.8179893853698147e-08,2.014420113133136e-08,1.7163927742192854e-08,2.0284373067780848e-08,1.6004831363226137e-08,2.4212185109135287e-08,2.1586482805186787e-08,2.034369575521229e-08,1.9016346645924404e-08,2.141262318748827e-08,3.104063860395612e-08,1.5988770892828695e-08,1.9350768784919496e-08,2.9386886494127e-08,1.6062765185533327e-08,2.3862925084147614e-08,2.049741289491359e-08,9.664911612826399e-06,1.6431999375546557e-08,1.8620717720528362e-08,1.8008924737317883e-08
