,0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,3,4,5,6,7,8,9
0,4.3993813644382194e-11,4.297038123587726e-11,2.826070067767669e-11,11.432582660424469,1.1674969455407274e-11,2.6256913127585155e-11,2.1924988651848673e-10,4.3937387257977654e-11,4.369431041052834e-11,1.8602541041306303e-11,8.721919801318805e-11,1.4101065464125945e-11,7.966275036651935e-11,3.307508131513493e-11,2.9213031379650614e-11,4.178768807369815e-11,2.033805460214134e-10,8.27751211188484e-11,7.1850297672680205e-12,3.91559524183912e-12,2.6943871549971016e-11,1.9476589748437757e-10,1.1405276614455352e-11,1.745437900989029e-11,5.77617227687003e-11
1,4.392833651595323e-11,3.131965714924815e-11,1.7745083625010538e-11,1.1718540239707238,1.1110051064262561e-11,3.511986492363458e-11,3.578281262655541e-10,6.997759179982716e-11,5.3630559774941074e-11,1.8873397951925005e-11,7.33674408043346e-11,1.4101066148409453e-11,5.833281833415368e-11,7.159864824384347e-11,2.921304454216542e-11,4.178768763067345e-11,1.1245043091085863e-10,2.4516025746578695e-10,7.087241825400186e-12,3.630018259399409e-12,1.7602806753757322e-11,1.1360676128340175,1.3703585967429302e-11,1.202977365722731e-11,5.383070103796508e-11
2,5.720396331355115e-11,5.4618771333083515e-11,1.7745096817694276e-11,4.7036919091249665e-11,9.550807881691701e-12,1.9054148875413144e-11,1.4511324914806304e-10,4.906189222167744e-11,3.5804872179692674e-11,1.7308223450280915e-11,1.080023342761237e-10,1.793104048989383e-11,6.297838705423136e-11,2.403494393692937e-11,2.933756446761791e-11,4.1787676242825016e-11,1.2354198507316311e-10,1.7416124416962214e-10,7.305922247174346e-12,3.767615645630705e-12,1.5191717299525e-11,6.419139386951094e-11,1.2100383904156448e-11,1.2720884763793247e-11,4.258010619700151e-11
3,3.6257190619629965e-11,2.957955010006081e-11,1.9380936868137077e-11,9.288441958434746,1.051131913329203e-11,2.0548587012677772e-11,1.3245484132592704e-10,3.2724378547139493e-11,6.559738639991602e-11,1.8951675792107263e-11,1.0867464367567568e-10,1.885337537065222e-11,9.43848636274649e-11,2.4845754838548182e-11,3.929006331383115e-11,4.178768239086146e-11,6.247509819205622e-11,4.061123891767188e-11,8.253310431141743e-12,4.378685615793546e-12,1.431903088232836e-11,6.347974050175489e-11,9.087039258952944e-12,1.8869823350928082e-11,8.271798671506669e-11
4,4.667140661287042e-11,3.7307048721656924e-11,2.958571175121851e-11,3.099139039451335e-11,9.159408125398272e-12,1.743658527348812e-11,1.5531008679107538e-10,3.005325914730289e-11,8.47257649517874e-11,1.510052134987017e-11,1.0177984754156627e-10,2.4826067518520898e-11,2.7593057190309956e-10,2.0765872458876394e-11,9.019169684642292e-11,7.19292827707224e-11,8.846750382704937e-11,1.722753463316301e-11,8.005574921376992e-12,4.555468000178493e-12,1.0645819094844536e-11,1.323042937227912e-10,9.316983903742327e-12,1.9653916460080277e-11,1.0299805794813485e-10
