bus,cluster,foreign,medoid_idx
10018,72,,
1002,85,,
10023,72,,
10025,72,,
1005,85,,
10057,15,,
10060,48,,
10069,38,,
10070,38,,
10120,65,,
10134,37,,
10139,37,,
1017,40,,40
10171,51,,
10173,51,,
10196,50,,
10197,50,,
10198,50,,
1020,40,,
10201,50,,
10208,62,,
10223,53,,
10234,50,,
10239,50,,
1024,17,,
10244,82,,
10245,82,,
10258,50,,
10259,50,,
1026,17,,
10260,50,,
10261,50,,50
1027,64,,
10277,14,,
1028,64,,
10295,51,,
10296,51,,
10297,51,,
10312,11,,
10324,62,,
10339,39,,
10342,31,,
10362,,43761,
10363,55,,
1038,64,,
10386,30,,
1040,64,,
1041,64,,
1042,64,,
10433,14,,
10441,14,,
10452,14,,
10455,50,,
10456,50,,
10489,54,,
10493,70,,
105,30,,
10564,66,,
10579,38,,
10584,38,,
106,30,,
10606,27,,
10610,21,,
10611,21,,
10613,21,,
10618,21,,
10623,29,,29
10683,21,,
10686,21,,
10691,27,,
10696,82,,
10701,82,,
10728,4,,
1076,64,,
10798,50,,
10799,50,,
108,30,,
10805,66,,
1081,64,,
10814,66,,
10821,21,,
10828,66,,
1089,64,,
10900,66,,
10918,50,,
10921,4,,
10937,20,,
10938,20,,
10963,31,,
10966,80,,
10969,30,,
10979,68,,
10981,68,,68
10983,68,,
10985,44,,
10986,44,,
10987,44,,44
10988,44,,
10991,44,,
11016,66,,
11018,66,,
11019,48,,
1102,64,,
11026,52,,
11033,20,,
11042,20,,
11047,7,,
11048,7,,
11051,7,,
11054,7,,
11055,7,,
11056,7,,
11063,20,,
11064,20,,
11066,20,,
11068,20,,
11069,20,,
1107,64,,
11073,20,,
11078,25,,
11080,25,,
11081,25,,
11085,21,,
11087,21,,
111,68,,
11114,68,,
11116,19,,
11117,19,,
11119,4,,
11121,19,,
11124,4,,
11127,82,,
11133,70,,
11134,70,,
11138,70,,
11139,70,,70
11141,4,,
11151,48,,
11153,9,,
11154,9,,
112,8,,
11216,44,,
11217,44,,
1122,30,,
1123,53,,
11230,62,,
11236,62,,
11238,47,,
11243,64,,
11244,64,,
11246,64,,
11253,14,,
11254,14,,
11255,14,,
11256,14,,
11259,14,,
1126,30,,
11260,8,,
11267,48,,
11273,77,,
11278,77,,
11279,77,,
11292,4,,
11295,4,,
11306,9,,
11307,9,,
11308,9,,
11322,4,,
11324,4,,
11327,4,,
11333,20,,
11334,20,,
11336,20,,
11346,4,,
11360,41,,
11361,41,,
11368,82,,
11376,51,,
11396,53,,
11429,41,,
11430,41,,
11432,41,,
11433,41,,
11464,79,,
11470,79,,
11473,79,,
11486,20,,
11517,9,,
11527,64,,
11540,79,,
11541,79,,
11549,79,,
11556,66,,
11566,79,,
11581,20,,
11601,4,,
11603,4,,
11605,4,,
11606,4,,4
11607,4,,
11608,4,,
11624,8,,
11625,8,,
11628,8,,
11629,8,,
11660,9,,
11674,44,,
11679,44,,
1168,68,,
11680,44,,
11690,63,,
11703,68,,
11704,68,,
11707,68,,
11708,14,,
11724,10,,
11727,10,,
11730,64,,
11731,64,,
11765,20,,
11769,20,,
11778,66,,
11780,66,,
11789,62,,
11790,62,,
11813,7,,
11816,7,,
11819,7,,
11820,7,,
11821,7,,
11822,7,,
11823,7,,
11824,7,,
11825,7,,
11843,31,,
11849,52,,
11852,52,,
11871,66,,
11898,40,,
1190,19,,
1191,19,,
11919,64,,
11923,64,,
1193,19,,
11936,36,,
11960,63,,
11961,70,,
11967,70,,
11969,70,,
1199,0,,
12,73,,
12081,50,,
12095,4,,
12096,4,,
1210,28,,
12106,6,,
12107,6,,
12109,6,,
12125,8,,
12130,27,,
12135,62,,
12139,27,,27
12152,66,,
1220,36,,
1222,36,,
12221,8,,
12236,48,,
12238,48,,
12239,48,,
12241,48,,
12245,25,,
1226,36,,
1227,36,,
12282,4,,
12287,4,,
12288,4,,
1229,,43771,
1230,36,,
12360,66,,
12409,44,,
12410,44,,
12466,37,,
12468,37,,
1247,47,,
12484,7,,
12485,7,,
12487,7,,
12490,7,,
12492,7,,
12493,7,,
12497,7,,
12498,7,,
12499,7,,
1251,42,,
12548,62,,
12590,68,,
1260,64,,
12623,62,,
1265,72,,
12656,51,,
