bus,cluster,foreign,medoid_idx
1,150,,
1000,274,,
10001,50,,
10020,78,,
10025,78,,78
10027,151,,
1003,52,,
1004,274,,
10058,284,,
10064,80,,
10071,66,,
10073,66,,
10086,166,,
10087,166,,
10101,111,,
10103,111,,
10135,56,,
10136,56,,
10169,108,,
1018,58,,
10181,131,,
10188,80,,
10189,80,,
1019,58,,
10209,105,,
10210,105,,
10212,105,,
10213,105,,
1023,11,,
10236,108,,
1024,11,,
10245,166,,
10246,166,,
10261,181,,
10266,181,,
10272,261,,
10276,257,,
1029,39,,
10294,38,,
1030,39,,
10304,56,,
10305,56,,
10306,56,,
10307,56,,
10310,56,,
10321,219,,
10374,74,,
1038,143,,
10385,66,,
1039,143,,
10392,168,,
10398,151,,
1040,143,,
1043,179,,
10443,222,,
10467,222,,
10468,222,,
10490,15,,
10493,15,,
10495,15,,
105,176,,
10500,15,,
10501,50,,
10504,38,,38
10520,243,,
10522,261,,
10555,78,,
10557,78,,
10559,78,,
10566,247,,
106,176,,
10648,243,,
10660,80,,
10720,78,,
10721,78,,
10727,249,,
10736,114,,
1074,143,,
10743,1,,
10746,1,,
10748,222,,
1079,143,,
10854,11,,
10855,11,,
10866,256,,
1088,143,,
10892,166,,
109,176,,
10941,1,,
10951,30,,
10955,30,,
10978,272,,
10979,272,,
10983,272,,
10986,85,,
10993,104,,
10998,242,,
11000,92,,
11008,37,,
11014,150,,
11015,150,,
11017,150,,
11022,218,,
11023,218,,
11024,218,,
11028,218,,
1103,143,,
11031,218,,
11043,133,,
11047,133,,
11048,133,,
11066,143,,
11067,39,,
11073,143,,
11077,1,,
11078,1,,
1108,143,,
11085,50,,
11087,120,,
11094,21,,
11100,119,,
11102,63,,
11117,30,,
11124,223,,
11127,153,,
11131,268,,
11132,268,,
11133,268,,
11134,3,,
11139,3,,
11140,3,,
11145,80,,
11157,63,,
11158,63,,
11161,63,,
11163,63,,
11169,63,,
11174,30,,
11175,250,,
11177,30,,
11181,30,,
11182,30,,
11183,30,,
11199,56,,
112,150,,
11200,56,,
1121,176,,
11222,191,,
11232,150,,
11238,30,,
11239,30,,
1124,176,,
11244,99,,
11246,99,,
11247,99,,
11249,99,,
1125,284,,
11253,99,,
11256,261,,
11276,268,,
11287,99,,99
11290,238,,238
113,32,,
11318,185,,
11319,185,,
11320,185,,
11337,238,,
11355,36,,
11420,218,,
11421,218,,
11433,50,,
11437,27,,
11444,131,,
11454,28,,
11473,50,,
11474,50,,
11476,50,,
11478,50,,
11495,196,,
11503,80,,
11509,221,,
11510,80,,
11513,99,,
11516,99,,
11517,99,,
11522,180,,
11523,180,,
11528,180,,
11533,39,,
11545,245,,
11546,38,,
11547,104,,
11549,38,,
11571,92,,
11581,99,,
11582,136,,
11603,36,,
11604,185,,
11606,36,,
11620,1,,
11621,1,,
11637,99,,
11638,99,,
11639,99,,
11647,30,,
1165,150,,
11689,73,,
11690,73,,
11712,80,,
11713,80,,
11715,191,,
11716,191,,
11724,114,,
11732,159,,
11761,120,,
11762,120,,120
11764,120,,
11765,120,,
11780,158,,
11790,272,,
11808,228,,
11809,228,,
11810,191,,
11830,21,,
11831,21,,
11842,99,,
11843,99,,
11847,99,,
11853,73,,
11854,73,,
11855,73,,
11856,73,,
1188,18,,
1189,18,,
11908,213,,
11909,213,,
1191,18,,
11912,213,,
11937,194,,
11939,63,,
11941,194,,
11945,194,,
11946,194,,
11949,194,,
11950,194,,
11971,80,,
11984,1,,
12,124,,
1204,266,,
12045,218,,
12047,218,,
12048,218,,
12063,36,,
12076,39,,
1210,207,,
12101,238,,
12126,1,,
12150,238,,
12163,30,,
1219,152,,
12193,261,,
12194,261,,
12220,46,,
12221,46,,
12222,46,,
12223,46,,
12225,46,,
12227,46,,
12228,46,,
12229,46,,
1223,152,,
12230,46,,
12249,99,,
12250,10,,
12252,10,,
12256,10,,
12259,10,,
1226,152,,
12260,10,,
1227,152,,
12305,104,,
12359,63,,
12360,63,,
12400,150,,
12407,34,,
12410,34,,
12426,245,,
12427,245,,
12428,245,,
12458,195,,
12463,195,,195
1247,278,,
1249,27,,
12538,104,,
12539,104,,
12569,104,,
12622,162,,
12624,162,,
12625,162,,
1263,39,,
12635,266,,
12637,266,,
1265,280,,
12650,73,,
12651,73,,
1266,280,,
12666,85,,
1267,280,,
1268,280,,
12697,73,,
12716,53,,
12720,53,,
12724,53,,
12732,276,,276
12734,208,,
12737,187,,
12740,255,,255
12749,8,,
12751,8,,
12752,146,,
12758,44,,
12760,44,,
12762,44,,
12766,124,,
12775,230,,
1278,83,,
12788,224,,
12789,224,,
12790,224,,
12791,224,,
12794,20,,
12797,20,,
12798,20,,
12799,191,,
12805,61,,
12808,61,,
12817,66,,
12818,139,,
12821,139,,
12823,272,,
12824,251,,
1284,211,,
12844,112,,
12852,267,,
12857,197,,
1286,211,,
12860,197,,
12868,13,,
12869,178,,
12875,230,,
12876,230,,
12899,260,,
129,39,,
12900,127,,
12905,127,,
12907,260,,
12908,260,,
12911,260,,
12912,260,,
12923,264,,264
12940,13,,
12942,13,,
12943,13,,
12945,13,,
12954,44,,
12956,64,,
12965,5,,
12976,254,,
12977,254,,
12978,254,,254
12984,76,,
12985,254,,
12986,254,,
12989,269,,269
12992,242,,242
12994,242,,
12999,29,,
13001,29,,
13003,29,,
13009,26,,
13038,29,,
13039,211,,
13040,211,,
13045,197,,
13047,197,,
13052,197,,
13060,66,,
13061,66,,
13066,245,,
13067,245,,
13071,23,,
13093,44,,
13098,154,,
131,39,,
13100,154,,
13107,125,,
13118,228,,
13119,228,,
13127,75,,
13129,75,,
1313,278,,
13130,75,,
13131,75,,
13133,75,,
13136,112,,
13139,112,,
13158,198,,
13165,198,,198
13169,7,,
13172,235,,
13175,235,,
13192,44,,
13199,86,,
132,39,,
13208,265,,
13210,265,,
13223,268,,
13243,161,,
13249,253,,
13255,15,,
13258,13,,
1326,173,,
13273,139,,
13274,139,,
13276,139,,
13281,142,,
13293,211,,
133,39,,
1330,32,,
13300,29,,
13308,187,,
13309,66,,
1332,32,,
13326,139,,
13331,139,,
13338,207,,
13355,15,,
13358,15,,
13359,15,,
13361,15,,
13369,61,,
134,39,,
13400,7,,
13402,154,,
13403,7,,
13409,59,,
13411,17,,
13413,17,,
13414,17,,
13415,233,,
13416,233,,
13417,233,,
13428,254,,
13431,254,,
13451,231,,
13473,187,,
13479,23,,
13481,67,,
13485,267,,
13495,15,,
135,39,,
1350,130,,
13517,154,,
13522,166,,
13532,228,,228
13533,228,,
13534,228,,
13536,228,,
13537,228,,
13543,166,,
13550,34,,
13558,260,,
13559,260,,
1356,280,,
13569,73,,
13577,146,,
13591,35,,
1360,280,,280
13611,143,,
13623,187,,
13624,187,,
1363,99,,
13631,224,,
1364,99,,
1365,280,,
13656,59,,
13659,59,,
1366,99,,
13660,59,,
13661,59,,
13662,59,,
13682,44,,
13683,121,,
13684,121,,
13685,121,,
13688,283,,
13689,121,,
13690,121,,
13692,121,,
13700,84,,
1371,176,,
1372,176,,
13725,138,,
13726,207,,
13734,66,,
13752,235,,
13758,41,,
13765,59,,
13766,59,,
13786,7,,
13787,7,,
13798,130,,
138,158,,
13812,17,,
13817,239,,
13831,154,,
13832,154,,
13835,7,,
13837,7,,
13870,197,,
13881,276,,
13890,59,,
13898,75,,
13926,112,,
1393,27,,
13931,187,,
13933,187,,
1394,27,,
13942,207,,
13943,207,,
13959,112,,112
13975,112,,
13990,61,,
13996,17,,
14007,41,,
14008,41,,
14009,283,,
14010,41,,
14025,125,,
14032,225,,
