scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,marginal_cost_quadratic,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down,p_set,p_max_pu,terrain_factor,committable,ramp_limit_up,ramp_limit_down
eGon2035,0,37116,dsm,13.611269022267372,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,13.611269022267372,,0,,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,0,48677,power_to_H2,0.0,True,inf,1372.6909325666215,0.0,,0.7,0.0,0.0,0.0,0.0117837359897107,,0,31.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,0,51939,central_heat_pump,3.1453627985517327,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,3.1453627985517327,,0,,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,0,51939,central_resistive_heater,4.014707882315571,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,4.014707882315571,,0,,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,0,51939,power_to_Heat,0.0,True,inf,1868.093607305936,0.0,,0.8805,0.0,0.0,0.0,0.0192219815869053,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,0,52264,rural_heat_pump,103.789211116262,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,103.789211116262,,0,,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,0,71372,BEV charger,205.7860448360443,False,inf,0.0,0.0,,0.9000000000000001,0.0,0.0,0.0,205.7860448360443,,0,,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,0,79507,power_to_O2,0.019,True,inf,1214.9543378995434,0.0,,0.9,0.0,0.0,0.0,0.023491033338551,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,0,79511,power_to_O2,0.022,True,inf,1214.9543378995434,0.0,,0.9,0.0,0.0,0.0,0.0268049115790189,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,0,79552,power_to_O2,0.016,True,inf,1214.9543378995434,0.0,,0.9,0.0,0.0,0.0,0.020180195202875,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
