bus_id,cluster,medoid_idx
47369,198,47613
47372,198,47613
47373,110,47880
47374,13,47382
47375,110,47880
47376,275,48115
47377,197,47377
47378,254,47378
47379,26,48036
47380,63,48203
47381,209,48210
47382,13,47382
47383,125,47383
47384,270,47634
47385,284,47618
47386,13,47382
47387,108,48142
47388,167,47388
47389,64,48105
47390,64,48105
47391,285,47391
47392,225,47392
47393,202,47393
47394,96,47395
47395,96,47395
47396,214,47397
47397,214,47397
47398,214,47397
47399,119,47399
47400,206,47403
47401,53,47401
47402,206,47403
47403,206,47403
47404,83,48072
47405,270,47634
47406,183,48568
47407,56,47407
47408,125,47383
47409,83,48072
47410,183,48568
47411,250,47595
47412,38,47427
47413,103,47414
47414,103,47414
47415,213,47571
47416,127,47416
47417,218,47417
47418,267,47418
47419,14,47570
47420,180,47420
47421,180,47420
47422,29,47422
47423,29,47422
47424,29,47422
47425,116,48177
47426,256,48351
47427,38,47427
47428,230,47428
47429,230,47428
47430,33,47431
47431,33,47431
47432,46,47432
47433,46,47432
47434,257,47435
47435,257,47435
47436,52,47436
47437,65,47437
47438,114,48188
47439,20,47440
47440,20,47440
47441,20,47440
47442,65,47437
47443,154,47443
47444,155,47445
47445,155,47445
47446,232,48282
47447,271,48268
47448,109,47448
47449,12,47449
47450,90,47450
47451,37,47451
47452,282,47452
47453,78,47980
47454,78,47980
47455,185,47746
47456,185,47746
47457,105,47457
47458,212,47459
47459,212,47459
47460,139,47460
47461,6,47742
47462,98,47462
47463,47,47463
47464,166,47464
47465,166,47464
47466,148,48341
47467,272,47467
47468,175,47468
47469,41,48345
47470,281,47470
47471,226,47471
47472,82,47589
47473,124,47581
47474,267,47418
47475,151,48328
47476,151,48328
47477,267,47418
47478,82,47589
47479,199,47588
47480,75,47480
47481,75,47480
47482,267,47418
47483,267,47418
47484,267,47418
47485,134,48125
47486,245,47486
47487,205,47487
47488,85,47505
47489,130,47490
47490,130,47490
47491,130,47490
47492,37,47451
47493,233,47493
47494,113,47494
47495,113,47494
47496,3,48167
47497,3,48167
47498,144,47499
47499,144,47499
47500,263,47500
47501,196,47865
47502,196,47865
47503,200,47504
47504,200,47504
47505,85,47505
47506,77,47507
47507,77,47507
47508,208,47508
47509,182,47509
47510,182,47509
47511,55,47511
47512,190,47513
47513,190,47513
47514,240,48273
47515,69,47515
47516,252,48236
47517,252,48236
47518,249,48551
47519,249,48551
47520,18,47520
47521,161,47521
47522,200,47504
47523,240,48273
47524,188,47524
47525,40,48151
47526,62,47526
47527,186,47638
47528,186,47638
47529,158,47583
47530,158,47583
47531,170,48108
47532,172,48552
47533,158,47583
47534,158,47583
47535,14,47570
47536,158,47583
47537,158,47583
47538,30,47538
47539,106,47539
47540,159,47540
47541,211,47541
47542,70,47542
47543,255,47543
47544,255,47543
47545,147,47545
47546,165,47546
47547,235,47547
47548,152,47548
47549,174,47549
47550,174,47549
47551,71,47551
47552,238,47552
47553,210,47553
47554,210,47553
47555,60,47555
47556,246,47556
47557,246,47556
47558,246,47556
47559,277,47559
47560,158,47583
47561,42,47561
47562,124,47581
47563,10,47640
47564,138,47564
47565,138,47564
47566,138,47564
47567,60,47555
47568,279,47569
47569,279,47569
47570,14,47570
47571,213,47571
47572,276,47574
47573,276,47574
47574,276,47574
47575,213,47571
47576,2,47576
47577,184,47898
47578,102,48344
47579,59,47579
47580,57,47580
47581,124,47581
47582,138,47564
47583,158,47583
47584,117,47585
47585,117,47585
47586,84,47586
47587,109,47448
47588,199,47588
47589,82,47589
47590,177,47590
47591,28,48304
47592,121,48121
47593,196,47865
