,43770
0,0.9457875957623622
1,0.9386507663350676
2,0.960718956138087
3,0.958685729549261
4,0.9597645907964851
5,0.9405275457291083
6,0.9318885843629016
7,0.9195714456064238
8,0.9697549790002359
9,0.9706364932128123
10,0.9753102364159996
11,0.9713066114020918
12,0.9660208097916514
13,0.9616659064758485
14,-59367780956047.36
15,0.9603685018635055
16,0.9700158504825093
17,0.9663762180561227
18,0.9668223569692428
19,0.9436424084225273
20,0.9508163922322371
21,0.9561020255602938
22,0.9580721756379399
23,0.9641803005968109
24,0.9694139209695719
25,0.9666253173011354
26,0.9638106842214738
27,0.9650925806183545
28,0.9669173310224698
29,0.9745374603052337
30,0.9249759772377071
31,0.9710592073093673
32,0.9543785059433085
33,0.9680224873565145
34,0.9206501977947567
35,0.9632000001140667
36,0.9597847306922462
37,0.9408425201708156
38,0.9635817256991872
39,-14900316908496.99
40,-3128264552733650.5
41,-2616265934839331.0
42,-2898644598346.802
43,0.933609575437214
44,0.9336588875345952
45,0.9501672006572259
46,0.9750074051052356
47,-1.24334202549465e+16
48,-1.457410947822741e+16
49,-513319392989897.3
