,43770
0,0.9382254883796975
1,0.9346424427465927
2,0.9556370716142641
3,0.9605851794790294
4,0.9599600559533399
5,0.9407336901966902
6,0.931771378365718
7,0.9187949187234983
8,0.9714741390611161
9,0.9698666829966749
10,0.9753389348766065
11,0.9717929128377494
12,0.9618508411759321
13,0.9606012629961412
14,-1415561740585254.0
15,-432066538478010.9
16,0.9695269161039584
17,0.9629626224240941
18,0.9527565316576603
19,0.9428385820581492
20,0.953427333722153
21,0.9563579098031774
22,0.9532359919682561
23,0.9627850962624328
24,0.9686236666904389
25,0.9665907363183859
26,0.9666444771253537
27,0.9686173800983596
28,0.9674680853565419
29,0.9746656686698946
30,-5457006883.638573
31,0.9712782932527106
32,0.9569655547109238
33,0.9671252537763786
34,0.9260942282968906
35,0.9625668352767244
36,0.961308769146433
37,0.9579516583825494
38,0.9640524261471229
39,-266128298.87325743
40,-4.022583606724437e+16
41,-1437619784267521.0
42,-2.8861502756767296e+16
43,0.9340048506565639
44,0.9331434431683238
45,0.9501739318731349
46,0.9750247071324644
47,-1.3553286249226531e+17
48,-3178142697934092.0
49,-2.319273711526428e+16
