name,scn_name,v_nom,type,carrier,x,y,geom,country
25067,eGon2035,380,,AC,8.5499653,51.9507296,0101000020e6100000a2de420d951921406aabed81b1f94940,DE
27301,eGon2035,380,,AC,12.9431242,51.1681464,0101000020e6100000e121d62ce1e2294057783cd285954940,DE
28653,eGon2035,380,,AC,9.907432,53.4900755,0101000020e610000010b056ed9ad02340128942cbbabe4a40,DE
30249,eGon2035,380,,AC,12.1620726,48.9485718,0101000020e6100000c727092efb5228403574fdcc6a794840,DE
32187,eGon2035,380,,AC,8.372587731,48.94052914,0101000020e61000002ca6b1d1c3be2040c9b4484263784840,DE
32987,eGon2035,380,,AC,6.920547774,51.12212479,0101000020e610000073945f13a4ae1b400835f4c8a18f4940,DE
33860,eGon2035,380,,AC,10.63347954,50.6056361,0101000020e61000007a70336e57442540b32ace7b854d4940,DE
31992,eGon2035,380,,AC,10.40836074,53.27071919,0101000020e6100000c3fc9aa814d1244038f62feda6a24a40,DE
33285,eGon2035,380,,AC,12.18014163,47.79393912,0101000020e61000000c1e01863b5c28400f8617cc9fe54740,DE
33111,eGon2035,380,,AC,6.258962184,51.58205728,0101000020e61000009e62fd612d091940c04a63da80ca4940,DE
34302,eGon2035,380,,AC,12.37362408,51.44909252,0101000020e610000092dcd5a74bbf2840545c23dd7bb94940,DE
32267,eGon2035,380,,AC,7.9767694,51.362885,0101000020e610000028efd23c36e81f40c09a030473ae4940,DE
32847,eGon2035,380,,AC,7.878210475,51.3417329,0101000020e6100000391e4c9b49831f40e2e350e7bdab4940,DE
34263,eGon2035,380,,AC,12.3365455,50.48084219,0101000020e6100000db291bb14fac28405a009f3c8c3d4940,DE
33117,eGon2035,380,,AC,6.270050515,51.43574758,0101000020e6100000ade84b1f8814194064a2aa93c6b74940,DE
34975,eGon2035,380,,AC,6.218680921,51.37914005,0101000020e6100000ce4631e4eddf1840690b4aa987b04940,DE
33870,eGon2035,380,,AC,11.77930765,51.66597988,0101000020e61000009cdf9869018f274044aa20d43ed54940,DE
34874,eGon2035,380,,AC,9.744316306,54.71173458,0101000020e610000080cae306177d2340bb955e1e1a5b4b40,DE
32998,eGon2035,380,,AC,9.289063456,49.16004366,0101000020e6100000ad741320009422404c1c874f7c944840,DE
34507,eGon2035,380,,AC,7.351049682,51.13789181,0101000020e61000001ca85c9179671d4001475b70a6914940,DE
34145,eGon2035,380,,AC,7.407406783,51.11335402,0101000020e6100000ed19643e2fa11d4074057962828e4940,DE
31341,eGon2035,380,,AC,8.428093013,51.8200718,0101000020e6100000538de8012fdb2040d5ebdb1cf8e84940,DE
32083,eGon2035,380,,AC,8.515066405,51.62298288,0101000020e61000008668a5c8b60721406e8632e7bdcf4940,DE
33817,eGon2035,380,,AC,13.73305451,51.21397848,0101000020e61000000900cdeb52772b4095d98ca5639b4940,DE
33604,eGon2035,380,,AC,8.36156009,48.29839277,0101000020e61000004c3372671eb92040d670f9bb31264840,DE
33603,eGon2035,380,,AC,8.192512179,48.28601506,0101000020e610000082cacff490622040256b39249c244840,DE
31952,eGon2035,380,,AC,9.307222494,49.00584775,0101000020e61000009dcd4c444c9d22406ce2729ebf804840,DE
32845,eGon2035,380,,AC,9.273904681,49.08039019,0101000020e6100000cadfff3b3d8c2240c7e5cf394a8a4840,DE
35033,eGon2035,380,,AC,11.62949663,53.2033718,0101000020e6100000960ef7614d422740473e5216089a4a40,DE
33081,eGon2035,380,,AC,7.160594126,50.23811157,0101000020e6100000f25f58c972a41c409bff9b707a1e4940,DE
33080,eGon2035,380,,AC,6.971842053,50.22667462,0101000020e610000076b924902ae31b40f86d85ac031d4940,DE
32499,eGon2035,380,,AC,9.464354737,48.95354169,0101000020e61000007bf375e7bfed2240f0d872a70d7a4840,DE
32593,eGon2035,380,,AC,9.558650695,48.98263919,0101000020e61000007737be76071e23403584fd1ec77d4840,DE
36163,eGon2035,380,,AC,14.3540735,53.1739526,0101000020e6100000b1c22d1f49b52c40ef062c1444964a40,DE
36146,eGon2035,380,,AC,9.65045141,51.19531552,0101000020e610000050fa99f7074d2340a9f74a1900994940,DE
36156,eGon2035,380,,AC,10.8658666,51.6741251,0101000020e6100000be65f3dd52bb2540d5f434bb49d64940,DE
36139,eGon2035,380,,AC,12.1119316,51.068817,0101000020e610000025c742194f3928405534d6fece884940,DE
36143,eGon2035,380,,AC,12.84680605,52.10203156,0101000020e610000001eafa8f90b129409a9bbb5e0f0d4a40,DE
36158,eGon2035,380,,AC,12.8217962,52.0817016,0101000020e610000044f4b578c2a42940f403b232750a4a40,DE
13244,eGon2035,380,,AC,9.7237416,54.2868645,0101000020e61000006a824d428e72234013f1d6f9b7244b40,DE
14768,eGon2035,380,,AC,9.7392189,54.3251524,0101000020e6100000922b50e67a7a2340a31b06989e294b40,DE
11429,eGon2035,380,,AC,9.868203,54.1774736,0101000020e61000000494861a85bc2340a3f37574b7164b40,DE
23025,eGon2035,380,,AC,9.5814901,54.0945876,0101000020e610000042e50412b9292340b74d4c721b0c4b40,DE
15559,eGon2035,380,,AC,9.3322302,54.7210228,0101000020e6100000b17ca7131aaa2240ced5a0794a5c4b40,DE
11430,eGon2035,380,,AC,9.9219064,54.1449988,0101000020e61000003af29b1d04d82340c9fa17528f124b40,DE
24704,eGon2035,380,,AC,9.5244667,54.0527305,0101000020e61000009eae38e6860c234039807edfbf064b40,DE
218,eGon2035,380,,AC,9.3508194,53.9214169,0101000020e6100000cd9ab3999eb32240a9bd2dfdf0f54a40,DE
316,eGon2035,380,,AC,9.2474899,53.8981792,0101000020e61000003d2e05ffb67e224046f93889f7f24a40,DE
14765,eGon2035,380,,AC,9.714231,54.341342,0101000020e6100000299485afaf6d234029603b18b12b4b40,DE
11433,eGon2035,380,,AC,9.9739073,54.1161793,0101000020e6100000dcab45faa3f2234071fc9af6de0e4b40,DE
23509,eGon2035,380,,AC,9.4854287,53.967752,0101000020e610000060144e1c8af82240be512b4cdffb4a40,DE
215,eGon2035,380,,AC,9.3557308,53.8783433,0101000020e61000001e5cf05822b622409314a28d6df04a40,DE
592,eGon2035,380,,AC,9.9782625,53.7429952,0101000020e610000071ce88d2def42340e18a7a771adf4a40,DE
228,eGon2035,380,,AC,9.6379897,53.6426478,0101000020e6100000a55e0196a646234056ec794842d24a40,DE
19495,eGon2035,380,,AC,9.313547,54.7300072,0101000020e610000090847d3b89a022401aec3ce0705d4b40,DE
15496,eGon2035,380,,AC,9.620284,54.418056,0101000020e6100000d1764cdd953d2340c3f2e7db82354b40,DE
11432,eGon2035,380,,AC,9.9762011,54.1157108,0101000020e610000072a36da1d0f32340a2e58a9ccf0e4b40,DE
15773,eGon2035,380,,AC,9.3398471,54.0931786,0101000020e6100000e847687000ae2240f2d7bf46ed0b4b40,DE
16114,eGon2035,380,,AC,9.2404151,53.8974849,0101000020e6100000dced1fb0177b2240b11303c9e0f24a40,DE
20114,eGon2035,380,,AC,9.7685124,53.69685,0101000020e6100000152411757a892340db1b7c6132d94a40,DE
828,eGon2035,380,,AC,9.2120255,53.8956152,0101000020e61000000bd6389b8e6c224077e6d484a3f24a40,DE
11360,eGon2035,380,,AC,9.9743679,54.1153595,0101000020e61000005e8b7159e0f2234037e49f19c40e4b40,DE
28859,eGon2035,380,,AC,9.4848296,53.9328426,0101000020e6100000fa43d8953bf8224066a8e56267f74a40,DE
16109,eGon2035,380,,AC,9.2149747,53.908935,0101000020e610000051eff329116e22404b9869fb57f44a40,DE
586,eGon2035,380,,AC,9.7731939,53.6951128,0101000020e6100000f3ee2312e08b2340f883cb74f9d84a40,DE
14789,eGon2035,380,,AC,9.4708889,54.5283542,0101000020e61000004d19935918f1224025da441ca1434b40,DE
11361,eGon2035,380,,AC,9.9541552,54.0975666,0101000020e6100000df9dc60787e823404917f60f7d0c4b40,DE
12704,eGon2035,380,,AC,10.003528,54.1169467,0101000020e6100000973d096cce01244005f0051cf80e4b40,DE
12676,eGon2035,380,,AC,10.0186157,54.0613467,0101000020e610000061623dff87092440d81b6b35da074b40,DE
587,eGon2035,380,,AC,9.7760634,53.6975394,0101000020e6100000c13e952e588d2340f35597f848d94a40,DE
14659,eGon2035,380,,AC,9.4099404,54.771165,0101000020e61000004a9e46b5e3d12240f168e388b5624b40,DE
15351,eGon2035,380,,AC,9.4134193,54.7717813,0101000020e61000000812cab1abd322400a95c9bac9624b40,DE
35516,eGon2035,380,,AC,9.383644356,54.73327534,0101000020e61000009caa70086dc4224016985af7db5d4b40,DE
14791,eGon2035,380,,AC,9.427085,54.6772894,0101000020e61000006d3997e2aada2240b876476bb1564b40,DE
35448,eGon2035,380,,AC,9.428386591,54.5462446,0101000020e6100000c296bd7c55db22407945ca57eb454b40,DE
14068,eGon2035,380,,AC,10.0108615,54.07315,0101000020e61000002e9276a38f052440e9d9acfa5c094b40,DE
16831,eGon2035,380,,AC,10.2373215,54.0454827,0101000020e61000007c4622348279244053848a60d2054b40,DE
17608,eGon2035,380,,AC,10.1066675,54.1166208,0101000020e61000009817601f9d36244046042d6eed0e4b40,DE
12679,eGon2035,380,,AC,10.0148217,54.0585954,0101000020e6100000d18ab9b5960724401859d70d80074b40,DE
1199,eGon2035,380,,AC,9.4596775,53.8646575,0101000020e6100000016a6ad95aeb2240dd5ed218adee4a40,DE
25708,eGon2035,380,,AC,9.4830471,53.9307486,0101000020e6100000f4da11f351f722401ee626c522f74a40,DE
15186,eGon2035,380,,AC,9.1582954,54.2502362,0101000020e6100000e8363c180c5122403ea363bd07204b40,DE
25033,eGon2035,380,,AC,9.1063904,53.9722476,0101000020e61000007b3771cd78362240a8cefe9b72fc4a40,DE
14657,eGon2035,380,,AC,9.409571,54.7727232,0101000020e6100000b1c7444ab3d12240246e0498e8624b40,DE
16874,eGon2035,380,,AC,9.241251,54.6782106,0101000020e61000002d414640857b22407866dd9acf564b40,DE
35525,eGon2035,380,,AC,9.048422086,54.70700885,0101000020e6100000587e97c7ca182240933414447f5a4b40,DE
461,eGon2035,380,,AC,9.9263491,53.6049435,0101000020e6100000ab5be26d4ada2340c236e2c96ecd4a40,DE
16833,eGon2035,380,,AC,10.3877369,53.9564989,0101000020e6100000a4e7717385c624407b14538e6efa4a40,DE
16617,eGon2035,380,,AC,10.2000372,54.1392796,0101000020e610000082f79f466b662440ff7ff7e9d3114b40,DE
17607,eGon2035,380,,AC,10.0671333,54.1726655,0101000020e6100000f3f1bf4b5f222440e1d231e719164b40,DE
12671,eGon2035,380,,AC,9.8054833,53.9764326,0101000020e6100000c5f29d4e689c2340c7df51befbfc4a40,DE
23004,eGon2035,380,,AC,9.4790343,53.9149862,0101000020e61000001353d8fb43f522404aa58e441ef54a40,DE
15317,eGon2035,380,,AC,9.1514504,54.2592145,0101000020e6100000a7ee25e88a4d22401313d4f02d214b40,DE
23594,eGon2035,380,,AC,9.1013316,53.9814785,0101000020e61000004b1a48bce1332240139d6516a1fd4a40,DE
15916,eGon2035,380,,AC,9.9524337,54.681733,0101000020e61000007037d263a5e723404fcde50643574b40,DE
