,0,18,36,58,69,137
0,-0.2165366186901495,-0.22709291451175057,-0.21651617488925118,-0.2331089229524195,-0.22833984709386823,-0.2217031891617171
1,-0.27859534702649547,-0.2819436831198352,-0.2837462441873334,-0.28841786748277637,-0.2910835309441858,-0.2815933793076316
2,-0.33992494629354675,-0.3375264294167289,-0.3436419294365045,-0.3427843877232371,-0.34946950443634356,-0.34375824791362763
3,-0.2063094133065429,-0.21984073717387576,-0.2073843614090035,-0.22432565351640643,-0.22208193380753552,-0.21291776704015813
4,-0.26972700344072864,-0.2747255805667785,-0.2724780403376585,-0.27910138787206723,-0.27928686670828423,-0.27486217333589175
5,-0.20421410125407116,-0.22523592633281506,-0.21638164334114865,-0.2592683580619711,-0.235538197676281,-0.21277918948340563
6,-0.9388517697394174,-0.9395642350482876,-0.9391564681026574,-0.9417789988068477,-0.9420851882976575,-0.9396342576459072
7,-0.3250851711875602,-0.33227164873732007,-0.33607481683887824,-0.37421843405298605,-0.35464708364871333,-0.3303548790147546
8,-0.8087631874452711,-0.813532704052784,-0.8128561338576534,-0.8201806490694059,-0.8151408258610516,-0.8051042233736166
9,-0.5671852159222069,-0.562495994365256,-0.5710684308940401,-0.59693794912851,-0.5918669918936652,-0.5726135482567343
10,-0.19714012004665857,-0.21716023225029507,-0.20750234296300085,-0.25208284280370813,-0.2260293082928796,-0.2043622688962965
11,-0.7332369856235653,-0.7379044983210148,-0.7372529487113919,-0.7522565564307826,-0.7451241989061693,-0.7361499099391844
12,-0.23201578100093762,-0.24924822711166914,-0.24343958167998891,-0.2836004995047183,-0.2606412181464844,-0.2398964970515944
13,-0.991168487576079,-0.9914170898401592,-0.99059027214539,-0.988344964475927,-0.9903488672040139,-0.9898819557668945
14,-0.4100180351916884,-0.4093749934336493,-0.4227523201101801,-0.45014010346437855,-0.43872550574765257,-0.41434649107462845
15,-0.26658119275708464,-0.2812957315420124,-0.2740644892245874,-0.3241658059271967,-0.3001259423428333,-0.2715418550329915
16,-0.7554918953799163,-0.7564054001459886,-0.7554464490174692,-0.7712995188714591,-0.7657958906282624,-0.7592902762913842
17,-0.21033326526454635,-0.22700537945096713,-0.21611395662177899,-0.2616759595179261,-0.23622074347582545,-0.21608973898532566
18,-0.46681620909584604,-0.46485746949501294,-0.4650662229865444,-0.5032191880216815,-0.491102113466027,-0.47271994610560947
19,-0.28521142966211815,-0.29241473961246417,-0.2944286211631561,-0.3318369371501135,-0.3091434888420827,-0.28913147247789767
20,-0.22301536011401388,-0.23153573933436775,-0.22631102050468296,-0.23723415622284802,-0.23922773183335871,-0.22556903227004987
21,-0.3291989515972162,-0.3268472256455234,-0.3321023541253208,-0.33212591353615883,-0.33691737029183644,-0.33185249804906086
22,-0.19714012004665857,-0.21716023225029507,-0.20750234296300085,-0.25208284280370813,-0.2260293082928796,-0.2043622688962965
23,-0.7332369856235653,-0.7379044983210148,-0.7372529487113919,-0.7522565564307826,-0.7451241989061693,-0.7361499099391844
24,-0.23201578100093762,-0.24924822711166914,-0.24343958167998891,-0.2836004995047183,-0.2606412181464844,-0.2398964970515944
25,-0.991168487576079,-0.9914170898401592,-0.99059027214539,-0.988344964475927,-0.9903488672040139,-0.9898819557668945
26,-0.4100180351916884,-0.4093749934336493,-0.4227523201101801,-0.45014010346437855,-0.43872550574765257,-0.41434649107462845
27,-0.26658119275708464,-0.2812957315420124,-0.2740644892245874,-0.3241658059271967,-0.3001259423428333,-0.2715418550329915
28,-0.7554918953799163,-0.7564054001459886,-0.7554464490174692,-0.7712995188714591,-0.7657958906282624,-0.7592902762913842
29,-0.20421410125407116,-0.22523592633281506,-0.21638164334114865,-0.2592683580619711,-0.235538197676281,-0.21277918948340563
30,-0.9388517697394174,-0.9395642350482876,-0.9391564681026574,-0.9417789988068477,-0.9420851882976575,-0.9396342576459072
31,-0.3250851711875602,-0.33227164873732007,-0.33607481683887824,-0.37421843405298605,-0.35464708364871333,-0.3303548790147546
32,-0.8087631874452711,-0.813532704052784,-0.8128561338576534,-0.8201806490694059,-0.8151408258610516,-0.8051042233736166
33,-0.5671852159222069,-0.562495994365256,-0.5710684308940401,-0.59693794912851,-0.5918669918936652,-0.5726135482567343
34,-0.1972303855934722,-0.21390370982318063,-0.20211285668096665,-0.24905041409353754,-0.221408034831214,-0.20208391036802442
35,-0.3782906934777642,-0.38064959357742123,-0.38171754042620626,-0.4199410307472368,-0.40174094781909725,-0.3842659402763622
36,-0.2165366186901495,-0.22709291451175057,-0.21651617488925118,-0.2331089229524195,-0.22833984709386823,-0.2217031891617171
37,-0.27859534702649547,-0.2819436831198352,-0.2837462441873334,-0.28841786748277637,-0.2910835309441858,-0.2815933793076316
38,-0.33992494629354675,-0.3375264294167289,-0.3436419294365045,-0.3427843877232371,-0.34946950443634356,-0.34375824791362763
39,-0.26658119275708464,-0.2812957315420124,-0.2740644892245874,-0.3241658059271967,-0.3001259423428333,-0.2715418550329915
40,-0.7554918953799163,-0.7564054001459886,-0.7554464490174692,-0.7712995188714591,-0.7657958906282624,-0.7592902762913842
41,-0.20421410125407116,-0.22523592633281506,-0.21638164334114865,-0.2592683580619711,-0.235538197676281,-0.21277918948340563
42,-0.9388517697394174,-0.9395642350482876,-0.9391564681026574,-0.9417789988068477,-0.9420851882976575,-0.9396342576459072
43,-0.3250851711875602,-0.33227164873732007,-0.33607481683887824,-0.37421843405298605,-0.35464708364871333,-0.3303548790147546
44,-0.8087631874452711,-0.813532704052784,-0.8128561338576534,-0.8201806490694059,-0.8151408258610516,-0.8051042233736166
45,-0.5671852159222069,-0.562495994365256,-0.5710684308940401,-0.59693794912851,-0.5918669918936652,-0.5726135482567343
46,-0.19714012004665857,-0.21716023225029507,-0.20750234296300085,-0.25208284280370813,-0.2260293082928796,-0.2043622688962965
47,-0.7332369856235653,-0.7379044983210148,-0.7372529487113919,-0.7522565564307826,-0.7451241989061693,-0.7361499099391844
48,-0.23201578100093762,-0.24924822711166914,-0.24343958167998891,-0.2836004995047183,-0.2606412181464844,-0.2398964970515944
49,-0.991168487576079,-0.9914170898401592,-0.99059027214539,-0.988344964475927,-0.9903488672040139,-0.9898819557668945
