,0 biomass,0 central_biomass_CHP,0 industrial_biomass_CHP,0 load shedding,0 oil,0 reservoir,0 run_of_river,0 solar,0 solar_rooftop,0 wind_onshore,1 biomass,1 central_biomass_CHP,1 industrial_biomass_CHP,1 load shedding,1 oil,1 others,1 reservoir,1 run_of_river,1 solar,1 solar_rooftop,1 wind_offshore,1 wind_onshore,2 biomass,2 central_biomass_CHP,2 industrial_biomass_CHP,2 load shedding,2 others,2 reservoir,2 run_of_river,2 solar,2 solar_rooftop,2 wind_onshore,3 biomass,3 central_biomass_CHP,3 industrial_biomass_CHP,3 load shedding,3 others,3 run_of_river,3 solar,3 solar_rooftop,3 wind_offshore,3 wind_onshore,37222 load shedding,4 biomass,4 central_biomass_CHP,4 industrial_biomass_CHP,4 load shedding,4 oil,4 others,4 reservoir,4 run_of_river,4 solar,4 solar_rooftop,4 wind_onshore,41648 load shedding,42100 load shedding,42102 load shedding,42106 load shedding,43534 load shedding,43761 load shedding,43761 oil,43761 others,43761 reservoir,43761 run_of_river,43761 solar,43761 wind_onshore,43762 coal,43762 load shedding,43762 oil,43762 others,43762 run_of_river,43762 solar,43762 wind_offshore,43762 wind_onshore,43763 load shedding,43763 nuclear,43763 others,43763 reservoir,43763 run_of_river,43763 solar,43763 wind_onshore,43764 coal,43764 lignite,43764 load shedding,43764 nuclear,43764 oil,43764 others,43764 reservoir,43764 run_of_river,43764 solar,43764 wind_onshore,43765 coal,43765 load shedding,43765 oil,43765 others,43765 solar,43765 wind_offshore,43765 wind_onshore,43766 coal,43766 load shedding,43766 oil,43766 others,43766 solar,43766 wind_offshore,43766 wind_onshore,43767 load shedding,43767 nuclear,43767 oil,43767 others,43767 reservoir,43767 run_of_river,43767 solar,43767 wind_offshore,43767 wind_onshore,43768 lignite,43768 load shedding,43768 oil,43768 others,43768 solar,43768 wind_onshore,43769 coal,43769 load shedding,43769 nuclear,43769 oil,43769 others,43769 run_of_river,43769 solar,43769 wind_offshore,43769 wind_onshore,43770 load shedding,43771 load shedding,43771 nuclear,43771 others,43771 run_of_river,43771 solar,43771 wind_offshore,43771 wind_onshore,43772 load shedding,43772 others,43772 reservoir,43772 solar,43772 wind_onshore,43773 coal,43773 lignite,43773 load shedding,43773 others,43773 reservoir,43773 run_of_river,43773 solar,43773 wind_offshore,43773 wind_onshore,43774 load shedding,43774 nuclear,43774 others,43774 reservoir,43774 solar,43774 wind_offshore,43774 wind_onshore,48623 CH4,48623 load shedding,48624 CH4,48624 load shedding,48625 load shedding,48626 CH4,48626 load shedding,48627 CH4,48627 load shedding,48628 CH4,48628 load shedding,48629 CH4,48629 load shedding,48630 CH4,48630 load shedding,48631 CH4,48631 load shedding,48632 load shedding,48633 CH4,48633 load shedding,48634 CH4,48634 load shedding,48636 CH4,48636 load shedding,48637 load shedding,48679 load shedding,48681 load shedding,48701 load shedding,49887 load shedding,5 biomass,5 central_biomass_CHP,5 industrial_biomass_CHP,5 load shedding,5 oil,5 run_of_river,5 solar,5 solar_rooftop,5 wind_offshore,5 wind_onshore,50660 central_biomass_CHP_heat,50660 load shedding,50734 load shedding,50981 central_biomass_CHP_heat,50981 load shedding,51723 load shedding,52023 load shedding,52025 load shedding,52027 load shedding,52028 load shedding,52030 load shedding,52038 load shedding,63912 load shedding,64685 load shedding,64759 load shedding,65006 load shedding,65748 load shedding,66048 load shedding,66050 load shedding,66052 load shedding,66053 load shedding,66055 load shedding,66063 load shedding,69893 load shedding,69895 load shedding,69898 load shedding,69900 load shedding,69906 load shedding,69909 load shedding,69910 CH4_biogas,69910 load shedding,69911 CH4_biogas,69911 load shedding,69912 CH4_NG,69912 CH4_biogas,69912 load shedding,69913 CH4_NG,69913 CH4_biogas,69913 load shedding,69914 CH4_biogas,69914 load shedding,69915 CH4_biogas,69915 load shedding,69916 CH4_biogas,69916 load shedding,69930 load shedding,69931 load shedding,69932 load shedding,69933 load shedding,69934 load shedding,69935 load shedding,69936 load shedding,69937 central_biomass_CHP_heat,69937 geo_thermal,69937 load shedding,69937 solar_thermal_collector,69938 central_biomass_CHP_heat,69938 load shedding,69938 solar_thermal_collector,69939 central_biomass_CHP_heat,69939 geo_thermal,69939 load shedding,69939 solar_thermal_collector,69941 central_biomass_CHP_heat,69941 load shedding,69941 solar_thermal_collector,69942 central_biomass_CHP_heat,69942 geo_thermal,69942 load shedding,69942 solar_thermal_collector,69943 central_biomass_CHP_heat,69943 load shedding,69943 solar_thermal_collector,69944 central_biomass_CHP_heat,69944 load shedding,69945 central_biomass_CHP_heat,69945 load shedding,69946 central_biomass_CHP_heat,69946 load shedding,69946 solar_thermal_collector,69949 central_biomass_CHP_heat,69949 load shedding,69950 central_biomass_CHP_heat,69950 load shedding,69951 central_biomass_CHP_heat,69951 load shedding,69952 central_biomass_CHP_heat,69952 load shedding,69953 central_biomass_CHP_heat,69953 load shedding,69954 central_biomass_CHP_heat,69954 geo_thermal,69954 load shedding,69954 solar_thermal_collector,69956 load shedding,69957 central_biomass_CHP_heat,69957 geo_thermal,69957 load shedding,69957 solar_thermal_collector,69958 central_biomass_CHP_heat,69958 load shedding,69959 central_biomass_CHP_heat,69959 load shedding,69960 central_biomass_CHP_heat,69960 load shedding,69961 load shedding,69963 central_biomass_CHP_heat,69963 geo_thermal,69963 load shedding,69964 load shedding,69965 load shedding,69966 load shedding,69967 load shedding,69968 load shedding,69969 load shedding,69970 load shedding,69971 load shedding,69972 load shedding,69973 load shedding,69974 load shedding,69975 load shedding,69976 load shedding,69977 load shedding,69978 load shedding,69979 load shedding,69980 load shedding,69981 load shedding,69982 load shedding,69983 load shedding,69984 load shedding,69985 load shedding
0,1.2088697151271226e-09,1.2088335463482128e-09,1.2088627942188516e-09,4.817020990335941e-12,4.836663034710987e-10,1.2665219015994016,60.50553126530249,0.0,0.0,5766.38355635598,1.2236871780178318e-09,1.2237168888181814e-09,1.2236838973371485e-09,4.817253336526619e-12,4.85991418611189e-10,399.99999998244715,128.3658990950764,45.81431654951845,0.0,0.0,10713.99999973504,8219.599174028372,1.2374498580961908e-09,1.2374435016559168e-09,1.2374588309604642e-09,4.817464526237855e-12,106.85649515958085,127.48970218975379,1756.5434942932332,0.0,0.0,133.34548892547585,1.2178783038466386e-09,1.2179086494892354e-09,1.2178839632613827e-09,4.817163004541415e-12,99.99999998119588,44.854423166217956,0.0,0.0,4416.967216334731,25155.517329900907,4.816996155169454e-12,1.2328779128082045e-09,1.2328720446362085e-09,1.2328988064797055e-09,4.817395077919862e-12,4.875017829801972e-10,193.1435048094404,10.503711684335537,951.4983577429822,0.0,0.0,265.27094537028694,4.8170210071638964e-12,4.81725332893124e-12,4.817163170616328e-12,4.81739519284296e-12,4.817464334678748e-12,4.817471701229785e-12,4.882588258367488e-10,1552.2437133000003,5395.704430984937,4041.1874269,0.0,791.0654020284494,1.1170364918160167e-09,4.818925958166584e-12,5.036638462668697e-10,1530.1999969,96.32999797725006,0.0,933.1916904786194,206.43893596133702,4.8172589012272325e-12,1.9701966455084262e-08,2086.8406982,5298.799999982522,2673.4500000000003,0.0,0.0,1.0580310879490078e-09,1.4267372471439934e-09,4.81776685427161e-12,3.463840138020802e-08,4.913085967601023e-10,2289.3577880000003,760.7599960350001,256.749999987358,0.0,1529.8142219448407,1.0289716851233698e-09,4.817147381372116e-12,4.849497423079585e-10,578.3999938809206,0.0,1.3437077008702407e-06,4564.499999960658,1.0214109111556952e-09,4.816980454353952e-12,4.832638047456938e-10,315.20500940788537,0.0,1.2597632042149102e-07,1299.9999999451304,4.818437043620373e-12,41259.475985974896,4.983784480563187e-10,4431.7999767599995,6561.099999990738,8864.7,0.0,189.67346991195672,2553.349831100317,17.999999999995165,4.7021691577206915e-06,194.00000000999515,324.99999999999517,0.0,498.5608803696008,3401.999999999995,4830.55852213611,5111.499999999995,371.00000002999514,4700.411132999995,1280.07883315,0.0,12140.985133084416,6426.954796348623,4.817669649286744e-12,4.817164650325811e-12,1.824212378368728e-08,4309.999999981188,30.271429636500002,0.0,1302.225656765452,7097.323556641363,4.816557608103002e-12,341.30299755295346,23440.4301261,0.0,843.7117424508114,1.0027447173308388e-09,1.3280016963208256e-09,4.816557610139314e-12,9161.5,235.625,348.7249999629548,0.0,3.8221751247855955e-08,11322.694804010576,4.816557608732073e-12,1.2348540523075217e-08,4185.0,10809.499999962954,0.0,3.822161182816746e-08,5065.73078424883,1.7179279377591542e-08,4.829227513744014e-12,22992.144076433415,4.8292275137082384e-12,4.829227513746289e-12,2.1492247055798362e-08,4.829227513751459e-12,5.313772542828433e-09,4.8292275136970715e-12,66666.77280981674,4.829227513698726e-12,6186.88656651681,4.829227513709893e-12,6.378170810217362e-09,4.829227513467322e-12,24654.714232473485,4.8292275137100996e-12,4.829227513716717e-12,1.498017320379426e-08,4.829227513722714e-12,6417.153026675211,4.829227513686732e-12,3.582208893861692e-09,4.829227513749804e-12,4.814886611965792e-12,4.814749559698761e-12,4.815481633053793e-12,4.8149595921750145e-12,4.829195865700454e-12,1.2073095767281386e-09,1.2073094197941622e-09,1.207330242258568e-09,4.816996303735228e-12,4.834287594194947e-10,6.043543143730839,0.0,0.0,1.3542822993853392e-07,18658.65923085047,0.9489999982471741,4.8291980276362466e-12,4.829196878408786e-12,0.42765567760367945,4.815943600598401e-12,4.829187436844783e-12,4.816565203376303e-12,4.8167210421285185e-12,4.816503548631619e-12,4.8164344535242976e-12,4.816479688391163e-12,4.816673541002876e-12,4.830932610319052e-12,4.8309845643856134e-12,4.8310451121730065e-12,4.815943362787077e-12,4.831010782560861e-12,4.8165839734946855e-12,4.816745480276435e-12,4.81651900016942e-12,4.81644758472887e-12,4.816494922994644e-12,4.816696498260095e-12,4.817021010847332e-12,4.8171631838282635e-12,4.817464251779741e-12,4.81739499034501e-12,4.8169964520139705e-12,4.817253182313683e-12,132.3425999754863,4.829243550724477e-12,505.50107997552124,4.829243370257035e-12,3.5897842760533894e-09,156.22274997549397,4.829243041731088e-12,3.592295345963998e-09,185.82113997551298,4.829243337654745e-12,474.7871999755068,4.82924374983719e-12,140.41094997549374,4.829242858280419e-12,78.67994997548166,4.829243479004195e-12,4.817908743593905e-12,4.818881862786508e-12,4.8178935707264285e-12,4.81811320422622e-12,4.817893376404952e-12,4.8181597849653655e-12,4.817939981674553e-12,1329.6921199974927,232.72009029093564,4.8251997235012246e-12,0.0,0.09199999824728766,4.829195872069331e-12,0.0,288.32519999824655,367.6749913996708,4.829195356557966e-12,0.0,4.1359999982461835,4.8291950476709405e-12,0.0,34.22799999824657,14.284841279748731,4.829195713794938e-12,0.0,5.038999998246723,4.829193904831589e-12,0.0,0.6619999982466499,4.829194998602587e-12,138.72299999824673,4.829195520855888e-12,753.6893999982466,4.829195797541185e-12,0.0,0.3999999982463449,4.829197224559677e-12,10.677999998246685,4.829193743029684e-12,29.3117999982465,4.82919592612972e-12,0.8409999982465762,4.829196005958026e-12,81.58199999824667,4.8291960330182056e-12,491.81759999824664,15.814567292477008,4.829195302189038e-12,0.0,4.8291956376070544e-12,151.01749999749282,499.019732482458,4.825199607764388e-12,0.0,18.391999998246636,4.829196256994934e-12,331.9006437649481,4.8159313054990995e-12,2.979999998246818,4.829196365136805e-12,4.829192207566573e-12,19.13999999824676,4.619110576014027,4.829196172740178e-12,4.826969982399477e-12,4.831016029883854e-12,4.831046273577807e-12,4.831005536373587e-12,4.830967723569436e-12,4.830995377896284e-12,4.830942047223546e-12,4.8309933914110825e-12,4.8310124305364586e-12,4.830981918159767e-12,4.830921151816367e-12,4.830956998389868e-12,4.830992383918952e-12,4.8309628098361834e-12,4.831004069499879e-12,4.830996495184233e-12,4.826970107278934e-12,4.830964306481776e-12,4.815931637190253e-12,4.8309807084170136e-12,4.8309859839669245e-12,4.8309461302251e-12
1,1.2088697874616717e-09,1.2088336186717504e-09,1.2088628604964269e-09,4.8170209914557366e-12,4.836663147837796e-10,1.2665219015994185,60.50553126530251,224.75520314709178,358.50255458189355,8673.3523639039,1.2232415764281663e-09,1.2232712712942909e-09,1.2232383412332581e-09,4.817246426933314e-12,4.859211136039264e-10,399.99999998235484,128.36589909498397,45.81431654942621,52.58083044569744,335.84088683360915,10710.432588199506,8173.016248290277,1.2237742238377065e-09,1.2237680014444199e-09,1.2237831603060859e-09,4.817254953639901e-12,106.856495157184,127.48970218735876,1756.543494290837,2498.440885700635,3011.4222399197047,516.5700329575086,1.2178782053649237e-09,1.2179085513681976e-09,1.2178838672011232e-09,4.817163002996242e-12,99.99999998119586,44.854423166217934,608.2293331470329,1555.9093589490114,877.1414771720905,23100.971572709175,4.817008856294495e-12,1.2250228462199675e-09,1.2250170508052428e-09,1.2250435734810462e-09,4.817274378395638e-12,4.862688441101157e-10,193.1435048080178,10.503711682911533,951.4983577415582,778.5208857994824,2727.862711114838,1916.2166584664114,4.81702101106943e-12,4.817246420321452e-12,4.817163170506106e-12,4.817274493825797e-12,4.817254761731104e-12,4.817266706154629e-12,4.861619822939679e-10,1552.2437132826253,5395.704431,4041.1874269,7403.564376837433,1444.660910712435,1.0769169313818547e-09,4.818151601247358e-12,4.953432513113988e-10,1530.1999969,96.32999797454863,328.5931074759625,968.1658176672471,934.8062950045705,4.816889063518007e-12,1.499359551928331e-08,2086.8406982,5298.8,2673.449999975776,5231.241478155679,0.0,1.0103953144158612e-09,1.3414541317927326e-09,4.8167328030674606e-12,1.3618746512936249e-08,4.807829759990797e-10,2289.3577880000003,760.7599960060534,256.75,2510.4994154342517,3184.5098576448922,1.0289715229124311e-09,4.817147377672964e-12,4.84949706173083e-10,578.3999938809206,761.648787537641,1.3433919898320906e-06,4375.740579249909,1.021411705787902e-09,4.816980471423651e-12,4.832639820152636e-10,315.20500940788577,400.66691930670953,1.2598838859513377e-07,1299.9980553463793,4.81843704359473e-12,35650.890929992675,4.983784479400634e-10,4431.799976750737,6561.1,8864.7,6940.414859604714,272.4295779739267,1191.0171672123806,17.99999999590232,4.839800022997993e-12,9.170626603914814e-10,324.9999999990235,12.719965924956314,516.975298339865,2765.4257284488344,4.839805005875687e-12,5111.499999998909,9.172416023568743e-10,4700.411133,1280.078833149024,560.3394534737912,10079.763729327668,4221.472024922067,4.8174939921876444e-12,4.8172852131816005e-12,2.0152035894505758e-08,4309.999999982862,30.271429636500002,320.1492773451022,6820.714040613758,4626.368500586966,4.816557608428291e-12,341.30299755295346,23440.4301261,58.5557053350565,1191.416141095606,1.0073133389165972e-09,1.3360264202691821e-09,4.816662537813901e-12,9161.5,235.62499996827353,348.725,2538.4449357511758,4.6211871082682326e-08,17534.34723588986,4.816557608756475e-12,1.2348540680449703e-08,4185.0,10809.499999962954,610.7164368037903,3.8221618393779027e-08,6785.758629043561,1.717927937903404e-08,4.829227513744014e-12,22992.144076433415,4.8292275137082384e-12,4.829227513746289e-12,2.149224705621002e-08,4.829227513751459e-12,5.313772542978358e-09,4.829227513696451e-12,66666.77280981674,4.829227513698726e-12,6197.651194680608,4.829227513709686e-12,6.37817081031943e-09,4.8292275134679425e-12,24654.714232473485,4.829227513710306e-12,4.82922751371651e-12,1.498017320491065e-08,4.829227513722507e-12,6417.153026675211,4.8292275136869385e-12,3.582208889132707e-09,4.829227513750011e-12,4.814885096110584e-12,4.8147455151838534e-12,4.815479986106588e-12,4.814960439975999e-12,4.829195897465637e-12,1.2081079170139732e-09,1.2081077547424717e-09,1.2081285929011803e-09,4.817009003974979e-12,4.835567104615076e-10,6.043543143987599,1045.439065319479,573.7324468166058,1.4627454861515363e-07,19933.694313159565,0.9489999982471874,4.829198166497331e-12,4.829196913571406e-12,0.8888845820396934,4.8159313718896495e-12,4.829189381717423e-12,4.816540736831689e-12,4.816593291327771e-12,4.816483515838161e-12,4.816418520163303e-12,4.816449704907758e-12,4.816587385218493e-12,4.830115624615111e-12,4.830109673629217e-12,4.830124847263076e-12,4.815929873645323e-12,4.830130679758036e-12,4.81655278805209e-12,4.816606887253165e-12,4.8164922859351996e-12,4.8164270391326496e-12,4.816459569862709e-12,4.816600276810348e-12,4.8170210226396185e-12,4.8171631889656755e-12,4.8172547094135846e-12,4.8172743377523254e-12,4.8170091582179e-12,4.817246290543845e-12,132.3425999754863,4.82924355072427e-12,505.50107997552124,4.829243370256828e-12,3.589784284500849e-09,156.22274997549397,4.829243041730674e-12,3.5922953466185426e-09,185.82113997551298,4.829243337654538e-12,474.7871999755068,4.829243749836983e-12,140.41094997549374,4.829242858279592e-12,78.67994997548166,4.829243479004402e-12,4.817908803160835e-12,4.818882096745445e-12,4.817893620894933e-12,4.818113258190656e-12,4.817893492994612e-12,4.818159746939252e-12,4.8179400536194136e-12,1329.6921199982464,232.7200902916895,4.829195456363097e-12,4.521031295190341,0.09199999824728891,4.829195879547871e-12,0.777040717998991,288.32519999824655,367.6749913996708,4.829195359564767e-12,3.7514424499548817,4.135999998246186,4.829195066485577e-12,1.944945639383937e-09,34.22799999824657,14.284841279748733,4.8291957180902805e-12,2.314671833785616e-10,5.038999998246728,4.829193950544898e-12,5.781329342062443e-11,0.661999998246649,4.829195003116718e-12,138.72299999824673,4.82919552313477e-12,753.6893999982466,4.829195799851707e-12,0.1714943964872955,0.3999999982463625,4.829197336437096e-12,10.677999998246685,4.82919374646724e-12,29.311799998246503,4.8291959307658606e-12,0.840999998246579,4.8291960257377754e-12,81.58199999824667,4.829196041907709e-12,491.81759999824664,15.81456729247701,4.82919530480934e-12,7.866367708712329,4.829195720236607e-12,151.01749999824662,499.0197324832119,4.829195304033031e-12,6.36672046056225,18.39199999824664,4.829196265506416e-12,658.1420569004283,4.81593130677151e-12,2.979999998246829,4.829196439104536e-12,4.829192346618116e-12,19.1399999982468,4.619110576014065,4.829196431713677e-12,4.827067783521417e-12,4.830144680250643e-12,4.830126554031363e-12,4.830136808163626e-12,4.830107900306805e-12,4.8301244341901714e-12,4.830135072398729e-12,4.830132530847213e-12,4.830127986672822e-12,4.830107846790908e-12,4.830063271042234e-12,4.830130899474164e-12,4.8301260576473085e-12,4.8301004389825836e-12,4.830138154850059e-12,4.830105484484881e-12,4.827067878817586e-12,4.830110335747179e-12,4.815931599162279e-12,4.83012834024373e-12,4.830111730181579e-12,4.830096964067554e-12
2,1.2627966716944047e-09,1.2627572040668548e-09,1.2627891424472298e-09,4.817840821032473e-12,4.920738486575586e-10,1.266521910714637,60.50553127443667,0.0,0.0,6292.207342291791,1.312210936205955e-09,1.3122451058718598e-09,1.3122071948139931e-09,4.818533011681537e-12,4.993708438931042e-10,399.9999999910794,128.3658991037192,45.81431655814952,0.0,0.0,10707.976492421714,6659.851159126661,1.2974046976620732e-09,1.2973977080117316e-09,1.2974146163494876e-09,4.8183313613723995e-12,106.85649516504729,127.48970219521708,1756.543494298698,0.0,0.0,724.3347740329879,1.2187025602702177e-09,1.2187329463542437e-09,1.2187082257060955e-09,4.817175891323836e-12,99.99999998139023,44.854423166412985,0.0,0.0,20896.924814976457,19876.739232265874,4.8176231540528445e-12,1.3057031601760809e-09,1.3056965772070096e-09,1.3057266481465513e-09,4.81844519100075e-12,4.984957625672498e-10,193.14350481605402,10.503711690954368,951.4983577496007,0.0,0.0,1910.6498306347103,4.81784084055104e-12,4.818533004774786e-12,4.81717605898921e-12,4.818445306902609e-12,4.8183311707190556e-12,4.818349289440564e-12,4.974414014748692e-10,1552.2437133000003,5395.704431,4041.187426890403,0.0,4288.025633991024,1.0929026528413371e-09,4.8184669290783256e-12,4.986984120094249e-10,1530.1999969,96.32999797584785,0.0,1716.0177083652902,1084.4471598584093,4.8184210905451824e-12,1.455253212176628e-06,2086.8406982,5298.8,2673.4499999906793,0.0,0.0,1.0904400208869588e-09,1.4863058542315482e-09,4.818418954850454e-12,1.2834528481414534e-06,4.981841743078278e-10,2289.3577880000003,760.7599960350001,256.7499999906713,0.0,3293.513746388948,1.029560054207457e-09,4.81716026917445e-12,4.85080391231356e-10,578.3999938811207,0.0,5.296034075164685e-06,2211.4810976076055,1.0297601782849038e-09,4.817164649909326e-12,4.851248191489342e-10,315.2050094111878,0.0,634.0124726766867,777.3232490620195,4.8184370437409345e-12,48586.091260654866,4.983784489787111e-10,4431.7999767599995,6561.1,8864.699999990738,0.0,864.9768311176888,4769.265172015548,17.999999996512543,4.840800436543537e-12,9.544375209988156e-10,324.9999999990626,0.0,242.14419566767893,3208.508692589171,4.839805008420508e-12,5111.499999998909,9.172417067870369e-10,4700.411132999024,1280.07883315,0.0,11777.163591769297,4574.099211458759,4.818439308158201e-12,4.818493409364569e-12,242.99999958811026,4309.999999990942,30.271429636500002,0.0,7378.6272526324055,5200.568254819529,4.816557608702915e-12,341.30299758999996,23440.430126062955,0.0,1871.8847271081922,1.029760548643866e-09,1.3758039278912404e-09,4.817164655734332e-12,9161.499999981188,235.625,348.725,0.0,2212.267349743628,17333.76464955963,4.8165576091043045e-12,1.2348542627902116e-08,4185.0,10809.499999962954,0.0,3.822162738219959e-08,7705.993519907941,1.717927938040454e-08,4.829227513744221e-12,22992.144076433415,4.829227513708032e-12,4.829227513746289e-12,2.1492247054195776e-08,4.829227513751459e-12,5.313772542995299e-09,4.829227513696658e-12,66666.77280981674,4.829227513698726e-12,6196.247048285233,4.829227513709686e-12,6.378170810558293e-09,4.8292275134679425e-12,24654.714232473485,4.829227513710306e-12,4.829227513716717e-12,1.498017320046203e-08,4.829227513722714e-12,6417.153026675211,4.829227513687145e-12,3.5822088904949477e-09,4.829227513749804e-12,4.814882326741326e-12,4.814744981733629e-12,4.815478913319715e-12,4.814960398900898e-12,4.829195895332338e-12,1.2480191789885985e-09,1.2480190172305577e-09,1.248041279331907e-09,4.817623300927448e-12,4.898265758220011e-10,6.0435431518033305,0.0,0.0,2007.8032889077924,15885.483797762205,0.9489999982471866,4.829198167610509e-12,4.829196911162036e-12,0.7126144558782693,4.815933507345116e-12,4.829189762833859e-12,4.8171769369301745e-12,4.817108590377467e-12,4.81651635270425e-12,4.816724218975218e-12,4.816840730540663e-12,4.8171406849842e-12,4.8294633483439325e-12,4.829420528255297e-12,4.829463464557639e-12,4.815932913216851e-12,4.829437684471306e-12,4.817181302586168e-12,4.817117274651208e-12,4.816527955552847e-12,4.816736711499164e-12,4.8168534862813376e-12,4.8171475356839e-12,4.817840849652715e-12,4.81717607618919e-12,4.818331118224313e-12,4.8184451478202676e-12,4.817623453671518e-12,4.8185328724081036e-12,132.3425999754863,4.829243550724063e-12,505.50107997552124,4.829243370256828e-12,3.5897842815864204e-09,156.22274997549397,4.829243041730881e-12,3.5922953461431453e-09,185.82113997551298,4.8292433376543314e-12,474.7871999755068,4.829243749836983e-12,140.41094997549374,4.829242858279385e-12,78.67994997548166,4.829243479004609e-12,4.818661296319216e-12,4.818882527026188e-12,4.818114960617899e-12,4.819650454729185e-12,4.818351400712578e-12,4.819475785330886e-12,4.817941955638721e-12,1329.6921199982464,232.7200902916895,4.829195431355566e-12,0.0,0.09199999824728851,4.829195878423319e-12,0.0,288.32519999824655,367.6749913996708,4.8291953594241465e-12,0.0,4.135999998246186,4.82919506373272e-12,0.0,34.22799999824657,14.284841279748733,4.829195717568123e-12,0.0,5.038999998246727,4.829193943025206e-12,0.0,0.661999998246649,4.829195002760203e-12,138.72299999824673,4.829195523002628e-12,753.6893999982466,4.8291957997547204e-12,0.0,0.3999999982463618,4.829197337331071e-12,10.677999998246685,4.82919374607495e-12,29.311799998246503,4.829195930498681e-12,0.8409999982465786,4.82919602373269e-12,81.58199999824667,4.829196040834442e-12,491.81759999824664,15.81456729247701,4.829195304727656e-12,0.0,4.829195716171015e-12,151.01749999824662,499.0197324832119,4.829195303439942e-12,0.0,18.39199999824664,4.829196264526827e-12,578.1367418838761,4.815931306605454e-12,2.9799999982468277,4.829196431339792e-12,4.829192347074513e-12,19.1399999982468,4.619110576014064,4.829196428441351e-12,4.8270677849702235e-12,4.829462937484977e-12,4.829418393255607e-12,4.829451482076361e-12,4.8294430004490486e-12,4.8294447483770155e-12,4.829515999259702e-12,4.829469501958265e-12,4.829445092640281e-12,4.829424980455475e-12,4.829413942149581e-12,4.829502881417405e-12,4.829448962723477e-12,4.829432047289611e-12,4.82947418331539e-12,4.829420370250565e-12,4.827067886764931e-12,4.829460538233755e-12,4.815931592552692e-12,4.8294581520850736e-12,4.8294162988022426e-12,4.829455885125881e-12
