,0 AC,1 AC,2 AC,3 AC,4 AC,43761 AC,43762 AC,43763 AC,43764 AC,43765 AC,43766 AC,43767 AC,43768 AC,43769 AC,43770 AC,43771 AC,43772 AC,43773 AC,43774 AC,5 AC
0,2050.155688748933,4239.203469693868,1493.4256140679247,4795.678773940126,1376.236426715816,5697.625795749882,5758.050051420273,3530.240356539629,4584.365542522619,2018.922778381371,1308.7536137993682,33852.17783974654,837.2094206129116,23171.69178345532,523.9499494326022,6948.352117309254,9091.534397543002,6543.075449089981,8729.136454846488,2194.2893558284586
1,3238.9824090817096,6475.769815418519,2543.532610847552,6774.8907752767645,2195.056030661734,5267.059580869369,5552.495666214625,3452.3355027329812,3862.2072317579045,1948.8183105108653,1146.519640988524,33452.12778115048,699.9808779507154,18594.96299056643,485.62270417770145,6921.887054369918,9696.388165292445,9876.888855147134,9508.381644826566,3559.638032929678
2,4713.6466525971155,9216.588652758877,3857.9123222752983,9235.631555467486,3158.162141008547,5752.888556839759,5460.189271026507,3623.839922585361,4254.49960661275,2003.0818338122886,1274.9190419344632,32724.67597968402,768.8211947203763,19347.37374700957,512.1108839231722,7393.232337106825,9788.797787733412,10166.147772223638,9875.234589565584,5257.624090309923
3,2045.842762150614,4234.640265495144,1492.0737169420672,4795.349064890862,1381.685928817121,6421.990304874592,4782.497898352664,3236.1472350367744,5217.959957270191,1889.7578220717437,1040.7838045465592,35886.81500217036,613.3095231504035,14308.853666409144,454.1698443274917,6650.5736387268535,11156.46443966837,9770.605728000994,11139.957383891693,2183.593520481434
4,3262.9641369884066,6565.170677901758,2528.7101779144923,6829.912030796896,2183.811329548711,7409.943564743053,5606.406387796418,3792.228943047512,5410.506544454443,2113.1189257330907,1331.6047738430616,39054.76588991475,911.5512640120137,20742.100335256862,501.19546914618667,8896.556384754851,11225.18090738893,11738.623167925462,12629.545880545216,3616.2003212974814
5,2160.1419163887795,4762.980369470501,1760.356411875851,5979.022537282456,1627.9397850687003,7023.681510150409,5022.990300191425,3755.878132424632,4615.0204364936835,2013.3050789125941,1220.697875562897,34755.438565269134,776.354314722282,22820.121296307374,494.26535427283295,6884.737538380088,9957.031753280507,8833.564297799618,10971.13478766826,2394.3433999352624
6,6649.576996459704,14235.945879853867,5549.004668338066,13488.879636123866,4646.444218929156,7573.634378028469,5503.378041199529,4451.209851114834,5348.509077843559,2415.5239057848607,1437.1973203256614,40125.602063711245,902.7466276714567,21709.120672279427,531.0521149700417,8566.519528983416,11749.765864964515,11983.219703477695,12827.24687654266,8252.553705535049
7,3497.3556857497106,7375.719562261727,2903.9932889929723,8337.12831728523,2550.755401799914,7925.2034733898045,6239.639769452621,3986.4659108225233,4929.859039169139,2347.9816157564183,1495.3520802910589,39214.592184511246,824.2070240798726,23909.126473253575,529.6791843086955,8258.717541091177,10919.139451184854,10712.43087384647,11855.99344009811,4039.609371991422
8,5525.1226534609195,11948.401829754328,4631.754900797678,11620.267697957464,3878.095047671879,7829.914319392095,5363.10245682052,4652.651975425782,5503.531546391139,2441.3956067686768,1406.5095139054984,42380.60578383628,816.4928722513537,15267.334001990737,509.7465919049991,8021.381434463536,12153.953069095394,11488.747592697575,12063.809313888718,6825.946488347216
9,5069.088145476649,10549.098241228616,4261.344757704647,10893.391702896837,3612.0333368213223,8372.329562817646,5954.878171338713,4625.059136777575,5568.4606485506,2476.6647814677317,1564.5534376323826,42246.93288290104,961.7840764924683,22820.84117851516,532.8357694226939,8645.438747715985,11651.962605965895,12312.342501095283,12258.071366525164,6038.004272163524
10,2123.2051104644274,4674.177345318632,1724.491343223418,5915.138011961162,1598.7328356430364,6889.467666471188,4714.666845961478,3880.3269656014327,5125.108150353146,1855.8025205905763,1037.2126034888486,35308.050086889125,603.2791853011042,17431.335027437683,470.51738621111826,6124.820400287205,10188.507365240293,8374.0608147953,10147.617372891991,2338.0406777239714
11,4705.590556768426,10309.378737355977,3929.002971062965,10265.197759494416,3329.760162333694,7856.150145983997,5313.666508608131,4273.736330538456,5649.149075163396,2248.4752934381627,1355.1086935406618,37824.58774362661,830.7757133359871,21353.664323632656,520.5172536490461,8122.754295914361,11602.16024890891,11434.646660330065,11685.773568941813,5860.442164777461
12,2366.882167595022,5168.135498706841,1936.1705057520041,6313.9053863037025,1761.3979733136912,5630.854292114939,5994.150878374582,3529.4880445841986,4750.962361822326,2007.5623775834222,1311.332146605917,32532.88442616823,668.506365168227,23381.6147619625,530.4189817309792,7651.135757944062,9840.377534567464,7566.6026958116145,9015.396714650145,2653.716686701895
