,0 battery,0 pumped_hydro,1 battery,1 pumped_hydro,2 battery,2 pumped_hydro,3 battery,3 pumped_hydro,4 battery,4 pumped_hydro,43761 battery,43761 pumped_hydro,43762 battery,43762 pumped_hydro,43763 battery,43763 pumped_hydro,43764 battery,43764 pumped_hydro,43765 battery,43766 battery,43767 battery,43767 pumped_hydro,43768 battery,43769 battery,43769 pumped_hydro,43771 battery,43773 battery,43773 pumped_hydro,43774 battery,5 battery,5 pumped_hydro
0,6553.652572805575,1009.1708458293955,28533.957859779777,12911.999967740985,335.40285926309474,94.58670595070289,18017.75629005617,4129.208944887594,8.014034207234032e-06,1.307484633853058e-05,3.5215429284862765e-06,3.5746964288270455e-06,0.00017151728127216825,0.0001519979212580569,6.907984352614444e-05,6.15038372450763e-05,3.27797538357186e-07,4.280958127653449e-07,2285.130972440123,1223.966330852623,15780.122210980633,4657.532570685865,2.466481995151787e-11,2.4828790884595625e-11,2.4212071282807597e-11,12150.146848681048,3749.9999977793273,7938.599853115811,5967.236475400408,19825.38880719581,1679.9999947143492
1,12744.347711774008,2034.5999999368155,28533.957895606174,12911.999999818649,9354.724463270446,238.79999991787145,20538.782975176735,5567.9999998178755,9802.798141254962,18217.79999988596,10605.449696583306,1799.9999998064661,8099.9999998436815,8369.99999968339,6283.253853484145,23933.99999980817,8022.030237173355,4125.599853379682,4613.22199884538,2533.8341027453457,62594.80675679303,10799.999999784446,2.736558592191093e-07,2.7373706644115425e-07,4.0006482239502e-08,12150.146975603075,3749.999999957538,7938.599855954028,10433.192185617405,19825.38881246582,1679.9999998174167
2,12744.347709928443,2034.599999719904,28533.95777551056,12911.999999627295,9354.72445774769,238.79999968366823,5.770808418910367e-06,5567.999999615954,9802.798131002186,18217.799999664006,10605.449669192225,1799.9999996277782,1.5492772846193055e-05,8369.99999956207,6283.253749771177,23933.99999962342,8022.030224074081,4125.5998532229,4613.2219970161705,2533.834100835147,50126.0498659772,10799.999999612326,5.9020525795450765e-09,5.90168786850449e-09,6.343249626976245e-09,8.135517651634491e-06,3749.999992649563,7938.599855688232,15738.04817195665,19825.388786319687,1679.9999996322324
3,12744.347711820328,2034.59999999448,28533.957895931304,12911.999999994467,9354.724463330187,238.79999999447278,20538.782975279406,5567.999999994466,9802.798141331434,18217.799999994473,10605.449696694806,1799.999999994469,8099.999999994804,8369.999999994461,6283.253853594805,23933.999999994467,8022.030237294807,4125.599853594467,4613.221998894814,2533.8341027948136,62594.806756914135,10799.999999994465,1025.1301772099753,28668.874499999973,24023.99999999997,12150.146975694806,3749.9999999948077,7938.599855994473,15738.04817201502,19825.38881257249,1679.9999999944691
4,12744.347711579925,2034.5999999615078,28533.95789506336,12911.99999996149,9354.724463088642,238.79999996150673,20538.782975053557,5567.999999961498,9802.798141094087,18217.79999996149,10605.449696453114,1799.9999999615063,8099.999999753056,8369.99999996149,6283.253853352971,23933.99999996148,8022.030237053154,4125.5998535615045,4613.221998652921,2533.8341025538043,62594.806756673104,10799.999999961488,0.00014672860199602816,18972.97158964099,16127.093392587642,12150.14697545316,3749.999999752849,7938.59985596149,15738.048171773893,19825.38881232521,1679.999999961506
5,12744.347711819046,2034.5999999879612,28533.957895971394,12911.999999987982,9354.724463323197,238.79999998795986,20538.78297522016,5567.999999987975,9802.798141326779,18217.799999987987,10605.449696692729,1799.9999999879603,8099.999999992728,8369.999999987978,6283.253853592728,23933.99999998799,8022.030237292729,4125.59985358797,4613.221998892728,2533.83410279567,62594.80675691273,10799.999999987982,0.00011738112219761287,11833.373278222965,10297.056414855122,12150.146975692729,3749.9999999927277,7938.5998559879745,15738.048172015666,19825.38881257128,1679.99999998796
6,1116.7398224873766,650.6613473943726,23249.040357251943,8662.39510792381,1384.822370816659,116.09731214231108,1090.9797801192942,822.4183250712161,1762.616227574022,2259.955517715049,6882.131657405996,942.3061159817229,7960.765726269556,8214.512013786027,5124.768357542691,22291.223376774764,3008.570459216588,1810.085030373194,805.4799782684705,2.9602768589262593e-08,62175.57082402701,10321.437413396327,7.823957083546995e-05,7711.955526681526,6533.245616699741,12063.416412747618,1281.7699378471193,1994.242951477644,3.634910171712954e-08,9760.153165766398,835.0637558641303
7,1.647439359173927e-08,4.779764516966284e-08,1.6477387174348177e-08,4.787108646908466e-08,1.647418856606591e-08,4.7699536864359424e-08,1.6477876407817112e-08,4.7962947008838534e-08,1.647542742590731e-08,4.767791547011601e-08,1.647676978469437e-08,4.779514911950266e-08,1.647925969823468e-08,4.7987995255901333e-08,1.6478367075035e-08,4.7295375108051134e-08,1.6477498587231084e-08,4.7968633790992655e-08,1.647762620527898e-08,1221.9072290266379,1.648087582895636e-08,4.791780730573983e-08,2.5250018182212884e-11,2.672688956763928e-11,2.957619177612221e-11,1.6479452597413367e-08,1.6478800912020638e-08,4.790982955197746e-08,3044.991763650512,1.647601566098692e-08,4.7782567629772136e-08
8,1.8039077069793331e-07,4.4499864445644036e-08,1.8115986872862427e-07,4.459292242735429e-08,1.8085526834356184e-07,4.448411191115061e-08,1.8125944682606033e-07,4.459642660046157e-08,1.8087014191583853e-07,4.46454720082689e-08,1.811554712752891e-07,4.452102811723508e-08,1.814011493394852e-07,4.460579335186819e-08,1.8133545711369685e-07,4.471001078959762e-08,1.8117189866213791e-07,4.458843175195141e-08,1.8087546754641363e-07,8.109816645578025e-09,1.8131872394456594e-07,4.459795576003235e-08,1.7949805508194448e-07,1.7938728727844564e-07,2.6428739088745797e-08,1.813835192080945e-07,1.8135332857897727e-07,4.4575040252690733e-08,8.111101938290909e-09,1.81199327307959e-07,4.451662075121224e-08
9,3.6142215250868176e-09,3.910435020433746e-09,3.6229667170073956e-09,3.926682168025599e-09,3.6206278887262647e-09,3.921493390880732e-09,3.6199169678737264e-09,3.9208284132871055e-09,3.6269959109399338e-09,3.953334245315356e-09,3.6237214665087164e-09,3.9249958900145874e-09,3.621010771599197e-09,3.924024187799047e-09,3.6224174201674723e-09,4.0684262276148166e-09,3.624406280500119e-09,3.930400144266894e-09,3.613402321143618e-09,3.581057424802752e-09,4.328159215306754e-09,3.925873827254537e-09,3.6244800386150946e-09,4.0694463442320836e-09,4.150095512922728e-09,3.620239924129564e-09,3.6236139900216964e-09,3.926297769675199e-09,3.6131377724711396e-09,3.624408905495033e-09,3.925036247075966e-09
10,12744.347012784356,4.882952367827069e-07,2.3090705138604107e-06,4.106732499433482e-07,2.0582613298344944e-06,3.783324636885937e-07,3.7307073734831053e-06,4.1256764640880926e-07,1.381410725604629e-06,3.5709902489956444e-07,2.0184712025647124e-06,4.065602989156852e-07,2.8213691086306694e-06,4.0726408778802626e-07,2.3012538329853557e-06,4.1000020503279976e-07,1.8411760016169652e-06,4.64122340133725e-07,4613.22129987313,1343.289203677528,2.4420801844379347e-06,4.081131995416188e-07,512.9670948805446,12617.871201403752,10786.291217168051,3.255931359945948e-06,1.9537773730980354e-06,3.6276870271306316e-07,4252.125928766438,1.945241638273785e-06,3.9644342964592193e-07
