,37222 dsm,41648 dsm,42100 dsm,42102 dsm,42106 dsm,43534 dsm,48623 CH4,48624 CH4,48626 CH4,48627 CH4,48628 CH4,48629 CH4,48631 CH4,48633 CH4,48634 CH4,48637 H2_underground,48679 H2_underground,48681 H2_underground,48701 H2_underground,63763 central_heat_store,63912 central_heat_store,64685 central_heat_store,64932 central_heat_store,65536 central_heat_store,65748 central_heat_store,66048 rural_heat_store,66050 rural_heat_store,66052 rural_heat_store,66053 rural_heat_store,66055 rural_heat_store,66063 rural_heat_store,69893 battery storage,69895 battery storage,69898 battery storage,69900 battery storage,69906 battery storage,69909 battery storage,81398 CH4,81399 CH4,81400 CH4,81401 CH4,81402 CH4,81403 CH4,81404 CH4,81418 H2_overground,81419 H2_overground,81420 H2_overground,81421 H2_overground,81422 H2_overground,81423 H2_overground,81424 H2_overground,81453 central_heat_store,81454 central_heat_store,81455 central_heat_store,81456 central_heat_store,81457 central_heat_store,81458 central_heat_store,81459 central_heat_store,81460 central_heat_store,81461 central_heat_store,81462 central_heat_store,81463 central_heat_store,81464 central_heat_store,81465 central_heat_store,81466 central_heat_store,81467 central_heat_store,81468 central_heat_store,81469 central_heat_store,81470 central_heat_store,81471 central_heat_store,81472 central_heat_store,81473 central_heat_store,81474 central_heat_store
0,-97.92323285604671,-172.05147710345423,68.07632442350302,-1.2875564400315227,508.2377356142415,302.55043021642626,51656178.39109034,3901081.288672947,8299269.911264949,2234126.0335925412,55499342.603700325,22546672.038678873,49400164.66324683,20048916.55289058,1634885.4262814734,2.357205100266338e-06,2.403043248620177e-06,2.3760322358553753e-06,2.3681275461632893e-06,3.824388681398518e-07,4.241988615539681e-07,4.115378994571468e-07,4.0752659090489887e-07,4.216136228203768e-07,4.20676344319471e-07,5.234462882448311e-06,1.1577004890525079e-05,9.405969892008377e-06,5.678182925850962e-06,2.855422938629606e-06,4.842838246870481e-06,66753.18674530272,96056.56035108744,121264.30819653883,201640.67995165993,69229.45137321715,173607.35844181673,3126622.428927011,7788088.119483731,66822356.02467915,39636864.86901631,15022577.930488925,18758638.436789285,2224300.039122772,641.3298270477778,176.80468428705208,278.8615632161775,483.73181694693864,211.42441435061573,464.6625030335674,95.7344784434251,6473.205581762982,2.864126419569032e-07,2.9508283411614953e-07,4.154858052720159e-07,2.8127242543527116e-07,4.18189494950298e-07,2.860410852749428e-07,3.837339438741679e-07,2.920067690573096e-07,4.1856161198713503e-07,2.930645020175293e-07,4.114451224103595e-07,4.134980818635116e-07,2.8282021017286027e-07,23847.535556739873,4.052629262972507e-07,4.036485682698933e-07,1516.0169704663242,5.894120260111543e-06,4.1255770403495363e-07,4.090100135063432e-07,2.937147974114518e-07
1,218.47425815353358,180.73378470784746,482.92468949309495,243.94838133015006,605.9034652562589,366.06202375043597,51650832.80177887,3900008.7880451195,8285977.324735267,2234119.6566885062,55495280.075576566,22546371.52725104,49399656.60442795,20047683.528837495,1634588.555649454,2.432601438049232e-06,2.4639578054923283e-06,2.422322884338378e-06,2.420597109661785e-06,5.629935489734122e-07,6.257527700712952e-07,6.115269014888821e-07,5.946681256625169e-07,6.197686195182268e-07,6.197421317687872e-07,14899.023158804399,20704.014316161512,12318.781076658086,14785.756965189617,16106.076943098451,23425.327691674946,70005.17232888327,99917.04403528008,125523.69357280064,208547.00202068652,72550.51334740098,180214.5854495953,3134988.889060335,7809832.822678366,66780817.435364686,39557311.170495115,15084554.517412316,18778644.57474986,2238698.380802587,1108.2777640113559,308.4097612903054,477.96333657536934,809.7952496965784,381.2362092314092,783.8917080993941,171.5623045180082,6120.810941308699,4.062421936653466e-07,4.181489635262693e-07,6.160155062995276e-07,4.011738708716646e-07,6.123603236790295e-07,4.019714691095005e-07,5.590622206511769e-07,4.1972434275137156e-07,6.213972915023965e-07,4.1898836178273823e-07,6.118286201018666e-07,6.142216481881571e-07,4.0226912402768333e-07,31110.192866289777,5.92811455251785e-07,6.023665695905917e-07,1455.1350700690514,5.87637189725836e-06,6.153001357787316e-07,6.077309516698678e-07,4.1648166223081555e-07
2,-267.6746556277044,-213.34103547699323,-569.07637709536,49.2999788678344,-724.2849556205649,-444.7122676080598,51646768.911266886,3899255.6042669676,8280195.616967301,2234105.4636403373,55492329.088468395,22546738.966940306,49399156.13084022,20046199.813253243,1634494.3801431344,2.4524524062843195e-06,2.4856790181728393e-06,2.4451113506444248e-06,2.444838038697132e-06,6.859397275371572e-07,7.682445910331404e-07,7.548423331955444e-07,7.212105087449523e-07,7.601220230756033e-07,7.616194736997689e-07,14899.023158622256,20704.014316000506,12318.781076337367,14785.756964878285,16106.076942832526,23425.327691495226,67072.5404426287,97744.82179619459,120328.95490817404,199901.05346705185,69458.20419882557,172526.4576014178,3193136.1486390247,7861101.991350794,66719317.4632014,39555013.25531158,15131737.633067796,18810408.93356449,2266500.4160213564,1081.2513985022047,276.7681476667723,477.9633366101607,876.3526224060528,380.44237723098394,802.972251889285,211.49100627671365,6007.323683266491,4.823765290502889e-07,4.970711994803584e-07,7.591473023337665e-07,4.7629172736249554e-07,7.457583604015693e-07,4.730157606885107e-07,6.809565618937953e-07,4.987152865114797e-07,7.657411039302961e-07,5.005042740969384e-07,7.537182523348167e-07,7.564649596343564e-07,4.772202896405082e-07,42153.21760830327,7.215388846496537e-07,7.432001285008916e-07,1387.4746615411098,5.878423818389197e-06,7.600833453949704e-07,7.50753215756413e-07,4.9293184685331e-07
3,165.70469743461643,147.74381506053635,396.74819968569375,188.66438221014627,493.7294517852381,292.69310990568795,51642195.65784625,3898931.8796290746,8273305.704278356,2234054.417344547,55489026.51011461,22547035.624930527,49397939.71821905,20044577.958984375,1634430.6201719833,2.4744031726447145e-06,2.506950017311122e-06,2.4710082057036783e-06,2.47122444208556e-06,7.794537908810796e-07,8.804737497823288e-07,8.681933486035182e-07,8.236999969043557e-07,8.717843635906242e-07,8.742009958258236e-07,14899.023159148544,20704.014316597368,12318.781076782754,14785.756965362352,16106.07694333168,23425.32769209762,70527.59448188978,100555.66951247856,126460.35448477133,209908.10132876475,73068.29073331972,181152.63801532696,3184510.238868243,7902497.23246193,66592217.9343805,39443016.37362785,15129726.805610647,18774461.23986431,2272623.3208029163,1197.9940811795154,341.2177598570682,473.1576059090992,876.3526224061795,436.89369477922355,837.7784054837844,211.49100629007526,5580.310011954688,5.372399172734921e-07,5.526992529289064e-07,8.710185824027054e-07,5.275458839916589e-07,8.481358277020751e-07,5.278303234081778e-07,7.726360176904578e-07,5.56622381248182e-07,8.788196591973411e-07,5.580723420376917e-07,8.656493304131816e-07,8.683812167713722e-07,5.309900100845962e-07,43673.79678238872,8.225381180458234e-07,8.538503958950734e-07,1319.2786862482913,5.881372063712854e-06,8.735089505369645e-07,8.646251959508336e-07,5.47254822495292e-07
4,-211.0794110615498,174.4186690148838,469.62708496553205,15.461096945612042,593.258583568894,359.4189948592602,51637192.31980369,3898437.279141829,8265373.31969979,2233996.2514408478,55486004.97406596,22547413.185135335,49396932.49869999,20042949.37802072,1634330.3690699972,2.422367349944705e-06,2.4613031107197265e-06,2.4279439871472894e-06,2.4285950111257223e-06,8.507272339691643e-07,9.7255487109928e-07,9.628680269876044e-07,9.112606061483473e-07,9.643811195660275e-07,9.681593579839026e-07,14899.023159088172,20704.01431653856,12318.781076722938,14785.75696529825,16106.076943265176,23425.327692024162,68892.83273923649,97164.81821666654,123657.12728551934,205044.61820169387,69298.20869166085,176975.0895653906,3177448.133089137,7863170.545100315,66470161.35880741,39320878.31795061,15074896.766704625,18743117.548845407,2284179.6030619666,1079.070030340023,327.5475784007304,429.89363076799896,781.2649480589992,410.80136802102356,738.3485972508831,196.63005706995202,5138.458153909079,5.774518901702805e-07,5.927531501290109e-07,9.624964210372747e-07,5.654685904563734e-07,9.299708048118556e-07,5.706034546144878e-07,8.459373099035982e-07,5.915703851556466e-07,9.718605972069971e-07,5.996822334566844e-07,9.580688592681274e-07,9.604708670323675e-07,5.713618891728086e-07,39155.66913864238,9.06753575224419e-07,9.439134126560528e-07,1249.2750551898744,5.882644948778434e-06,9.673835346741188e-07,9.59840266308602e-07,5.857029025320187e-07
5,170.70555706586256,159.71254360675812,434.85781394198904,189.52863691231866,513.6833478212357,297.39738847174493,51631973.58038058,3898462.5052851946,8255680.072538176,2233847.00895922,55483227.97136356,22547875.97211478,49395743.244591676,20041374.202300772,1634182.01404957,2.3703358164445503e-06,2.4156525349717725e-06,2.3848735118809066e-06,2.3859600006034647e-06,9.145198071427215e-07,1.0524642917563842e-06,1.044686501379898e-06,9.752990752508487e-07,1.0425955535526893e-06,1.0489373833871872e-06,14899.023159128974,20704.014316588346,12318.781076763475,14785.75696532248,16106.07694332499,23425.327692083145,69853.20614156073,99615.03256044771,125292.99068316874,207854.59599772663,72284.66441485609,179487.2008272354,3301646.270015268,7920126.236507467,66414238.802375235,39390527.555323616,15043871.226436926,18797985.447620574,2336384.6708568283,1017.9401214693249,286.925254358571,407.61711335713443,762.8072154043734,362.45112857674985,715.7315520809765,181.86939130772097,6036.549974412744,6.082152558270298e-07,6.214668760549263e-07,1.0400650840158713e-06,5.893864024632527e-07,9.952129733240347e-07,5.955977475008466e-07,9.06105275695992e-07,6.203545728230382e-07,1.0507044399690833e-06,6.290580494900029e-07,1.0359608359336364e-06,1.038984766788052e-06,6.020689838171856e-07,35451.22514604599,9.796232952493083e-07,1.0206877380738609e-06,1169.316320290753,5.880534898671137e-06,1.0481595472466377e-06,1.04171667705019e-06,6.181658255624014e-07
6,-653.5448082826773,-497.0761759794409,-1369.4661447712015,-732.2602336241159,-1814.9680057110859,-1090.3710577508878,51625752.48309856,3898995.9428980732,8244794.370209716,2233620.506889307,55481020.10749777,22549875.821352594,49396143.390787646,20039916.757669482,1634324.2685389004,2.312784684969319e-06,2.3643809160473275e-06,2.3360002574510964e-06,2.33758925144217e-06,9.652834813213317e-07,1.1202701915690588e-06,1.1165240823052302e-06,1.0395405797150939e-06,1.1089151937317696e-06,1.1196729715615074e-06,2.885102922450507e-06,14606.125613706508,1210.3648565939477,8923.52543097611,9571.339316006066,23425.327691595776,68160.54683421335,96849.1816232176,122725.6816508577,204954.82236801728,70460.81186699591,174356.19124738063,3210333.075174648,7809227.778275214,66218693.464804836,38914850.56658748,14836551.202750806,18619990.423479732,2280281.801544024,756.5641400504559,225.55398734702555,247.8367233620861,483.12444423861365,282.55968647257663,529.795013465406,131.4028874161553,5631.277051824195,6.268598828497018e-07,6.399730084983494e-07,1.1060200001960108e-06,6.080653775185352e-07,1.05208515112842e-06,6.173608522551518e-07,9.5511400407069e-07,6.365988622682997e-07,1.118648243333617e-06,6.48381185781627e-07,1.1045204533609992e-06,1.106456263739639e-06,6.222199853171077e-07,30364.66170382142,1.038659778333285e-06,1.0861750864720908e-06,1097.5686051486114,5.8782247542832865e-06,1.1167747651560098e-06,1.1133862668644828e-06,6.364899209204949e-07
7,255.8319463833792,220.4721348027551,596.6962224099758,286.0491339372978,731.7564545312608,439.1571403723284,51619906.10042282,3898910.562084589,8231237.822229576,2233399.4246203518,55477414.66818618,22550162.822661433,49394621.117474064,20038478.358712524,1634225.8356673324,2.255230458094934e-06,2.313104084961451e-06,2.2871263312138415e-06,2.289211331462466e-06,1.0083602123322263e-06,1.1784233801851937e-06,1.1800534691601286e-06,1.0919127681205745e-06,1.1661517822671294e-06,1.1822533004331084e-06,1.4102361911672392e-07,2.6600187851466475e-07,1.1017380366972287e-07,1.1919416881872222e-07,2.2415626799190372e-07,1.9847666499778357e-07,67288.23770647543,95951.17081166024,120693.99231753738,200539.0891144155,69561.83254399832,173156.01466516728,3158221.6490109256,7699221.514946432,66025025.08031201,38466183.86851031,14616886.693853883,18383582.292294454,2229115.3450205494,677.4552729706735,215.2227635524017,224.75471388832446,473.0518076808558,253.8676381474422,458.1649110793984,126.92924771455164,5191.5874466478135,6.366720594128258e-07,6.503124528899388e-07,1.1646866672328443e-06,6.198130506271382e-07,1.1010868873329287e-06,6.336035489256731e-07,9.96082098002186e-07,6.443928477653342e-07,1.1774960556346038e-06,6.585054468700741e-07,1.1631525984081821e-06,1.1646977003733914e-06,6.340486596569323e-07,24240.205401788953,1.0897610462447032e-06,1.1457824556763453e-06,1022.1234543199502,5.876781961543405e-06,1.1765889023007074e-06,1.176748196161253e-06,6.454416837858639e-07
8,-311.6241720924037,-260.95368214587546,-710.8807378251577,-349.2910716826155,-891.4585007386385,-528.2240663427799,51614541.84692791,3899834.429325,8223116.299130921,2233176.4070487726,55475208.72912864,22552453.087505355,49395266.75345908,20037288.580681693,1634397.2494267249,2.1996181293509106e-06,2.26381020149765e-06,2.240284722506347e-06,2.2428579924092806e-06,1.0437276387325212e-06,1.2277870700198564e-06,1.2357544751629389e-06,1.1403158018108688e-06,1.2177276041161434e-06,1.2380779919675703e-06,1.2375094131324062e-07,1.5191038752352466e-07,9.741767233373337e-08,1.0375576902175575e-07,1.7701143545771907e-07,1.5087972940926446e-07,67827.87054135054,96813.11715029927,121666.672518441,202295.43564739326,70182.95570295422,174795.37743164363,3064976.0199573124,7567484.232660175,65835491.38092993,37947009.119163446,14383118.97418509,18135732.484043244,2171017.8311673626,294.39244609273527,83.80704996480878,96.83678208279697,204.25413571647644,99.49418416930854,198.01602924465126,43.23858878076635,4730.8088445302255,6.371921425063877e-07,6.525209106510057e-07,1.216603193167137e-06,6.267483989585185e-07,1.1441155078240235e-06,6.441740245528545e-07,1.0295608646659557e-06,6.425966590137798e-07,1.2283160450692748e-06,6.600201292759423e-07,1.21473909465476e-06,1.2158528156680677e-06,6.394203341865976e-07,15781.655039641759,1.133684689736715e-06,1.202029830209869e-06,945.1032446855326,5.876350216755914e-06,1.2278580796829582e-06,1.233206898873583e-06,6.460692098057266e-07
9,-453.79251524565296,-359.6474789404768,-985.7211966228996,-510.34079590615755,-1271.6213251220552,-773.0896166416994,51608856.62778061,3899396.7154796286,8210645.696121586,2233043.8378421953,55471341.94882503,22551860.790183853,49393702.16367654,20036096.461498093,1634279.3655831055,2.1440108966932006e-06,2.2145248244199826e-06,2.1934486481988303e-06,2.1964979596055065e-06,1.0724444667663084e-06,1.2719224207052024e-06,1.2853733383074925e-06,1.181602221486059e-06,1.263365961850821e-06,1.2880178531426891e-06,9.330538366789497e-09,8.130017537643062e-09,1.0328261866946327e-08,9.733224297029378e-09,9.246636077789845e-09,8.703719801256808e-09,67762.47926542416,96754.40379967187,121599.63112864051,202203.409574831,70101.31101498095,174649.75354106296,3000881.410534574,7423187.649175422,65745467.76882205,37734542.02584022,14283333.112612028,17940956.60960079,2148257.1473545954,1.9287445685639348e-08,2.0210172042746665e-08,1.8871981903839896e-08,1.8464754411610322e-08,1.831309163915121e-08,1.769372109399381e-08,1.517881507414439e-08,4239.156110883283,6.303332189438104e-07,6.467369236408502e-07,1.2630319339931471e-06,6.259419216044361e-07,1.1814140488508162e-06,6.457611766186614e-07,1.0565358410261029e-06,6.384683031073011e-07,1.2733835848566808e-06,6.530069846322011e-07,1.2611749331326635e-06,1.260894664080448e-06,6.360337635068951e-07,1.1658694779242225e-07,1.1708751308050526e-06,1.251067117279364e-06,866.0583478057958,5.875765701552748e-06,1.273333952437521e-06,1.2837294096848138e-06,6.382371708397875e-07
