,0 solar,0 solar_rooftop,0 wind_offshore,0 wind_onshore,1 solar,1 solar_rooftop,1 wind_onshore,2 solar,2 solar_rooftop,2 wind_offshore,2 wind_onshore,3 solar,3 solar_rooftop,3 wind_offshore,3 wind_onshore,4 solar,4 solar_rooftop,4 wind_onshore,43761 solar,43761 wind_onshore,43762 solar,43762 wind_offshore,43762 wind_onshore,43763 solar,43763 wind_onshore,43764 solar,43764 wind_onshore,43765 solar,43765 wind_offshore,43765 wind_onshore,43766 solar,43766 wind_offshore,43766 wind_onshore,43767 solar,43767 wind_offshore,43767 wind_onshore,43768 solar,43768 wind_onshore,43769 solar,43769 wind_offshore,43769 wind_onshore,43771 solar,43771 wind_offshore,43771 wind_onshore,43772 solar,43772 wind_onshore,43773 solar,43773 wind_offshore,43773 wind_onshore,43774 solar,43774 wind_offshore,43774 wind_onshore,5 solar,5 solar_rooftop,5 wind_onshore,51723 solar_thermal_collector,81425 solar_thermal_collector,81426 solar_thermal_collector,81427 solar_thermal_collector,81430 solar_thermal_collector,81431 solar_thermal_collector,81432 solar_thermal_collector,81433 solar_thermal_collector,81434 solar_thermal_collector,81435 solar_thermal_collector,81436 solar_thermal_collector,81437 solar_thermal_collector,81439 solar_thermal_collector,81440 solar_thermal_collector,81441 solar_thermal_collector,81442 solar_thermal_collector,81444 solar_thermal_collector,81445 solar_thermal_collector,81446 solar_thermal_collector,81447 solar_thermal_collector,81449 solar_thermal_collector,81452 solar_thermal_collector
30,0.028438724352579912,0.025805602584668394,0.5776891886549552,0.10728307343526036,0.019288799509860635,0.019267925846554124,0.9072736515245832,0.03766827890000497,0.03118692506697583,0.0013194712015570042,0.025306722009817106,0.006096713871910062,0.004481397855846355,0.6739146924996816,0.5259951964577603,0.01720460214218664,0.019210654582235347,0.16406199023511375,0.1023398157450431,0.23936629494029046,0.018508862070829045,1.0,0.9078471305512944,0.2117937166730548,0.28513602221049933,0.023259407426157692,0.11455628378779009,0.03386462779943072,0.5224720688555828,0.1891961029605678,0.04841507831850085,0.0,0.062014891730164404,0.13680264175224643,0.9915627944116594,0.5365026560993986,0.03296256525103679,0.32698476961988965,0.035449575294200585,0.9272878605607786,0.6132209876812729,0.0,0.9453346231137176,0.6690957489852088,0.0894061006766932,0.05709616428625072,0.06598287650372976,0.10756666534480243,0.07421730240657885,0.1458314816116256,0.3374395170595644,0.09198615420353418,0.01192690209054307,0.010263770425344512,0.831801523491669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.955313062267606,0.6382340408188324,0.0,0.0,0.7288140834783767,0.0,0.0,0.5394728660983756,0.5714356427137062,0.0,0.0,0.9331370290989727,0.5835862507405671,0.0,0.0,0.7180640843830891,0.0,0.37152297872883583,0.0,1.0,0.8340539231771009,0.0,0.10984351327299727,0.0,0.39418381945101855,0.0,0.6931380183958384,0.36990829128957087,0.0,0.35278917273540106,0.492767963548436,0.0,0.9878000774739226,0.4640870001911843,0.0,0.4702461907842072,0.0,0.8326285694266057,0.36436619842050855,0.0,0.9785047579925983,0.6315445744774395,0.0,0.05261936052563952,0.0,0.06926703021662549,0.0595712605251371,0.0,0.211130848857582,0.07282449480138396,0.0,0.0,0.7472227897884278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.28825160724695414,0.42669430874491315,0.0013050376413558953,0.0007360021551679148,0.6706450914195116,0.0,0.0,0.3644679667486291,0.39816198678337983,0.0,0.0,0.3474983112019632,0.9439600908845578,0.0,0.0,0.8781340945624871,0.0184325387079192,0.506964389584588,0.0,1.0,0.92248638299507,0.02612538432651211,0.028002302394577485,0.0,0.5556700477373393,0.0,0.1143372287416161,0.11598094700377548,0.0,0.16975254362699527,0.18064328169306737,0.0,0.983971821938195,0.3669182551508242,0.0,0.7905235390839757,0.0,0.9152162937477639,0.750770596138411,0.0,0.5998581905464331,0.9844262530566088,0.0,0.07872187062234959,0.0,0.36752375632032847,0.2112104053669623,0.0,0.21938567040074786,0.04878611125517317,0.004741365254260318,0.0033703229925748806,0.6865828215429752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.9953542457393549,0.7687185204663838,0.0,0.0,0.5809821707916571,0.0,0.0,0.02949489832508352,0.7127317841681273,0.0,0.0,0.9981544468772623,0.9258070137229867,0.0,0.0,0.8598628195096573,0.0,0.28642313093467864,0.0,1.0,0.9573149827679209,0.0,0.01964718329013935,0.0,0.5198524374646151,0.0,0.8974002357937039,0.42394352013915576,0.0,0.14472712789636774,0.3341524180322954,0.0,0.9882789464958055,0.44268768521949786,0.0,0.6674049793130794,0.0,0.9987287362243442,0.8443261436345337,0.0,1.0,0.9315155642833323,0.0,0.25789732056496545,0.0,0.13130550191287949,0.18687290829450393,0.0,0.2421814668319638,0.09234420050060688,0.0,0.0,0.4335943599713636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.9447329932476736,0.8372590736144899,0.0,0.0,0.6948225122045314,0.0,0.0,0.9243355509551183,0.8544522155812495,0.0,0.0,0.9582019750869835,0.8060157547080379,0.0,0.0,0.7759199910264967,0.0,0.4680523012625906,0.0,1.0,0.5812396682289419,0.0,0.14315689892692324,0.0,0.6757942537643622,0.0,0.7002889436295865,0.426844348962628,0.0,0.37445087205556027,0.5770105365445664,0.0,0.9541449578922785,0.2833243592140494,0.0,0.9980531074359758,0.0,0.9994960032978677,0.9784629391612265,0.0,0.9742316812593191,0.6571228044692693,0.0,0.3282823344424343,0.0,0.6760983254580286,0.4275385584846218,0.0,0.5230599484613062,0.16786633479146396,0.0,0.0,0.8682355335151448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.025202928936090243,0.029790673084254062,0.9998018645903036,0.7239626563184225,0.1183737972242337,0.12244351591940533,0.32654460487471265,0.10275819915444749,0.10734532932179516,0.46459153559084315,0.44694852715383854,0.01676810586289653,0.015140013142682708,1.0,0.8954550468149369,0.10006963734570574,0.10847289588054358,0.6465542405364667,0.28829845531037884,0.5418472906417867,0.0703918498451751,1.0,0.811610565755086,0.3312595438805685,0.0,0.14927015087844417,0.47643661251148867,0.017366041873883797,0.9437740566073965,0.7079934986965828,0.029407935027422463,0.2628979286898313,0.38401446545250983,0.29701942113451213,0.9793488089051556,0.31311859206608084,0.0,0.9968926197309775,0.045776053031032764,1.0000000000000002,0.9932151105053318,0.01780473714350336,1.0,0.9691499259069899,0.0,0.39937404283973055,0.03752780928479803,0.17398754296679667,0.5369324283534197,0.018243333022901622,0.2180208773946985,0.30383406588425754,0.22505815366527857,0.19451806456230297,0.2366831931582463,0.0,0.004194197084491679,0.0054963848018140145,0.0031269532649905057,0.0035819822698223945,0.0005539781040346422,0.00023123526455133393,0.0,0.0,0.0011576191995069489,0.0046213831713372575,0.0026304155251339716,8.58071255938117e-25,0.00031468871550800547,0.00017551160508192916,3.596151107060427e-13,3.655747872487616e-12,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.9999999999998658,0.9365052235649256,0.0,0.0,0.34516692977765245,0.0,0.0,0.9987912955093131,0.5913603528062175,0.0,0.0,1.0,0.8698368494328401,0.0,0.0,0.7294017433712433,0.0,0.10608505221351398,0.0,1.0,0.7889071872783285,0.0,0.0,0.0,0.20951528809842487,0.0,1.0000000000000007,0.9749812223441437,0.0,0.9999999999999998,0.9903559253849388,0.0,0.9649516723161344,0.3070034854557589,0.0,0.886793559255717,0.0,1.0000000000000002,0.9653251696326813,0.0,1.0,0.9445438876182459,0.0,0.44532475512197184,0.0,0.5366373616635183,0.10591400776239603,0.0,0.8771255601549932,0.6899122485728119,0.0,0.0,0.20504521434539102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.058988982968997704,0.06174284780634629,0.9998833023509281,0.7593648633313167,0.24497268314952436,0.25621271683653113,0.07868629447023502,0.2379819099634814,0.24810608193638187,0.9965345212643328,0.45060995900014433,0.06298124707774476,0.07984635706626136,1.0,0.7032846299497797,0.2693965514067031,0.2687298561708376,0.3950645977088851,0.36790938662805384,0.0,0.09579989590995631,1.0,0.5099497847745952,0.36529174297057593,0.0,0.20946930411376802,0.05128113591769034,0.03738949572450225,1.0000000000000007,0.9888705365066329,0.09180254803511087,0.9999999999999998,0.9851975421588608,0.27168692471191985,0.9301571837995878,0.2384048624549312,0.08074649089388623,0.8534507955656925,0.0209857105582217,0.9999216411580059,0.984866947403145,0.032104659362513784,1.0,0.784985798078313,0.011253375533167026,0.3891330948378061,0.06421386151965348,1.0,0.2714136912287705,0.0,0.9995552509511072,0.4877386898272468,0.3858921025596236,0.3824722246425578,0.02553697935289532,0.0,0.03690696484353317,0.06285012340473237,0.026178565968824802,0.055428460003612706,0.044840764874492615,0.019763898845276406,0.0723242191690493,0.0,0.032386998723309635,0.052382997751229024,0.11543848551183535,0.07659815925944492,0.003625621664095655,0.03410127635534352,0.012731097018977197,0.024501694876782554,0.018136173984807023,0.0020641393015798344,0.008853097936377969,0.07415892600509955,0.010386905083909714
38,0.0,0.0,0.9999864930618283,0.841963764474788,0.0,0.0,0.11194172287901649,0.0,0.0,0.998437163492649,0.5728055200340183,0.0,0.0,1.0,0.7437277045307699,0.0,0.0,0.28367620868494564,0.0,0.0,0.0,1.0,0.6326252093409638,0.0,0.02122083740485707,0.0,0.01300775576871087,0.0,1.0000000000000007,0.9941818450365528,0.0,0.9999999999999998,0.9927945708496527,0.0,0.9570744249893707,0.2508830017251706,0.0,0.908636879993565,0.0,0.992120064699314,0.6488126707140961,0.0,1.0,0.8473404809591061,0.0,0.40673600496469586,0.0,1.0,0.3434179746298591,0.0,0.9997230923607544,0.5315928260910476,0.0,0.0,0.03467216444752918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.32561269069925314,0.46801646603898384,0.0,0.0,0.12662367157519963,0.0,0.0,0.9961988557463365,0.38771451253744466,0.0,0.0,0.2917213004123274,0.34507675107061764,0.0,0.0,0.19302795050079988,0.0,0.0,0.0,0.32546282511243674,0.21501958862911347,0.0,0.0,0.0,0.016344787621846824,0.0,0.9528468691937069,0.6583603937148044,0.0,0.9999657907879027,0.9077695386853402,0.0,0.835265361936384,0.2696588601470505,0.0,0.3028967982742969,0.0,0.4294316022365204,0.280171791813993,0.0,0.24260107404661974,0.24425800487646382,0.0,0.3503016034462449,0.0,1.0,0.3183659055237006,0.0,0.9109734842668138,0.399400096509086,0.0,0.0,0.06451709068113211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
