,0 battery,0 pumped_hydro,1 battery,1 pumped_hydro,2 battery,2 pumped_hydro,3 battery,3 pumped_hydro,4 battery,4 pumped_hydro,43761 battery,43761 pumped_hydro,43762 battery,43762 pumped_hydro,43763 battery,43763 pumped_hydro,43764 battery,43764 pumped_hydro,43765 battery,43767 battery,43767 pumped_hydro,43771 battery,43773 battery,43773 pumped_hydro,5 battery,5 pumped_hydro
0,577.8300348207752,92.24897306867811,1209.296143395641,547.2227813817466,200.75614373273487,5.124743899327831,1486.3445919818628,402.94338267815596,811.4745211342827,1508.067422992154,197.74911579024982,33.56278315413695,409.3125048314851,422.95625499253464,137.13548181032147,522.3727543281881,323.47112974693334,166.35594806445602,102.3177041353902,1764.7116316782751,304.4803013153861,684.7395077262735,79.03650034398902,167.31710673320936,477.0679331251021,40.42665368265864
1,1245.7883219544813,198.88667330506289,-1402860328873946.2,-634813180583636.8,676.7093140474193,17.274499620792202,2507.0657028923238,679.6576920112674,1542.031598359124,2865.755557499623,1281.583699503717,217.51559104792057,343562739728662.2,355014831052950.94,1155.0222774661545,4399.679502529743,1131.458396357531,581.8906755876584,634.655580734924,2134.84124087809,368.34182572078066,1002.861614853825,244.9252509694871,518.4969498872358,5823.5982189443575,493.4907002489192
2,737.7226565942095,117.77538961162027,1080.7348314682486,489.04705736641137,262.243781436829,6.694351635107205,1419.2672564815482,384.7589262517393,613.4041258866616,1139.9677442559835,181.89411904820423,30.871808706861774,280.7671966606022,290.1261032159557,66.73120077312905,254.19067835194724,271.5019714339341,139.62905405065493,203.81918411834798,1469.2875170420582,253.50833409674115,460.39968876751504,107.4079395252136,227.3783075328313,606.1781307836895,51.36742937775152
3,557.0220281526043,88.92703213263738,705.5392869261713,319.2660235248256,161.90704645679574,4.133034900751371,1150.6684622423943,311.94263094723874,353.07247179134475,656.1599641102378,203.93639283452083,34.61291294572451,254.785771141499,263.278630179549,76.51619859737443,291.46342641882774,250.2578387256172,128.70354165557947,164.1029902968896,1722.184407046379,297.1427273244942,553.8363205181597,96.84349579337525,205.01380313595345,248.93388650238802,21.0946142483052
4,281.888023216976,45.00264627156552,737.1554487561442,333.57276228993294,118.44675501620426,3.023614988204684,922.7223948118753,250.1471630765169,291.92948343726573,542.530088519952,246.89596833032616,41.904186593131534,296.3589477441609,306.2375793356329,64.60610601630802,246.09582509679615,259.9728524974838,133.69981544280282,116.52957015388834,1789.9259479702387,308.8307359610383,656.3337068393851,113.09140042894204,239.40996670934337,335.3399497699245,28.4166490220878
5,131.63479094389362,21.0151317046902,506.4280734602843,229.16551949845172,88.64214461572638,2.262786490098869,676.786916920978,183.47482214258073,167.5522169364045,311.3838246685904,237.69280777237068,40.34218880161173,315.7450419848751,326.2698767177043,68.07661323972788,259.3155869941672,248.23470970952152,127.66307926317796,107.74789426766327,1643.1185636365497,283.5008430681497,599.2577946880153,98.81002921617336,209.17687565516525,198.2387649696329,16.798718466377732
6,1250.6215030095443,199.6582773445152,340819597298.3427,154225455031.4794,1998.5629431313907,51.017732557517796,2647.591797293023,717.7538778741069,3690.0460431965803,6857.686941676622,833.409204118098,141.44959528489963,-37653029489.638115,-38908130472.62605,815.0790719787186,3104.77707303859,1305.6268827711208,671.4626992268367,300.7280141953336,3048.7820313132247,526.0315934203708,1353.6147043583924,197.6370654421262,418.3897544691001,3227.8449671430767,273.5270211376521
7,143.2645438445018,22.8717897139201,779.3503369670491,352.66651712655033,63.24975777511424,1.6145897418885635,996.6606914102007,270.19160465588493,186.37611577247083,346.3666958112248,279.8045121620599,47.48955832098504,468.54240116504167,484.1604812038763,107.82706002000333,410.73190971587513,204.10525587368417,104.9680179259553,169.01673477875514,2062.6912075685686,355.8931834113819,948.1703354421019,98.12404579685071,207.72467622213773,247.15558449852216,20.943921245775073
8,342.12438543956034,54.619215542060175,1242.7878674333904,562.3782372899616,209.58953400217914,5.350235692764462,951.3656420511561,257.9122580590291,406.55298447062677,755.5496760925781,270.6849354824582,45.941746724802485,252.41419614492716,260.82800268309137,89.93134413278975,342.56403459506237,268.4781526691559,138.07395317416152,128.65105417593955,1866.3286193908773,322.0131211155651,366.57264272609183,111.0825649288462,235.15734238619976,571.2358722466138,48.40642846638267
9,651.8145971359623,104.06040460603067,1158.8144660236605,524.3791429138835,301.40389428480484,7.693999992976764,1327.3550854249224,359.8418233708603,526.4138212923053,978.3024780544773,294.00821306147515,49.900268130574986,244.72873496227916,252.8863594610218,88.07904227015884,335.5082966266199,281.3387249875817,144.6879366302956,123.70892275295513,1870.6910224257188,322.76580261132,390.49031534813076,120.47398878715366,255.03861067665167,519.4448858295756,44.01766928475091
