,0,1,2,3,4,43761,43762,43763,43764,43765,43767,43770,43771,43773,5
0,97197.6937798379,52557.658294994246,46628.62863776377,26322.879365110995,-2.012276783575241e+21,21593.89137748089,-7.62250856724469e+20,51342.48693272902,10219.358546152045,10645.838508880135,42816.95541109164,-523.9499494326022,19793.526823780594,14219.008515278358,98663.14149906546
1,42678.80732799345,52324.52917528489,80282.33726273371,52450.83332701488,9.800701960892791e+19,52877.9270615417,3.5430722608011612e+19,25780.71856057644,13307.434057609758,4991.35289865043,35089.9431760299,-485.62270417770145,688.3200085033866,11693.385070900467,25421.979597305082
2,40068.047722983996,44288.487574537656,23907.04942681891,16854.51754672035,3.461722285475032e+16,8844.18464050641,1.3021122358461428e+16,14522.283673606993,31110.494015689263,832.5424529793,17463.579442543523,-512.1108839231722,9372.05791333489,9759.100010447333,12683.337113911603
3,5724.8326102438805,24404.384716209086,3381.744907388648,16451.837098564283,6196.126911313179,-181.42294023703263,1350.6829557520998,-554.931920400226,2295.309423317179,1149.3624414692567,1416.345775596005,-454.1698443274917,5497.787527833581,839.3258189859282,2216.2853246044283
4,1313.0704905069651,11788.88299031752,992.2182320658833,6104.989501911111,2724.71872210419,-338.0778626073005,1978.6865535137058,-1760.056345739616,694.2256281297168,-42.49632151809278,-662.5216339680882,-501.19546914618667,4863.294983546902,3402.318467651548,4596.415234940958
