name,bus0,bus1,carrier,x,r,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,lifetime,capital_cost,length,num_parallel,geom,v_nom,x_pu_eff,r_pu_eff,s_nom_opt,country
0,0,1,AC,40.068797867714174,4.464005131785238,4.586368640596622e-06,3580.0000000755663,True,3580.0,10741.486288219148,1.0,40.0,6.458313507266549,318.5751197431371,2.0,,380.0,0.00027748474977641396,3.091416296250165e-05,3580.0000000755663,DE
1,0,2,AC,17.161414570633454,1.9119278439363854,5.6833458083386315e-06,7160.000000056485,True,7160.0,21482.972576438297,0.9999999999999998,40.0,8.70525594353611,273.2622443699793,4.0,,380.0,0.00011884636129247545,1.3240497534185494e-05,7160.000000056485,DE
10,3,43765,AC,26.539289593164874,3.544923361307326,6.444041627586897e-06,8130.337664729724,True,4900.0,16021.486288219148,1.0,40.0,4.973032904909747,291.74300309481066,5.0,,380.0,0.00018379009413549083,2.454933075697594e-05,8130.337664729724,DK
11,3,5,AC,11.121515155211416,1.5637682969131512,0.0002051040291619325,16021.242049418208,True,11060.0,43248.61584467183,1.0,40.0,22.380879635133322,256.3905047667579,13.0,,380.0,7.701880301392947e-05,1.0829420338733734e-05,16021.242049418208,DE
12,4,43763,AC,5.363290849947102,0.66376404486954,7.209332909014765e-05,24110.00000013602,True,24110.0,85701.48628821915,1.0,40.0,2.7040389036160803,275.60526641628616,19.0,,380.0,3.7141903392985475e-05,4.59670391183892e-06,24110.00000013602,CH
13,4,43767,AC,17.548564300481424,2.1320986939810225,1.1034852642987507e-05,13340.000000137183,True,13340.0,39042.9725764383,1.0,40.0,3.070053870596004,478.99220626502904,10.0,,380.0,0.00012152745360444199,1.4765226412610958e-05,13340.000000137183,FR
14,4,43770,AC,19.935540784766037,6.916795890234597,0.00011693096839382759,4160.000000047526,True,4160.0,16640.0,1.0,40.0,9.028572061542192,170.51456001207066,7.0,,380.0,0.00013805776166735483,4.7900248547331004e-05,4160.000000047526,LU
15,43761,43763,AC,24.72110883745015,3.0147693704207494,0.006970786497496677,6792.410446968222,True,6792.41044696211,27169.64178784844,0.7,40.0,83.93568337394274,401.96924938943334,4.0,,380.0,0.0001711988146637822,2.087790422729051e-05,6792.410446968222,ATCH
16,43761,43764,AC,23.388620832508927,2.852270833232796,0.0029392608451278613,4534.545478452744,True,4534.545478442849,18138.181913771397,0.7,40.0,53.0060672750204,253.88634194242064,2.6703601108033244,,380.0,0.0001619710583968762,1.9752568097180026e-05,4534.545478452744,ATCZ
17,43762,43767,AC,16.73343469610499,2.0406627678176816,0.013121319378232825,11326.955925410599,True,11326.955925404958,45307.82370161983,0.7,40.0,94.71148709064656,453.73185086841903,6.670360110803324,,380.0,0.00011588251174587942,1.4132013627546272e-05,11326.955925410599,BEFR
18,43762,43770,AC,55.6863589569283,6.791019384991257,0.0004410207288890439,1934.337495813925,True,1138.340254961794,4553.361019847176,0.7,40.0,31.681257503981374,151.7476169130087,0.6703601108033241,,380.0,0.0003856396049648774,4.702922011766798e-05,1934.337495813925,BELU
19,43762,43771,AC,11.604163221360361,1.4151418562634586,0.0032721082549365824,10064.254638691309,True,6792.41044696211,27169.64178784844,0.7,40.0,39.40004660447034,188.68558083512778,4.0,,380.0,8.036124114515485e-05,9.800151359165225e-06,10064.254638691309,BENL
2,0,43764,AC,33.6612670249648,3.75015131922075,0.00013647832007183808,3580.0000000351124,True,3580.0,14320.0,1.0,40.0,14.41457036491135,268.5861709470134,2.0,,380.0,0.00023311126748590583,2.5970577002913782e-05,3580.0000000351124,CZ
20,43763,43767,AC,11.804084341879111,1.4395224807169649,0.01335083194961321,13603.636435335256,True,13603.636435328544,54414.54574131418,0.7,40.0,80.27340858838669,384.404341111123,8.011080332409971,,380.0,8.174573643960603e-05,9.968992248732443e-06,13603.636435335256,CHFR
21,43764,43773,AC,27.198592381393265,3.3169015099260077,0.003418062065382866,4857.957750332822,True,4534.545478442849,18138.181913771397,0.7,40.0,61.65036200030296,295.2440494523243,2.6703601108033244,,380.0,0.00018835590291823591,2.29702320631995e-05,4857.957750332822,CZPL
22,43766,43774,AC,84.89960440523089,10.353610293320841,0.005984935990555629,3396.2052234937255,True,3396.205223481055,13584.82089392422,0.7,40.0,144.1083732111258,690.2406862213894,2.0,,380.0,0.0005879473989281917,7.170090230831607e-05,3396.2052234937255,DKSE
23,43772,43774,AC,23.453655422654965,2.860201880811581,0.0077681691243056995,7361.5805744491845,True,7361.580574443006,29446.322297772025,0.7,40.0,86.30025539429474,413.3163382705563,4.335180055401662,,380.0,0.00016242143644497898,1.980749224938768e-05,7361.5805744491845,NOSE
24,43773,5,AC,19.026533277100985,2.137829154944123,0.0026997858222731603,7420.000000014707,True,7420.0,26101.48628821915,1.0,40.0,33.050688462339274,306.3021852139188,5.0,,380.0,0.00013176269582479907,1.480491104531941e-05,7420.000000014707,PL
3,0,5,AC,3.4267360864400653,0.38609937511621717,0.004576743142371973,22520.000000052252,True,22520.0,89041.26791550084,0.9999999999999999,39.99999999999999,25.161747102443503,166.51172741776267,14.0,,380.0,2.3730859324377184e-05,2.673818387231421e-06,22520.000000052252,DE
4,1,3,AC,6.000614649157569,0.7234582416467902,0.005995482066154188,27346.47440795689,True,20270.0,70809.0082947078,1.0,40.0,35.47436309731202,243.8196934373865,23.0,,380.0,4.155550311050948e-05,5.010098626362813e-06,27346.47440795689,DE
