name,bus0,bus1,carrier,x,r,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,lifetime,capital_cost,length,num_parallel,geom,v_nom
22176,30335,27708,AC,2.4988275599999996,0.7224895159999999,1.3890395270083103e-07,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.040809639667760925,0.5537858903722059,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x000002241BBECE50>,380.0
20283,30335,30332,AC,47.134326,13.628009919999998,2.6200900914127425e-06,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.7712040102370814,10.465221034655373,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x00000224157F5A90>,380.0
26156,30342,30303,AC,0.767136552,0.22180273199999997,1.7057373351800555e-07,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.02510757977705436,0.34070929160669344,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x0000022418CF1210>,380.0
21164,30342,30304,AC,1.3613902039999999,0.39362140399999995,7.567653058171746e-08,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.022231970271540846,0.301687335438048,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x0000022418CF0ED0>,380.0
21082,30350,27966,AC,10.57182724,3.0566447599999997,5.876637836565097e-07,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.17283310667844393,2.3453413616716676,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x0000022413DA7410>,380.0
26159,30350,30158,AC,0.483091644,0.13967710919999998,2.6853966572022164e-08,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.007892941465166442,0.10710703776186324,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x000002241B8D7D50>,380.0
26160,30350,30159,AC,1.0947570479999997,0.31652913199999994,6.085505288088643e-08,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.017921458820057426,0.24319379220774318,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x00000224157E8190>,380.0
26161,30357,23649,AC,35.1618332,10.166380919999998,7.818253443213297e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,1.1500984130047558,15.606809539282672,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x0000022418CB1310>,380.0
26153,30357,30338,AC,25.1562128,7.273456879999999,1.3983777271468145e-06,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.41181159820064084,5.58827410464258,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x000002241BBFBF10>,380.0
25865,30376,27353,AC,24.5131996,7.087556319999999,1.3626370588642659e-06,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.4011620994935094,5.4437606472447815,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x000002240DF65310>,380.0
20921,30376,29623,AC,7.240374839999999,2.09342456,4.024764259695291e-07,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.11847525252999389,1.6077065061965146,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x0000022418CBF450>,380.0
26165,30403,29361,AC,2.0298308,0.5868863639999999,4.513331590720222e-07,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.06642851938924352,0.9014335106992123,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x0000022413AEB350>,380.0
20857,30409,29485,AC,5.233489199999999,1.5131675999999996,2.909178867036011e-07,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.08548227248144503,1.1599925106560949,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x000002240F62D550>,380.0
2690,3041,3036,AC,7.250107399999998,2.0962403599999995,1.612073464127424e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.23714142422506626,3.218003781159499,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x00000224158A9990>,380.0
22708,30430,26626,AC,2.5784352799999994,0.74550832,1.2899694362880886e-06,780.0,True,780.0,1554.6888048738242,1.0,40.0,0.12651323152790825,1.7167817000083723,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x00000224146C41D0>,380.0
2705,3069,3067,AC,0.456510492,0.15838947199999998,5.641562589473684e-07,520.0,True,520.0,6218.755219495297,1.0,40.0,0.10839100694692821,0.4860638220002622,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x000002241BC97E90>,380.0
1830,3086,3085,AC,0.089626192,0.0099851156,1.56845836e-06,1790.0,True,1790.0,10741.486288219148,1.0,40.0,0.07943138283058157,0.3561985686165142,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x0000022416DB9B90>,380.0
28235,30865,13124,AC,0.62002472,0.21512278799999998,7.662280152908588e-07,520.0,True,520.0,6218.755219495297,1.0,40.0,0.17155293428186671,0.7693043663044139,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x0000022413760C10>,380.0
9067,30865,16681,AC,0.038084900201054275,0.013213866279884329,1.890660059833795e-07,1040.0,True,1040.0,12437.510438990594,1.0,40.0,0.049207826822282724,0.22066539513999406,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x0000022416DF9A10>,380.0
19660,30866,30275,AC,3.7903700399999996,0.7118429039999998,2.2178782984764546e-05,280.0,True,280.0,1554.6888048738242,1.0,40.0,0.2669498656671708,3.6225036595954347,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x00000224172157D0>,380.0
18848,30868,24462,AC,0.38501516399999997,0.11132012599999999,2.1402120519390585e-08,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.01170134027296753,0.15878692373587944,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x000002240F5FEE90>,380.0
28761,30868,25689,AC,6.3254853199999985,1.8288981999999996,3.516192293628809e-07,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.10613759020114309,1.4402847065060902,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x0000022417129B50>,380.0
21723,30870,27068,AC,0.7092855799999999,0.20507687999999996,3.9427584369806095e-08,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.013816335301014764,0.18748735859086302,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x000002241728D290>,380.0
21133,30871,21890,AC,19.291406799999997,5.5777388,1.072361997229917e-06,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.3181656216865459,4.317500314287324,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x000002241BC013D0>,380.0
18825,30871,28081,AC,4.6883792,1.3555578879999999,1.042461506232687e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.15637913166512143,2.1220612916417143,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x00000224157CD2D0>,380.0
22241,30872,21802,AC,2.1230409999999997,0.6138371799999999,1.1801517970914127e-07,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.0431686693302607,0.585797869715751,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x00000224146E59D0>,380.0
24367,30872,25590,AC,0.300555604,0.08690006439999999,1.670716549861496e-08,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.01369712787112076,0.18586971645434142,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x0000022418D96E10>,380.0
22821,30872,28653,AC,0.1192941229123761,0.03449168038261399,2.6601399182825486e-08,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.01840737568337638,0.24978767308958144,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x0000022418D96C90>,380.0
23755,30872,30192,AC,1.123387236,0.32480613999999997,6.244650119113574e-08,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.030376045541911433,0.41220225327554455,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x00000224146E5490>,380.0
16561,30874,13707,AC,0.619637728,0.0690328748,1.084367468e-05,1790.0,True,1790.0,10741.486288219148,1.0,40.0,0.5493708738091562,2.4635743696896224,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x00000224113DFE10>,380.0
25008,30879,13758,AC,0.016643916604654547,0.0018542696680158867,2.623760996e-06,5370.0,True,5370.0,10741.486288219148,1.0,40.0,0.07092113359261992,0.3188804692863676,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x0000022400CDE110>,380.0
20487,30880,22147,AC,0.12774909159999998,0.0369362204,2.840506087950139e-08,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.004638105191565043,0.06293898289868735,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x00000224146EFA10>,380.0
20484,30880,22148,AC,0.22133054399999996,0.06399360359999999,1.2303205422437673e-08,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.005915646374861564,0.08027518795805054,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x00000224157D2C10>,380.0
1167,30881,244,AC,0.156958468,0.029477238399999994,9.184165462603878e-07,280.0,True,280.0,1554.6888048738242,1.0,40.0,0.013667897109145717,0.18547305567325162,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x0000022413A5E550>,380.0
21800,30884,24510,AC,0.5721171319999999,0.16541741999999995,1.2721041717451525e-07,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.024835392229970374,0.33701571272833813,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x0000022415817E90>,380.0
25609,30884,25707,AC,4.57602156,1.3230707759999998,1.0174785256232688e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.15781831409464067,2.1415909647686484,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x000002240E000B10>,380.0
25835,30884,27208,AC,2.75369356,0.7961782799999998,6.122847949445984e-07,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.09969886136353422,1.3529113013197351,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x000002241727BB90>,380.0
