,2,5,10,11,12,13,14,16,17,20,21,29,30,31,32,33,34,35,41,42,43,44,45,46,48,50,57,58,61,62,63,65,66,67,68,74,75,76,77,78,79,80,81,83,86,87,88,89,90,91,93,94,133,139,140,141,142,144,145
0,232.26555122033395,23.317344799266014,501.3192580990965,232.26555147652846,232.2655510713656,228.8201287538216,94.28825325983702,508.26592495079325,232.26555129259262,535.2278268454015,229.62964811038057,526.5638974195068,229.62964817418836,499.8911896394492,229.62964808732707,520.9256214981951,229.62964815599213,229.6296479372386,330.28551438677823,143.79393662612452,474.54872748219367,225.94850126549008,450.58639320781907,225.94850118261053,9.060718090565306e-10,247.6398112783432,385.0325311036258,165.48525242793613,247.63981667225227,555.3106363364768,247.63981670578585,507.73701809028057,225.83843761371506,531.436616353044,225.83843761802297,493.6621353151289,225.83843765262935,496.3343485221725,225.8384376805449,487.5852477294098,225.83843767468068,486.39244978577796,225.83843767676734,1.2803874330483966e-09,5.783440087283279e-10,5.004079713848006e-10,12.599833828679406,99946.82027820738,3.2001275207751256e-10,1.3591087277531725e-10,7.766331808123378e-10,9.060721509880083e-10,23.32338173061108,534.0042144211905,234.9489603215188,267.4651668525557,105.53112845033262,540.4400288493927,234.94896031195563
1,232.95945840250056,23.33680148576743,533.050666909266,232.95945853956775,232.95945832256538,242.08109328828365,94.9821603208721,538.1770232024061,232.9594584429117,542.8165112540634,225.10712971998674,539.1109163298361,225.10712973783453,530.5452383065775,225.1071296711955,544.4552549184575,225.10712973040145,225.10712962250253,502.47598458494616,225.9485013282106,499.7963065173248,225.94850130406437,483.91303708124457,225.9485012437668,9.060720807176256e-10,241.17687215659004,574.0517800632226,241.17687735703743,241.17687705488106,569.60032825626,241.17687733662854,502.3232714910744,225.31391764268392,543.0232991991093,225.3139176650324,483.46192267362323,225.3139176630214,509.1627202396181,225.31391768258297,529.7007046511179,225.31391767977195,518.6674744810612,225.31391768082068,4.596697873791258e-10,5.783440228556727e-10,5.00407972620807e-10,11.07807686877063,441.17434713577825,3.292057210376219e-10,1.359108725130249e-10,7.766334340289199e-10,9.060717522794621e-10,23.342348390701645,568.4785992987688,236.20151185254463,281.2933637742966,106.78367997623265,572.8804105845402,236.20151184986364
2,90.49366782036302,23.32668020795184,391.24911178031584,90.49366797550928,90.4936677402333,224.3800544524799,11.379816621316813,390.12428823129903,90.49366786687108,401.88448417344676,90.49366795215926,388.537859643625,90.49366797382179,389.1680727290881,90.49366790064641,387.85079854674825,90.49366796472167,90.49366783937144,378.9399862343687,90.49366792047425,383.5444577214887,90.49366793516167,369.5273192058296,90.49366786280102,9.060724589733702e-10,90.4936626417409,401.57512292191865,90.49366797431814,90.4936676412877,386.4120651919151,90.49366794981134,376.10018533667153,90.49366792604724,401.8844841723398,90.49366795105219,360.2149163155555,90.49366795102925,382.71323749502716,90.49366797232241,402.14485135996176,90.493667968952,405.3975417126237,90.49366797023006,4.5972850784083837e-10,5.783442580778472e-10,5.004081534516607e-10,59.66549992437846,310.78842638954626,2.9529824639130905e-10,1.3591087238142046e-10,7.766335716225665e-10,9.060726692739162e-10,23.320862014847837,401.29479325974546,90.49366797459831,255.72782769785013,23.510579590178672,409.36028966332015,90.49366797122163
3,92.46215365234684,23.32626861310717,377.1394526842936,92.46215376945888,92.46215358372842,214.0610352405839,13.348302417779161,374.112473195956,92.46215368467917,384.33775457114615,96.12229686644584,360.75938769156784,96.12229688045998,379.3026848956954,96.12229682353863,382.389974271857,96.1222968743109,96.12229678222944,378.51260392002297,94.51587758560599,368.7897738167987,94.5158775602866,349.21488925078626,94.51587750741996,9.060724069414862e-10,97.805489188822,386.09446141267176,97.80549341956794,97.80549313993333,377.5720132242486,97.80549340396438,369.1955427761248,95.40081834521547,383.6162760722519,95.4008183675514,369.6117021756622,95.40081836460786,374.6928274951376,95.40081838129099,391.8991427407795,95.40081837894313,393.6484183805997,95.400818379761,4.5972850470513563e-10,5.78344229577134e-10,5.004081341773598e-10,63.447692162002106,6.446167736595442e-09,2.952982615803568e-10,1.3591031993720497e-10,7.7663352810474e-10,9.060726175866688e-10,23.32059648311574,393.5766501235055,91.63668115472704,244.93066751504762,24.65359276910224,399.389815357085,91.63668115242396
4,72.39493423983811,23.32852068383712,302.5367082027844,72.39493436830568,72.39493416745407,169.97827374383445,9.103853284961799,301.6803248642585,72.39493427869577,310.218153498519,72.39493435415467,304.394685214155,72.39493436893547,303.3700451748183,72.39493430345694,309.22220532425,72.3949343619614,72.39493426309828,299.6119662941841,72.39493436422597,294.6344432691567,72.39493433799682,287.3314003332362,72.39493427409649,0.07298351422541355,72.3949294862272,308.1164986524102,72.39493436803637,72.39493405600005,290.5169915079617,72.3949343516168,294.97697015468196,72.39493432873896,310.2181534984338,72.39493435406942,277.3772666868616,72.39493435024147,301.72759777989023,72.39493436854458,310.3016165528956,72.39493436600566,311.1192796329386,72.39493436695119,0.00016519375322579836,8.320922251180176e-10,5.001370608909008e-10,9.058714390812105e-10,79854.01074107055,2.9528530033183536e-10,1.359108727740434e-10,7.608804715821299e-10,9.052194041995109e-10,23.328427532300676,318.294130747054,72.39493436588518,185.33008157067383,18.80846365835641,311.1664127517844,72.39493436355656
