name,scn_name,v_nom,type,carrier,x,y,country,control,generator
42034,eGon2035,110,,dsm,14.08941199,52.27550152,DE,Slack,42034 load shedding
42042,eGon2035,110,,dsm,12.10346213,53.99717445,DE,Slack,42042 load shedding
42050,eGon2035,110,,dsm,7.97539786,51.72769273,DE,Slack,42050 load shedding
42072,eGon2035,110,,dsm,6.550853963,50.2857978,DE,Slack,42072 load shedding
42076,eGon2035,110,,dsm,9.730458052,51.52194369,DE,Slack,42076 load shedding
42088,eGon2035,110,,dsm,7.632149813,49.73071716,DE,Slack,42088 load shedding
42092,eGon2035,110,,dsm,6.76517611,49.85630167,DE,Slack,42092 load shedding
42094,eGon2035,110,,dsm,6.274335864,50.83589318,DE,Slack,42094 load shedding
42098,eGon2035,110,,dsm,12.63811424,52.32070339,DE,Slack,42098 load shedding
42100,eGon2035,110,,dsm,7.42490353,53.00408089,DE,Slack,42100 load shedding
42102,eGon2035,110,,dsm,11.32151962,53.5729858,DE,Slack,42102 load shedding
42106,eGon2035,110,,dsm,9.192374063,48.9275677,DE,Slack,42106 load shedding
42110,eGon2035,110,,dsm,11.65649883,52.60009284,DE,Slack,42110 load shedding
42118,eGon2035,110,,dsm,8.840295147,51.95892963,DE,Slack,42118 load shedding
42120,eGon2035,110,,dsm,13.65740312,51.13981296,DE,Slack,42120 load shedding
42122,eGon2035,110,,dsm,12.21538439,53.01667544,DE,Slack,42122 load shedding
42124,eGon2035,110,,dsm,7.561429151,50.36784572,DE,Slack,42124 load shedding
42126,eGon2035,110,,dsm,10.69479975,54.01021952,DE,Slack,42126 load shedding
42128,eGon2035,110,,dsm,13.40678031,52.52165897,DE,Slack,42128 load shedding
42132,eGon2035,110,,dsm,9.890089776,52.13627888,DE,Slack,42132 load shedding
42150,eGon2035,110,,dsm,12.48401014,48.82877733,DE,Slack,42150 load shedding
42158,eGon2035,110,,dsm,12.46686671,48.2959775,DE,Slack,42158 load shedding
42188,eGon2035,110,,dsm,14.03074519,53.2726451,DE,Slack,42188 load shedding
42192,eGon2035,110,,dsm,12.10524428,51.7449105,DE,Slack,42192 load shedding
42202,eGon2035,110,,dsm,10.55697591,47.83760448,DE,Slack,42202 load shedding
42204,eGon2035,110,,dsm,7.00236203,49.34017405,DE,Slack,42204 load shedding
42246,eGon2035,110,,dsm,7.156514556,52.04920658,DE,Slack,42246 load shedding
42258,eGon2035,110,,dsm,11.64440631,52.047383,DE,Slack,42258 load shedding
42696,eGon2035,110,,dsm,9.031378918,54.20342305,DE,Slack,42696 load shedding
43,eGon2035,380,,AC,10.52680666,51.20039259,DE,PV,43 biomass
43210,eGon2035,110,,dsm,13.24318975,53.90134319,DE,Slack,43210 load shedding
43228,eGon2035,110,,dsm,12.444633,53.16828744,DE,Slack,43228 load shedding
43522,eGon2035,110,,dsm,6.857810144,51.09708208,DE,Slack,43522 load shedding
43526,eGon2035,110,,dsm,7.580423391,51.3792627,DE,Slack,43526 load shedding
43528,eGon2035,110,,dsm,8.368093247,48.97632996,DE,Slack,43528 load shedding
43530,eGon2035,110,,dsm,11.49835055,48.13569202,DE,Slack,43530 load shedding
43534,eGon2035,110,,dsm,9.834978666,48.56182559,DE,Slack,43534 load shedding
43536,eGon2035,110,,dsm,8.350157679,49.97160867,DE,Slack,43536 load shedding
43538,eGon2035,110,,dsm,8.777188706,50.18540196,DE,Slack,43538 load shedding
43542,eGon2035,110,,dsm,12.10001866,47.87815178,DE,Slack,43542 load shedding
43554,eGon2035,110,,dsm,12.78220427,50.7402634,DE,Slack,43554 load shedding
43564,eGon2035,110,,dsm,9.103628621,52.67345598,DE,Slack,43564 load shedding
43644,eGon2035,110,,dsm,9.951279115,54.24439172,DE,Slack,43644 load shedding
43728,eGon2035,110,,dsm,8.367404386,47.70078453,DE,Slack,43728 load shedding
43732,eGon2035,110,,dsm,9.177920622,54.68608511,DE,Slack,43732 load shedding
43748,eGon2035,110,,dsm,9.524385872,47.9042538,DE,Slack,43748 load shedding
43752,eGon2035,110,,dsm,10.61804733,51.34151023,DE,Slack,43752 load shedding
43761,eGon2035,380,,AC,13.60427444,47.54949822,AT,PV,43761 oil
43762,eGon2035,380,,AC,4.798653786,50.74318841,BE,PV,43762 coal
43763,eGon2035,380,,AC,8.207947632,46.82343066,CH,PV,43763 nuclear
43764,eGon2035,380,,AC,15.23820038,49.84255075,CZ,PV,43764 coal
43765,eGon2035,380,,AC,9.73224873,55.99042991,DK,PV,43765 coal
43766,eGon2035,380,,AC,12.28397443,55.50990254,DK,Slack,43766 coal
43767,eGon2035,380,,AC,3.155515159,46.80868447,FR,PV,43767 nuclear
43768,eGon2035,380,,AC,-6.097540943,54.66877875,GB,Slack,43768 lignite
43769,eGon2035,380,,AC,-1.97568139,53.28208772,GB,Slack,43769 coal
43770,eGon2035,380,,AC,6.130510691,49.6773404,LU,PQ,
43771,eGon2035,380,,AC,5.551448176,52.37428606,NL,PV,43771 nuclear
43772,eGon2035,380,,AC,8.605317996,60.97891065,NO,PV,43772 others
43773,eGon2035,380,,AC,18.90223274,51.57212912,PL,PV,43773 coal
43774,eGon2035,380,,AC,16.27763403,61.35776075,SE,PV,43774 nuclear
44,eGon2035,380,,AC,7.795400705,49.62286852,DE,PV,44 biomass
45,eGon2035,380,,AC,7.3033971,52.4779998,DE,PV,45 biomass
46,eGon2035,380,,AC,11.54044746,48.13011243,DE,PV,46 biomass
47,eGon2035,380,,AC,8.498670378,53.50881913,DE,PV,47 biomass
48,eGon2035,380,,AC,7.917360192,51.75681619,DE,PV,48 biomass
48623,eGon2035,1,,CH4,13.60427444,47.54949822,AT,Slack,48623 CH4
48624,eGon2035,1,,CH4,4.798653786,50.74318841,BE,Slack,48624 CH4
48625,eGon2035,1,,CH4,8.207947632,46.82343066,CH,Slack,48625 load shedding
48626,eGon2035,1,,CH4,15.23820038,49.84255075,CZ,Slack,48626 CH4
48627,eGon2035,1,,CH4,9.73224873,55.99042991,DK,Slack,48627 CH4
48628,eGon2035,1,,CH4,3.155515159,46.80868447,FR,Slack,48628 CH4
48629,eGon2035,1,,CH4,-6.097540943,54.66877875,GB,Slack,48629 CH4
48630,eGon2035,1,,CH4,6.130510691,49.6773404,LU,Slack,48630 CH4
48631,eGon2035,1,,CH4,5.551448176,52.37428606,NL,Slack,48631 CH4
48632,eGon2035,1,,CH4,8.605317996,60.97891065,NO,Slack,48632 load shedding
48633,eGon2035,1,,CH4,18.90223274,51.57212912,PL,Slack,48633 CH4
48634,eGon2035,1,,CH4,16.27763403,61.35776075,SE,Slack,48634 CH4
48636,eGon2035,1,,CH4,41,55,RU,Slack,48636 CH4
48637,eGon2035,1,,H2_saltcavern,14.06762669,51.78044689,DE,Slack,48637 load shedding
48639,eGon2035,1,,H2_saltcavern,13.41897704,52.36525106,DE,Slack,48639 load shedding
48644,eGon2035,1,,H2_saltcavern,14.36014871,52.09786644,DE,Slack,48644 load shedding
48663,eGon2035,1,,H2_saltcavern,11.62949663,53.2033718,DE,Slack,48663 load shedding
48666,eGon2035,1,,H2_saltcavern,12.75424894,52.21520425,DE,Slack,48666 load shedding
48677,eGon2035,1,,H2_saltcavern,13.34681951,54.21911444,DE,Slack,48677 load shedding
48679,eGon2035,1,,H2_saltcavern,11.32765332,53.22432143,DE,Slack,48679 load shedding
48680,eGon2035,1,,H2_saltcavern,12.2257519,54.1006791,DE,Slack,48680 load shedding
48681,eGon2035,1,,H2_saltcavern,6.623431865,51.642653,DE,Slack,48681 load shedding
48684,eGon2035,1,,H2_saltcavern,9.412655094,51.995015,DE,Slack,48684 load shedding
48687,eGon2035,1,,H2_saltcavern,9.181290657,51.73524769,DE,Slack,48687 load shedding
48690,eGon2035,1,,H2_saltcavern,7.029310665,52.15917344,DE,Slack,48690 load shedding
48700,eGon2035,1,,H2_saltcavern,11.28593049,52.53586968,DE,Slack,48700 load shedding
48701,eGon2035,1,,H2_saltcavern,11.66730611,51.37134436,DE,Slack,48701 load shedding
48702,eGon2035,1,,H2_saltcavern,10.64773679,51.1946396,DE,Slack,48702 load shedding
48704,eGon2035,1,,H2_saltcavern,12.76670706,51.91518531,DE,Slack,48704 load shedding
48721,eGon2035,1,,H2_saltcavern,11.26801163,52.02109539,DE,Slack,48721 load shedding
48724,eGon2035,1,,H2_saltcavern,10.98034491,51.08266444,DE,Slack,48724 load shedding
48747,eGon2035,1,,H2_saltcavern,9.954427844,54.28818782,DE,Slack,48747 load shedding
48748,eGon2035,1,,H2_saltcavern,9.217764021,53.40112057,DE,Slack,48748 load shedding
48749,eGon2035,1,,H2_saltcavern,9.152635709,54.14265382,DE,Slack,48749 load shedding
48751,eGon2035,1,,H2_saltcavern,9.432950026,54.55344209,DE,Slack,48751 load shedding
48752,eGon2035,1,,H2_saltcavern,9.288292795,53.91647168,DE,Slack,48752 load shedding
48768,eGon2035,1,,H2_saltcavern,10.20307202,53.53062971,DE,Slack,48768 load shedding
48770,eGon2035,1,,H2_saltcavern,10.26754753,53.74030728,DE,Slack,48770 load shedding
