name,scn_name,bus,type,carrier,p_nom,p_nom_extendable,p_max_pu,marginal_cost,efficiency,up_time_before,e_nom_max,control,weight,p_nom_opt
81685 solar_thermal_collector,eGon2035,81685,,solar_thermal_collector,23.538638471041047,False,1.0,0.00439005424747946,1.0,0,,PQ,23.538638471041047,23.538638471041047
81686 load shedding,,81686,,load shedding,532710.0,False,1.0,10000.00488720336,1.0,1,0.0,Slack,532710.0,532710.0
81686 solar_thermal_collector,eGon2035,81686,,solar_thermal_collector,5.912991433338762,False,0.9999999999999999,0.009677290152799091,0.9999999999999999,0,,PQ,5.912991433338762,5.912991433338762
81687 central_biomass_CHP_heat,eGon2035,81687,,central_biomass_CHP_heat,1.11,False,1.0,0.0031877284590290716,1.0,0,inf,Slack,1.11,1.11
81687 load shedding,,81687,,load shedding,443925.0,False,1.0,10000.007273242863,1.0,1,0.0,PQ,443925.0,443925.0
81687 solar_thermal_collector,eGon2035,81687,,solar_thermal_collector,2.1146135940915096,False,1.0,0.012162988764293453,1.0,0,,PQ,2.1146135940915096,2.1146135940915096
81688 central_biomass_CHP_heat,eGon2035,81688,,central_biomass_CHP_heat,2.03,False,1.0,0.019919250997272715,1.0,0,inf,Slack,2.03,2.03
81688 load shedding,,81688,,load shedding,266355.0,False,1.0,10000.010509265145,1.0,1,0.0,PQ,266355.0,266355.0
81688 solar_thermal_collector,eGon2035,81688,,solar_thermal_collector,5.988871538233373,False,0.9999999999999999,0.006265556855851244,0.9999999999999999,0,,PQ,5.988871538233373,5.988871538233373
81689 central_biomass_CHP_heat,eGon2035,81689,,central_biomass_CHP_heat,11.163,False,1.0,0.009051134120140475,1.0,0,,Slack,11.163,11.163
81689 load shedding,,81689,,load shedding,976635.0,False,1.0,10000.00793096948,1.0,1,0.0,PQ,976635.0,976635.0
81689 solar_thermal_collector,eGon2035,81689,,solar_thermal_collector,12.862764640589887,False,1.0,0.009056707641615373,1.0,0,,PQ,12.862764640589887,12.862764640589887
81690 central_biomass_CHP_heat,eGon2035,81690,,central_biomass_CHP_heat,0.445,False,1.0,0.0234631568662906,1.0,0,inf,Slack,0.445,0.445
81690 load shedding,,81690,,load shedding,532710.0,False,1.0,10000.009588399143,1.0,1,0.0,PQ,532710.0,532710.0
81690 solar_thermal_collector,eGon2035,81690,,solar_thermal_collector,1.482824425290348,False,1.0,0.0020575461522829913,1.0,0,inf,PQ,1.482824425290348,1.482824425290348
81692 central_biomass_CHP_heat,eGon2035,81692,,central_biomass_CHP_heat,16.089,False,1.0,0.008154133299525556,1.0,0,,Slack,16.089,16.089
81692 load shedding,,81692,,load shedding,887850.0,False,1.0,10000.010141633975,1.0,1,0.0,PQ,887850.0,887850.0
81692 solar_thermal_collector,eGon2035,81692,,solar_thermal_collector,71.11603026761853,False,1.0,0.004087736455459181,1.0,0,,PQ,71.11603026761853,71.11603026761853
81693 central_biomass_CHP_heat,eGon2035,81693,,central_biomass_CHP_heat,1.407,False,1.0,0.0025103618667342226,1.0,0,,Slack,1.407,1.407
81693 load shedding,,81693,,load shedding,1242990.0,False,1.0,10000.006901781042,1.0,1,0.0,PQ,1242990.0,1242990.0
81693 solar_thermal_collector,eGon2035,81693,,solar_thermal_collector,21.114418890728267,False,0.9999999999999998,0.00580741978002883,0.9999999999999998,0,,PQ,21.114418890728263,21.114418890728267
81694 central_biomass_CHP_heat,eGon2035,81694,,central_biomass_CHP_heat,4.899,False,1.0,0.00744362253832669,1.0,0,,Slack,4.899,4.899
81694 load shedding,,81694,,load shedding,976635.0,False,1.0,10000.006373442722,1.0,1,0.0,PQ,976635.0,976635.0
81694 solar_thermal_collector,eGon2035,81694,,solar_thermal_collector,9.453727526859932,False,1.0,0.010406474533737905,1.0,0,,PQ,9.453727526859932,9.453727526859932
81695 central_biomass_CHP_heat,eGon2035,81695,,central_biomass_CHP_heat,3.761,False,1.0,0.006037332372646201,1.0,0,,Slack,3.761,3.761
81695 load shedding,,81695,,load shedding,1864485.0,False,1.0,10000.008528380937,1.0,1,0.0,PQ,1864485.0,1864485.0
81695 solar_thermal_collector,eGon2035,81695,,solar_thermal_collector,159.34001439773277,False,0.9999999999999999,0.007721659661855776,0.9999999999999999,0,,PQ,159.34001439773274,159.34001439773277
81696 central_biomass_CHP_heat,eGon2035,81696,,central_biomass_CHP_heat,6.428,False,1.0,0.010034912136745712,1.0,0,,Slack,6.428,6.428
81696 geo_thermal,eGon2035,81696,,geo_thermal,14.284841281502748,False,1.0,0.01778075753676723,1.0,0,inf,PQ,14.284841281502748,14.284841281502748
81696 load shedding,,81696,,load shedding,2929905.0,False,1.0,10000.00802404604,1.0,1,0.0,PQ,2929905.0,2929905.0
81696 solar_thermal_collector,eGon2035,81696,,solar_thermal_collector,62.62942916443214,False,1.0,0.007690971385291469,1.0,0,,PQ,62.62942916443214,62.62942916443214
81697 central_biomass_CHP_heat,eGon2035,81697,,central_biomass_CHP_heat,0.376,False,1.0,0.011191653946306718,1.0,0,,Slack,0.376,0.376
81697 load shedding,,81697,,load shedding,1598130.0,False,1.0,10000.008082535893,1.0,1,0.0,PQ,1598130.0,1598130.0
81697 solar_thermal_collector,eGon2035,81697,,solar_thermal_collector,39.70276824404719,False,1.0,0.008981393121283229,1.0,0,,PQ,39.70276824404719,39.70276824404719
81700 central_biomass_CHP_heat,eGon2035,81700,,central_biomass_CHP_heat,5.9095,False,1.0,0.009245432668443933,1.0,0,,Slack,5.9095,5.9095
81700 load shedding,,81700,,load shedding,1775700.0,False,1.0,10000.004910634152,1.0,1,0.0,PQ,1775700.0,1775700.0
81700 solar_thermal_collector,eGon2035,81700,,solar_thermal_collector,36.61890155126259,False,0.9999999999999998,0.007928757482596983,0.9999999999999998,0,,PQ,36.61890155126258,36.61890155126259
81701 load shedding,,81701,,load shedding,710280.0,False,1.0,10000.0032791369,1.0,1,0.0,Slack,710280.0,710280.0
81701 solar_thermal_collector,eGon2035,81701,,solar_thermal_collector,48.767761258221135,False,0.9999999999999999,0.0048291341695134455,0.9999999999999999,0,,PQ,48.76776125822113,48.767761258221135
81702 central_biomass_CHP_heat,eGon2035,81702,,central_biomass_CHP_heat,12.5,False,1.0,0.006468815962806619,1.0,0,inf,Slack,12.5,12.5
81702 load shedding,,81702,,load shedding,710280.0,False,1.0,10000.00915763909,1.0,1,0.0,PQ,710280.0,710280.0
81702 solar_thermal_collector,eGon2035,81702,,solar_thermal_collector,18.071848857290995,False,1.0,0.004722491589702251,1.0,0,,PQ,18.071848857290995,18.071848857290995
81704 central_biomass_CHP_heat,eGon2035,81704,,central_biomass_CHP_heat,0.345,False,1.0,0.005694870887630423,1.0,0,inf,Slack,0.345,0.345
81704 load shedding,,81704,,load shedding,266355.0,False,1.0,10000.022514939383,1.0,1,0.0,PQ,266355.0,266355.0
81704 solar_thermal_collector,eGon2035,81704,,solar_thermal_collector,53.238203702482636,False,1.0,0.0015804161951388587,1.0,0,inf,PQ,53.238203702482636,53.238203702482636
81707 central_biomass_CHP_heat,eGon2035,81707,,central_biomass_CHP_heat,28.763,False,1.0,0.010449866109229619,1.0,0,,Slack,28.762999999999998,28.763
81707 load shedding,,81707,,load shedding,1686915.0,False,1.0,10000.00674602427,1.0,1,0.0,PQ,1686915.0,1686915.0
81707 solar_thermal_collector,eGon2035,81707,,solar_thermal_collector,109.84528452007319,False,1.0,0.01136087742733118,1.0,0,,PQ,109.8452845200732,109.84528452007319
81708 central_biomass_CHP_heat,eGon2035,81708,,central_biomass_CHP_heat,1.716,False,1.0,0.01382220177067127,1.0,0,,Slack,1.716,1.716
81708 load shedding,,81708,,load shedding,177570.0,False,1.0,10000.009179574183,1.0,1,0.0,PQ,177570.0,177570.0
81708 solar_thermal_collector,eGon2035,81708,,solar_thermal_collector,1.131227484738977,False,1.0,0.016105776845779816,1.0,0,inf,PQ,1.131227484738977,1.131227484738977
81713 central_biomass_CHP_heat,eGon2035,81713,,central_biomass_CHP_heat,1.566,False,1.0,0.008110453128954087,1.0,0,,Slack,1.5659999999999998,1.566
81713 load shedding,,81713,,load shedding,976635.0,False,1.0,10000.009408670321,1.0,1,0.0,PQ,976635.0,976635.0
81713 solar_thermal_collector,eGon2035,81713,,solar_thermal_collector,73.39558641241901,False,0.9999999999999999,0.008437286183833053,0.9999999999999999,0,,PQ,73.39558641241901,73.39558641241901
81714 load shedding,,81714,,load shedding,266355.0,False,1.0,10000.014041617893,1.0,1,0.0,Slack,266355.0,266355.0
81714 solar_thermal_collector,eGon2035,81714,,solar_thermal_collector,2.4501242515954957,False,1.0,0.002025335348416397,1.0,0,,PQ,2.4501242515954957,2.4501242515954957
81715 central_biomass_CHP_heat,eGon2035,81715,,central_biomass_CHP_heat,1.367,False,1.0,0.009819975562962477,1.0,0,,Slack,1.367,1.367
81715 load shedding,,81715,,load shedding,2219625.0,False,1.0,10000.010005176566,1.0,1,0.0,PQ,2219625.0,2219625.0
81715 solar_thermal_collector,eGon2035,81715,,solar_thermal_collector,77.72018066557334,False,1.0,0.007843765310641737,1.0,0,,PQ,77.72018066557332,77.72018066557334
81717 central_biomass_CHP_heat,eGon2035,81717,,central_biomass_CHP_heat,0.662,False,1.0,0.009153761838564273,1.0,0,,Slack,0.662,0.662
81717 load shedding,,81717,,load shedding,177570.0,False,1.0,10000.003499666156,1.0,1,0.0,PQ,177570.0,177570.0
81718 central_biomass_CHP_heat,eGon2035,81718,,central_biomass_CHP_heat,25.973,False,1.0,0.00490095526213251,1.0,0,,Slack,25.973,25.973
81718 load shedding,,81718,,load shedding,3551400.0,False,1.0,10000.00748042732,1.0,1,0.0,PQ,3551400.0,3551400.0
81718 solar_thermal_collector,eGon2035,81718,,solar_thermal_collector,220.56309058116108,False,1.0,0.00720325753403531,1.0,0,,PQ,220.5630905811611,220.56309058116108
81719 central_biomass_CHP_heat,eGon2035,81719,,central_biomass_CHP_heat,0.14,False,1.0,0.0023853018404862677,1.0,0,inf,Slack,0.14,0.14
81719 load shedding,,81719,,load shedding,887850.0,False,1.0,10000.005218882427,1.0,1,0.0,PQ,887850.0,887850.0
81719 solar_thermal_collector,eGon2035,81719,,solar_thermal_collector,19.758975361284566,False,1.0,0.006900379521904787,1.0,0,,PQ,19.758975361284566,19.758975361284566
81720 central_biomass_CHP_heat,eGon2035,81720,,central_biomass_CHP_heat,6.5009999999999994,False,1.0,0.007166315711841779,1.0,0,,Slack,6.5009999999999994,6.5009999999999994
81720 load shedding,,81720,,load shedding,2663550.0,False,1.0,10000.007566136885,1.0,1,0.0,PQ,2663550.0,2663550.0
81720 solar_thermal_collector,eGon2035,81720,,solar_thermal_collector,72.5505114051225,False,0.9999999999999998,0.004691786515622253,0.9999999999999998,0,,PQ,72.55051140512249,72.5505114051225
81722 central_biomass_CHP_heat,eGon2035,81722,,central_biomass_CHP_heat,0.09,False,1.0,0.008760888867004933,1.0,0,inf,Slack,0.09,0.09
81722 load shedding,,81722,,load shedding,355140.0,False,1.0,10000.011932178071,1.0,1,0.0,PQ,355140.0,355140.0
81722 solar_thermal_collector,eGon2035,81722,,solar_thermal_collector,11.584549672743002,False,1.0,0.011691448169841374,1.0,0,,PQ,11.584549672743002,11.584549672743002
81723 load shedding,,81723,,load shedding,1420560.0,False,1.0,10000.008724959294,1.0,1,0.0,Slack,1420560.0,1420560.0
81723 solar_thermal_collector,eGon2035,81723,,solar_thermal_collector,36.74489505262018,False,1.0,0.011182287070171456,1.0,0,,PQ,36.74489505262018,36.74489505262018
81725 load shedding,,81725,,load shedding,621495.0,False,1.0,10000.008694939335,1.0,1,0.0,Slack,621495.0,621495.0
81725 solar_thermal_collector,eGon2035,81725,,solar_thermal_collector,4.3947794248981005,False,1.0,0.010124434858524678,1.0,0,,PQ,4.3947794248981005,4.3947794248981005
