bus_id,cluster,medoid_idx
47355,3,47372
47358,3,47372
47359,3,47372
47360,3,47372
47361,3,47372
47362,3,47372
47363,3,47372
47364,3,47372
47365,3,47372
47366,3,47372
47367,3,47372
47368,3,47372
47369,3,47372
47370,3,47372
47371,3,47372
47372,3,47372
47373,3,47372
47374,3,47372
47375,3,47372
47376,3,47372
47377,3,47372
47378,3,47372
47379,3,47372
47380,3,47372
47381,3,47372
47382,3,47372
47383,3,47372
47384,3,47372
47385,3,47372
47386,3,47372
47387,3,47372
47388,3,47372
47389,3,47372
47390,3,47372
47391,3,47372
47392,3,47372
47393,3,47372
47394,3,47372
47395,3,47372
47396,3,47372
47397,3,47372
47398,3,47372
47399,3,47372
47400,3,47372
47401,2,47407
47402,3,47372
47403,3,47372
47404,2,47407
47405,2,47407
47406,2,47407
47407,2,47407
47408,2,47407
47409,2,47407
47410,2,47407
47411,3,47372
47412,3,47372
47413,3,47372
47414,5,47434
47415,5,47434
47416,5,47434
47417,5,47434
47418,5,47434
47419,5,47434
47420,5,47434
47421,5,47434
47422,5,47434
47423,5,47434
47424,5,47434
47425,5,47434
47426,5,47434
47427,5,47434
47428,5,47434
47429,5,47434
47430,5,47434
47431,5,47434
47432,5,47434
47433,5,47434
47434,5,47434
47435,5,47434
47436,5,47434
47437,5,47434
47438,5,47434
47439,1,47732
47440,2,47407
47441,1,47732
47442,1,47732
47443,1,47732
47444,4,47672
47445,4,47672
47446,1,47732
47447,1,47732
47448,1,47732
47449,4,47672
47450,4,47672
47451,4,47672
47452,4,47672
47453,4,47672
47454,4,47672
47455,4,47672
47456,4,47672
47457,0,47773
47458,0,47773
47459,2,47407
47460,2,47407
47461,2,47407
47462,2,47407
47463,2,47407
47464,0,47773
47465,0,47773
47466,0,47773
47467,0,47773
47468,2,47407
47469,2,47407
47470,2,47407
47471,3,47372
47472,3,47372
47473,3,47372
47474,3,47372
47475,5,47434
47476,5,47434
47477,5,47434
47478,5,47434
47479,5,47434
47480,5,47434
47481,5,47434
47482,5,47434
47483,5,47434
47484,5,47434
47485,0,47773
47486,0,47773
47487,0,47773
47488,0,47773
47489,0,47773
47490,0,47773
47491,3,47372
47492,3,47372
47493,3,47372
47494,3,47372
47495,0,47773
47496,0,47773
47497,0,47773
47498,0,47773
47499,0,47773
47500,0,47773
47501,0,47773
47502,0,47773
47503,0,47773
47504,0,47773
47505,0,47773
47506,0,47773
47507,0,47773
47508,0,47773
47509,0,47773
47510,0,47773
47511,0,47773
47512,0,47773
47513,2,47407
47514,2,47407
47515,2,47407
47516,2,47407
47517,4,47672
47518,2,47407
47519,2,47407
47520,2,47407
47521,2,47407
47522,2,47407
47523,2,47407
47524,6,47537
47525,6,47537
47526,6,47537
47527,6,47537
47528,6,47537
47529,6,47537
47530,6,47537
47531,6,47537
47532,6,47537
47533,6,47537
47534,6,47537
47535,6,47537
47536,6,47537
47537,6,47537
47538,6,47537
47539,6,47537
47540,6,47537
47541,2,47407
47542,6,47537
47543,6,47537
47544,6,47537
47545,1,47732
47546,2,47407
47547,2,47407
47548,2,47407
47549,2,47407
47550,3,47372
47551,3,47372
47552,3,47372
47553,2,47407
47554,2,47407
47555,2,47407
47556,2,47407
47557,2,47407
47558,2,47407
47559,2,47407
47560,2,47407
47561,2,47407
47562,2,47407
47563,2,47407
47564,2,47407
47565,2,47407
47566,2,47407
47567,2,47407
47568,3,47372
47569,2,47407
47570,2,47407
47571,2,47407
47572,2,47407
47573,5,47434
47574,0,47773
47575,0,47773
47576,0,47773
47577,0,47773
47578,3,47372
47579,0,47773
47580,3,47372
47581,3,47372
47582,3,47372
47583,3,47372
47584,3,47372
47585,3,47372
47586,3,47372
47587,3,47372
47588,3,47372
47589,3,47372
47590,3,47372
47591,3,47372
47592,3,47372
47593,3,47372
47594,3,47372
47595,3,47372
47596,3,47372
47597,3,47372
47598,3,47372
47599,3,47372
47600,3,47372
47601,3,47372
47602,3,47372
47603,3,47372
47604,3,47372
47605,3,47372
47606,3,47372
47607,3,47372
47608,3,47372
47609,3,47372
47610,3,47372
47611,3,47372
47612,3,47372
47613,3,47372
47614,3,47372
47615,3,47372
47616,3,47372
47617,3,47372
47618,3,47372
47619,0,47773
47620,3,47372
47621,3,47372
47622,3,47372
47623,3,47372
47624,2,47407
47625,2,47407
47626,2,47407
47627,3,47372
47628,2,47407
47629,2,47407
47630,5,47434
47631,3,47372
47632,1,47732
47633,1,47732
47634,1,47732
47635,1,47732
47636,1,47732
47637,1,47732
47638,1,47732
47639,1,47732
47640,1,47732
47641,1,47732
47642,1,47732
47643,1,47732
47644,1,47732
47645,1,47732
47646,1,47732
47647,1,47732
47648,1,47732
47649,1,47732
47650,1,47732
47651,1,47732
47652,1,47732
47653,4,47672
47654,4,47672
47655,4,47672
47656,4,47672
47657,4,47672
47658,4,47672
47659,4,47672
47660,1,47732
47661,4,47672
47662,4,47672
47663,4,47672
47664,4,47672
47665,4,47672
47666,4,47672
47667,4,47672
47668,4,47672
47669,4,47672
47670,4,47672
47671,4,47672
47672,4,47672
47673,4,47672
47674,4,47672
47675,4,47672
47676,4,47672
47677,4,47672
47678,4,47672
47679,4,47672
47680,4,47672
47681,4,47672
47682,4,47672
