,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,80,83,84,85,86,87,88,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354
0,-0.04028629302749209,-5.68050823686508e-09,-0.18022186864020226,-356.785855164575,-58.955877999278826,-1473.7645627504157,-4.1858260567010434e-07,-2.3511778296008085e-06,-197.74294261038483,-90.9536971886194,-0.11431758612274928,-69.9384605833253,-35.026318992631126,-1.2452294598814433,-0.26002183386107797,50.71747029572582,-5.568117914004522e-09,-11.340532110291734,-6.87644148049856,-3.545396548732593e-08,-1.7250921894108476e-08,-861.9036427938154,-47.15878115302963,-1.3349827041074305e-07,-1.2291081498017612e-07,-1389.6822321187542,-466.30589927650493,-256.41463717330083,-3.269027819844745,-0.45194607636072603,-13.221814582677732,-7.921276941725359,-0.4346856567077656,34.5726102387861,-633.2582709689403,-20.715192426362226,-6.091655136997988e-08,-505.69910123672327,-270.68213161782734,-132.8484557507838,-5.96528524161314,-0.8774922506603667,-2.2067902770143273,-0.41399996340746703,0.512507017453828,599.999999960944,-5.408686930135669e-09,-0.004868989547101597,-436.5625031202263,-91.48592544591656,-5.599999882232508,-584.4363170340082,-0.6999999351266599,-136.33450417952702,-197.26223597493066,-102.6160479602924,-4.024453581060627e-08,-1.8831184078183865e-08,-0.07863769622973606,-5.713895613960816,-3.1498191046755446,55.99698739449724,-4.850475205932756,-3.08231905408649,-0.29617915737152,-0.17959109980148869,-969.915951020523,-16.093694794582866,-7.500704216668952e-08,-1.1914791269162409e-06,-0.18185053311646102,-8.143997815769103,-1.28093194508688,-300.1674287839038,-120.41456372061228,-57.620759694178886,-24.90147495884364,-76.23527780516574,-49.50202240146338,599.9999998689696,939.9999999626718,849.9999999630481,272.20356029894083,-7999.999999999993,1556.4962878259225,3999.9999999999927,699.9999999629172,599.9999953098736,3738.1224671129967,-1625.4024418012377,-1744.1560121259245,16087.71166748718,-8776.351838715156,-575.2847143186657,-7387.061829976374,-2891.1671020292233,-19815.705834478664,8954.604496354326,-5216.18837182795,753.6091206867877,-9734.411359592123,5911.763533316145,-5114.657151659754,6576.067203030023,-1363.4218924978722,-8860.759095993046,-34520.22987014135,-3138.84823125165,-12386.692880978197,-575.1665314913585,-5734.9868251384105,-8720.908603086627,-21105.163511310755,-29873.301599651946,-4232.711488855513,-193.18475917051342,-4232.711488859088,-2.433228183479631e-09,-2.4144763737800395e-09,-2.3690822340835298e-09,-2.3850289540373226e-09,-3.1872308095675595e-08,-17.19442284176715,-5.6778180987466e-09,-358.1104673120182,-104.66631257844575,-300.9710392586376,-9.14842549945336,-427.7585658993749,-1.3999998202203823,-1.7871965233048785,-6.206723612274658,-575.9041280105463,-306.59247823476,-3.0089732725908744,-3.8285687322333404,-3.1830471933745407e-08,-3.193680019285559e-08,-5.967968372089176e-05,-3.226657709876002e-08,-2.2578753992267858e-07,-1.8323209607667209e-07,-2.477458852040518e-07,-2.793550381264035e-07,-2.5771698985485005e-07,-1.9450985739917221e-07,-4.918348363430092e-09,-4.924162942547305e-09,-4.920502446653785e-09,-4.936803795581861e-05,-4.957112526060698e-09,-1.613944105307327e-07,-1.2855833594325902e-07,-1.7951540519682443e-07,-2.058125148142394e-07,-1.8822606814515184e-07,-1.370315055534895e-07,-1.8385429689736857e-09,-6.735061540925623e-10,-1.87052775422702e-09,-6.780800431368534e-10,-1.900062801856584e-09,-6.822897215579561e-10,-5.465534813631523e-10,-1.8790695669606557e-09,-6.809015430996143e-10,-1.2227465459713875e-09,-1.2196847760571438e-09,-4.172938208588461,-3151.44145903589,17825.726764670282,-3913.935607903197,-25875.72020012472,-1.2737804468836422e-09,-1.2284766515848338e-09,-217.79272018910893,-1.2187181417725183e-09,-17.607611130026378,-1.2217795428160048e-09,-123.93040172593795,-1.2186250167726826e-09,-2.6544414004985724,-1.2205122013628758e-09,-11.992968064488423,-1.4622369762032146e-09,-6.735077366424263e-10,-1.4875700833703638e-09,-6.762975972535206e-10,-5.414667196329164e-10,-1.4536342009723493e-09,-6.730247318100824e-10,1781.1487543721232,-2701.944253226102,3419.864378800463,-1.3451784251756853e-09,-1.3952199973773278e-09,-112.78809760270703,-1.4065905552738856e-09,-262.7460609719442,-1.3859883599296256e-09,-3.0684312427058344,-1.5449108037385812e-09,-6.735046883337727e-10,-1.5558009635796697e-09,-6.780801877435453e-10,-5.435841634376428e-10,-1.5466016804326676e-09,-6.762991545019154e-10,-1.5303076253654206e-09,-6.730247074264126e-10,-13217.382225347508,-1286.1037857812444,-9753.934206579142,-1.2778283621935069e-09,-1.3541433624810053e-09,-116.53059857003726,-1.3547489511615251e-09,-49.626094194850126,-1.3509607683366812e-09,-5.775756248904555,-1.212131417218925e-09,-1.7533691375542062e-09,-1.3504998117268163e-09,-4.8854192787350295,-5.447341999497901e-10,-2.0609828105408077e-09,-6.780802380132641e-10,-2.075049525522681e-09,-6.762953402914374e-10,-2.1136543183181034e-09,-6.809015118441272e-10,-1.1598237521979837e-09,-16.098287380258885,-1.2868255222029014e-09,-1.1629971377784783e-09,-100.11277417048386,-1.1620680241117818e-09,-1.169854425883256e-09,-293.3902753037451,-1.1613768814540228e-09,-4.133398700268791,-1.1618573622525724e-09,-2.799142079560888,-5.41779353458652e-10,-1.6497802579183936e-09,-6.73507841691824e-10,-6.78003226574564e-10,-1.7198785768770701e-09,-6.822891359036152e-10,-6.762790426972239e-10,-5.414664359795755e-10,-1.6467424715180986e-09,-6.73024511981539e-10,-1.2857502992539089e-09,-1.755286601345593e-09,-0.18804942515040224,-1.2706734295485402e-09,-1.2827705960318993e-09,-7.515444468348669,-1.29776664884715e-09,-260.6576224780583,-1.2901301259600446e-09,-57.53061750843602,-5.47447641742703e-10,-1.883432190207389e-09,-6.822898489470887e-10,-1.9078396434816147e-09,-6.809012297592476e-10,-1.2129514401395194e-09,-15.124311763925505,-1.2904561679158748e-09,-1.191581373501535e-09,-5.83167947806552e-09,-1.2084067346552789e-09,-33.00547824601973,-1.9211029570594605e-09,-6.762991717733798e-10,-6.729850681473701e-10,-1.2692660844014938e-09,-1.1612443989604496e-09,-5.831856752870362e-09,-1.4038747480746936e-09,-1.4252557387984682e-09,-1.4361576321824852e-09,-1.429095383913322e-09,-4.467218486173201e-09,-1.5637028803200228e-09,-1.315159856276224e-09,-1.3051667031859913e-09,-3.625040550442968e-09,-1.4692581069212677e-09,-1.512090135845797e-09,-1.4433607204267778e-09,-4.489389013837708e-09,-1.1037311663067779e-09,-1.3725186976411577e-09,-1.4427603239944414e-09,-4.239454641747641e-09,-1.6725065620392087e-09,-1.402205692326354e-09,-4.485631155311401e-09,-1.4323139186765884e-09,-1.388776757847943e-09,-4.2176063147236655e-09,-1.3513231982569853e-09,-1.4076919152449862e-09,-4.497271059383945e-09,-657.5085091388326,-3.187272634888842e-08,-3.1767981537178125e-08,-3.180155641283837e-08,-3.187988424826276e-08,-3.189045133860902e-08,-3.2193813995755204e-08,-3.177475042022029e-08,-3.1729263991942365e-08,-3.188990071830832e-08,-3.1883302886428687e-08,-3.2136087888595863e-08,-3.203024062841308e-08,-3.188857478050923e-08,-3.178786876553474e-08,-3.183888525504806e-08,-151.6016970496225,-3.200022094032702e-08,-3.7041380585000336e-05,-3.2164035414624504e-08,-3.1832818223573274e-08,-3.197196674846368e-08,-6.006714534395556e-09,-4.9629894165309385e-09,-4.916610802217525e-09,-4.96796984970151e-09,-4.977107341833772e-09,-4.978864895656405e-09,-4.962244006976646e-09,-4.987929308319454e-09,-4.9810274407469655e-09,-4.965121991605468e-09,-4.9784205277952125e-09,-4.975937028958385e-09,-4.97890949103111e-09,-4.990992579778505e-09,-4.98219294659574e-09,-4.978622803904334e-09,-6.0066849392007e-09,-4.986904491339874e-09,-3.004132306587144e-05,-4.955586009119992e-09,-4.982546368882345e-09,-4.9788787006346325e-09
1,-13.874723726747348,-5.651516477575656e-09,-0.18022186864021797,-673.6697393131336,-867.9077160149443,-1473.7645627504248,-4.1863249873039846e-07,-2.3510135630861816e-06,-209.0594836289446,-90.9536971886194,-0.11431758612276997,-73.19560560158264,-35.026318992631126,-1.3114642873585567,-0.2600218338610887,-102.46700500258115,-5.493713799977123e-09,-11.577793214939382,-6.876441480499696,-3.71964588897265e-08,-1.7258099948502806e-08,-1799.9615371743525,-2951.2317819538935,-1.3557800425534207e-07,-1.2937140778784003e-07,-1389.6822321213783,-480.26468073209355,-256.41463717330197,-3.4805870094547293,-0.4519460763618583,-13.878757590345796,-7.92127694172649,-0.43468565670890885,-72.81101765790902,-1317.1513809237874,-2075.27693859761,-1.1794210793480219e-07,-505.6991019631488,-275.63370614904227,-132.84845575184062,-6.253869322235425,-0.877492250695259,-2.354492419214275,-0.41399996344235795,-23.72329692993526,599.999999960944,-5.360114539265147e-09,-0.004868989547298258,-903.5478316339311,-1434.648892129279,-5.599999882236511,-584.4363170340538,-0.6999999351324986,-136.33450417955743,-203.63177477903247,-102.61604796125125,-4.221136294612992e-08,-1.8831230533762608e-08,-0.07863769622974677,-5.918003197083762,-3.149819104675591,-116.85623148063229,-4.807759805689464,-3.0823190541065038,-0.3023756738939578,-0.17959109982149415,-2017.6813566405763,-3278.090555263866,-1.1860089006318034e-07,-1.3198749785345643e-06,-0.18185062323261578,-7.998374222006169,-1.2809319451068903,-307.538175656315,-120.41456372063229,-62.212875624784054,-24.90147495886365,-80.91920345415907,-49.50202240148339,599.9999998689514,939.9999999626828,849.9999999630472,-599.999998170634,-7999.999999998905,1461.761125052299,3999.9999999989623,699.9999999691659,599.9999997900991,3547.009947997507,-1868.5214573244557,-2243.8887024028445,16347.581075114933,-8742.394123338585,-570.36225549699,-7316.287715697428,-2831.237518974409,-19923.495470989787,9064.719327349843,-5517.228782443133,988.9936562122675,-8547.02167097143,5771.454613466514,-5057.11230626937,6597.032588235885,-1391.6507710519782,-8941.968265694224,-34476.602872843956,-3090.9704813192693,-12356.833074692506,-570.1556635577363,-5790.549594321805,-8800.149395366192,-21265.05189731237,-29920.073128214623,-4243.407330167545,-208.4723826535626,-4243.407330171118,-2.3908646274993394e-09,-2.4459943553651016e-09,-2.371504246745823e-09,-2.389664879886982e-09,-1.4539994489214147e-08,-4.667944391258942,-5.646888298507496e-09,-705.1080962978107,-1072.2830845275168,-300.9710392584377,-9.14842549718658,-427.75856589711583,-1.399999818373912,-1.8909346374577087,-6.206723612272667,-599.5870436078717,-306.592478234758,-3.1711130961870357,-3.8285687322313495,-1.4371619774781425e-08,-1.4487122563285562e-08,-7.039333555083071e-05,-1.4577962246033327e-08,-2.2343773677229294e-07,-2.063373346558936e-07,-2.387869411708224e-07,-2.7380120522793594e-07,-2.5871778184609695e-07,-2.08056938492273e-07,-6.307004931622946e-09,-6.442896752384717e-09,-6.41197876943827e-09,-5.8755810748876836e-05,-6.3944309718026315e-09,-1.757800745336353e-07,-1.6137739693257542e-07,-1.994043304183446e-07,-2.232382678992855e-07,-2.0885906311555318e-07,-1.6310591479582013e-07,-1.8455920246096413e-09,-6.735061770590815e-10,-1.8779965703715155e-09,-6.779431722387901e-10,-1.8764209367723864e-09,-6.781115322495111e-10,-5.450042266402482e-10,-1.870967717083329e-09,-6.784986992616272e-10,-1.2199373452087232e-09,-1.2170055432603573e-09,-7.851436370840906,-3158.530607203633,22073.512766410975,-3940.213278466861,-22291.09954903458,-1.2757564628007083e-09,-1.2262724637204317e-09,-1400.9163020351293,-1.2157861257428994e-09,-33.85699769145339,-1.2190487811875987e-09,-427.71849415816234,-1.2158455527065365e-09,-4.974900635686716,-1.217593215728591e-09,-16.176069687515614,-1.4611096768830812e-09,-6.73507759990971e-10,-1.4855058159934731e-09,-6.762975665964993e-10,-5.416272440790315e-10,-1.4572334563380301e-09,-6.732727552089924e-10,1974.676245877894,2657.1751451636665,3601.7537861001183,-1.3460870441613855e-09,-1.3957519711786897e-09,-346.74909925225046,-1.40538983657354e-09,-2202.186203192571,-1.3882044173352336e-09,-48.65043220673282,-1.5450760630163162e-09,-6.735047114698381e-10,-1.5553131332074852e-09,-6.779433168844083e-10,-5.435841435545609e-10,-1.5461166930105821e-09,-6.762991238549558e-10,-1.5313687643555217e-09,-6.732727311357782e-10,-13391.722785534279,-1301.6937973373424,-9462.615879740712,-1.2649460498343034e-09,-1.35415489821706e-09,-280.79496625642173,-1.3547957340421425e-09,-137.30052464668555,-1.3507493160486552e-09,-11.095169611243286,-1.2123227401835628e-09,-1.7533693162521797e-09,-1.3502457652681283e-09,-10.405764218452685,-5.446458663658606e-10,-2.0684780111256872e-09,-6.779433704491266e-10,-2.0788246831487443e-09,-6.762953097142267e-10,-2.0951228598217414e-09,-6.784986749307244e-10,-1.1588237936502979e-09,-59.230129688762034,-1.2915440260517745e-09,-1.1615412096371096e-09,-302.75959425689894,-1.1605968864835006e-09,-1.168347862140369e-09,-2273.7734806892363,-1.1599208709325076e-09,-8.294091148366878,-1.1605240111106752e-09,-3.5692903977302146,-5.41779368488429e-10,-1.6537473862189623e-09,-6.735078648815215e-10,-6.778663308129199e-10,-1.7003243320040258e-09,-6.78110929754674e-10,-6.762790116713346e-10,-5.416269621776003e-10,-1.652994090222344e-09,-6.732725368272841e-10,-1.2836879906171033e-09,-1.7532827025135374e-09,-0.2088597077684719,-1.2726355932770634e-09,-1.2805219915338325e-09,-11.758607764224333,-1.295498745023142e-09,-927.8353744915727,-1.2881654541044953e-09,-165.76807296988875,-5.447544781180807e-10,-1.877571118402805e-09,-6.781116550401771e-10,-1.91508388671808e-09,-6.784983899484417e-10,-1.204808828145633e-09,-26.68446813022738,-1.2926193742614595e-09,-1.221592984088623e-09,-194.20452086172295,-1.2012718423922016e-09,-53.36923686242192,-1.938938932447069e-09,-6.762991410173806e-10,-6.732330898219974e-10,-1.2693424473352642e-09,-1.192117456984479e-09,-582.1846775776822,-1.4005263748795257e-09,-1.4249836117917732e-09,-1.4253229913342788e-09,-1.4329607827082304e-09,-4.428573461117818e-09,-1.3185349116650457e-09,-1.3149528229801961e-09,-1.30453682605547e-09,-3.581791722193304e-09,-1.4809757051383325e-09,-1.339138948689693e-09,-1.4851864544536666e-09,-4.436275845871382e-09,-1.326789518837404e-09,-1.3726419598426644e-09,-1.376457635764443e-09,-4.212018225830072e-09,-1.4234417601448474e-09,-1.4055324631790586e-09,-4.438762620754484e-09,-1.3943538375457042e-09,-1.3827759208280302e-09,-4.203516173048857e-09,-1.4586678485079457e-09,-1.408311330239801e-09,-4.418410683941822e-09,-5.001448274046146e-09,-1.4487408612451077e-08,-1.4499444103187023e-08,-1.4472184203545686e-08,-1.4465881725657151e-08,-1.446021910142452e-08,-1.4585477429613851e-08,-1.4413972061904229e-08,-1.4395461159066616e-08,-1.4414148429304832e-08,-1.4411726516453897e-08,-1.4590400374077737e-08,-1.4470072221513656e-08,-1.444620869376129e-08,-1.444324417252192e-08,-1.4396464411174571e-08,-5.001468380929682e-09,-1.4532200519766144e-08,-3.63429026416881e-05,-1.4373118605858477e-08,-1.4411401169600965e-08,-1.45402817645678e-08,-126.2603050227136,-6.398476236876423e-09,-6.393795307143548e-09,-6.386014118690781e-09,-6.418803083163268e-09,-6.422109649665501e-09,-6.39467176826067e-09,-6.425633161411749e-09,-6.443912587522283e-09,-6.415467896770664e-09,-6.402792799886369e-09,-6.392537543662322e-09,-6.4175783070459505e-09,-6.421444048215659e-09,-6.41617830318118e-09,-6.4346620110282e-09,-25.571324983377156,-6.405153439658254e-09,-3.053050979808e-05,-6.3964606398855575e-09,-6.433176689549097e-09,-6.4025390845510875e-09
2,-2.004682977859673,-4.492937510969386e-09,-0.1802218685019921,-609.4690096971227,-252.3112960404335,-1465.2801515360927,-3.5155616890820416e-07,-7.478333480183095e-08,-209.3016696015779,-90.9536971884811,-0.11431758598459694,-73.5406291609535,-35.02631899249282,-1.2987987885154508,-0.2600218337228348,112.7360763589655,-3.9977039469096875e-09,-11.454011141628827,-6.876441480264196,-1.863853574902418e-08,-8.811798534385087e-09,-1547.5628138560908,-173.19167111668713,-2.114479014456505e-08,-1.3963969309519484e-08,-1372.7197560778457,-467.2135655694851,-256.41463717306647,-3.439908688131214,-0.451946076126409,-13.363758590393301,-7.921276941490991,-0.43468565647345914,-6.986634745775518,-1143.0665816942987,-556.0974908649888,-2.805719478617157e-08,-505.6990990339907,-281.60884690233377,-132.84845575164712,-6.473362670652593,-0.8774922505017702,-2.447869763643324,-0.41399996324889293,-4.354207205786679,599.9999999617849,-5.290632092191617e-09,-0.004868989545427506,-780.2216304811907,-410.07955904847245,-5.599999881937832,-584.4363170921364,-0.6999999782584736,-136.33450417272195,-196.31059283499602,-102.61604796124918,-3.9376856608417496e-08,-1.8636305776741075e-08,-0.07863769622766947,-5.598307445181973,-3.1498191046735116,133.76963745217313,-4.882870105942012,-3.082319053893448,-0.29914287397176476,-0.17959109960856967,-1736.5039173317655,-151.700098233473,-2.0844468314006957e-08,-1.239169131020737e-06,-5.101723555482433e-07,-8.172556820264058,-1.2809319448938465,-312.1588080831144,-120.41456372041922,-62.99521541347944,-24.90147495865059,-83.99668770700163,-49.50202240127033,106.57966460134185,939.9999999635049,849.9999999638749,-599.9999999482716,-7999.999999998906,1840.9978920672693,3999.999999998904,699.9999999889005,599.9999999633192,3714.7311637197745,-1870.653355073111,-2197.2136406139034,16313.407464246007,-8767.920107057813,-567.4177770877366,-7208.5372608291655,-2824.286011439348,-19774.478808247746,8988.140342494691,-5272.918135051652,967.8574509841455,-7779.536427070227,5844.574352467564,-5110.383841047547,6607.716504857446,-1373.254315012775,-8905.104406019731,-34196.24172833162,-3081.098973551623,-12306.878909159423,-567.2062445469796,-5688.334758352183,-8769.061195863465,-21073.885439881415,-29724.076966933113,-4214.802133733947,-200.02891581095923,-4214.80213373751,-2.4519284053708884e-09,-2.4302771916257475e-09,-2.4491805861680436e-09,-2.4596576052462907e-09,-1.004582658152892e-08,-4.03824669868564,-4.69521191247529e-09,-618.2560298582171,-327.5977124218684,-300.9710392312605,-9.986714912658432e-08,-425.8238501756656,-5.6721180547755183e-08,-1.8238740453252706,-6.206723612171083,-575.9172609553326,-306.5924782346564,-3.078510326401787,-3.828568732129767,-1.0058797545329133e-08,-1.011487498214903e-08,-5.8962025291034026e-05,-1.0223067503212139e-08,-9.945827748700611e-08,-1.0748967791914627e-07,-2.3048614793011705e-07,-1.6675727705837983e-07,-1.436636288083121e-07,-1.0362281736735456e-07,-8.301304742423269e-09,-8.357433741514616e-09,-8.296024164219358e-09,-4.965090907927863e-05,-8.163804934983372e-09,-9.474711649909613e-08,-9.826028842013654e-08,-1.8428286791847343e-07,-1.3912876878752807e-07,-1.2290076406506967e-07,-9.659048501509446e-08,-1.8575557623147798e-09,-6.899208753110923e-10,-1.9661542550294773e-09,-7.044126357052366e-10,-1.9293481651490937e-09,-7.001286123895671e-10,-5.604100527267341e-10,-1.944000222445573e-09,-7.025423750132153e-10,-1.2565132416423472e-09,-1.2534559451010233e-09,-6.936146559250321,-3410.5407806659277,21433.692437449994,-3967.370169943817,-22645.67487317932,-1.3310909051612024e-09,-1.261578122513881e-09,-1080.5625194453273,-1.251897994337348e-09,-29.259320894016515,-1.2546361437108254e-09,-350.4876789854794,-1.2523141769245787e-09,-4.587246298388855,-1.2540488004045679e-09,-14.715518115295788,-1.5128916455292216e-09,-6.899225455481066e-10,-1.4576770562676711e-09,-6.765516974551236e-10,-5.495056974185734e-10,-1.492131221993051e-09,-6.854896306130339e-10,1892.4254841520851,3911.389524256636,3777.4783372959355,-1.3464300609937356e-09,-1.4145561799574623e-09,-306.3728274425623,-1.4227645274952635e-09,-1760.352448060187,-1.4069354339290593e-09,-39.84874245404376,-1.5872248839658158e-09,-6.899193339996445e-10,-1.6530162760817516e-09,-7.044127929195481e-10,-5.437483076660508e-10,-1.5043197316315983e-09,-6.765532528248955e-10,-1.5511829740282133e-09,-6.85489604635337e-10,-14080.28631495405,-1177.6829887962012,-9636.980678990149,-1.2884233155440135e-09,-1.3792783479064827e-09,-239.6792857613192,-1.3800058462039633e-09,-111.84745490981814,-1.3760074689485885e-09,-9.868856032444166,-1.2319910454640949e-09,-1.7533692855021054e-09,-1.3755431443020765e-09,-9.08627098228797,-5.615996163209994e-10,-2.211904617873037e-09,-7.044128492254174e-10,-1.9710366955611553e-09,-6.765494395572574e-10,-2.206798735782158e-09,-7.025423444826253e-10,-1.1854085162773266e-09,-48.74252156402729,-1.4126116936918407e-09,-1.1883851963899565e-09,-248.1937192990697,-1.1874546592427924e-09,-1.194203373806008e-09,-1772.8514394192644,-1.1874183132575156e-09,-6.957321303415924,-1.1881683659046679e-09,-3.232737315955574,-5.523506995594483e-10,-1.6897400341358017e-09,-6.899226576849424e-10,-7.043296596858624e-10,-1.7704704830958393e-09,-7.001279845475507e-10,-6.765331273104422e-10,-5.495054023223213e-10,-1.663706281211333e-09,-6.854893997817792e-10,-1.3127075511053242e-09,-1.7535607044924526e-09,-0.2035991736063035,-1.3067200567478272e-09,-1.3096272427508988e-09,-9.922671696675197,-1.3243144730707143e-09,-795.2850875576245,-1.3166094449918638e-09,-137.30117026834307,-5.588731896361848e-10,-1.930818243722369e-09,-7.001287455973173e-10,-1.9819773590931508e-09,-7.025420404068466e-10,-1.2423735361054885e-09,-22.96174996616088,-1.3956913207376212e-09,-1.2581230947820026e-09,-32.273040758442136,-1.2372822249707254e-09,-48.68204940516592,-1.939675325129887e-09,-6.765532701875071e-10,-6.854485043222664e-10,-1.2692264362246975e-09,-1.192025887822049e-09,-394.4337644001811,-1.3677883884354805e-09,-1.413877246209971e-09,-1.4033857534031922e-09,-1.4091982111399158e-09,-3.7463476120388926e-09,-1.3285904089390828e-09,-1.3154484677546944e-09,-1.333816770525912e-09,-3.5837651890932163e-09,-1.4484347423410913e-09,-1.3419171159353083e-09,-1.3917434791672903e-09,-4.2078700079822915e-09,-1.3279280931137766e-09,-1.2288703401570452e-09,-1.2850866104030658e-09,-3.1393949734891077e-09,-1.383419602142902e-09,-1.3896481952222824e-09,-4.004123684795083e-09,-1.3053892269126677e-09,-1.3100994919906088e-09,-3.2396165742206968e-09,-1.4846215783589847e-09,-1.439600792991686e-09,-4.363579671293889e-09,-5.001489910929958e-09,-1.0103513830577406e-08,-1.0085399511246386e-08,-1.0085624121996613e-08,-1.0028298657636029e-08,-1.0097325463425419e-08,-1.0081770872680006e-08,-1.0072521552971025e-08,-1.0058674944275373e-08,-1.0048414754729967e-08,-1.0081331908812107e-08,-1.00778892417292e-08,-1.0052271642961506e-08,-1.0091864877547701e-08,-1.0053645907174473e-08,-1.007159772555987e-08,-5.001487004113375e-09,-1.0108607525149272e-08,-3.6345112139170994e-05,-1.0010366578014682e-08,-1.0066400804909397e-08,-1.009263592066729e-08,-9.28286194473515,-8.296437021608422e-09,-8.327546711948187e-09,-8.27276519332389e-09,-8.361928998101678e-09,-8.318758677097936e-09,-8.34118709707946e-09,-8.3393500108584e-09,-8.39512604273776e-09,-8.343358342475207e-09,-8.336564953127495e-09,-8.340555861300582e-09,-8.351209694471885e-09,-8.327653916132732e-09,-8.377815736054521e-09,-8.353191752172378e-09,-24.71914592481982,-8.311446231483241e-09,-3.0530884758861594e-05,-8.337601291318915e-09,-8.353479113586797e-09,-8.319207327908753e-09
